imod_plain|%s Comum
imod_cracked|%s de Má Qualidade
imod_rusty|%s Rude
imod_bent|%s com Amassos
imod_chipped|%s com Lascas
imod_battered|%s com Mal Tratos
imod_poor|%s de Má Qualidade
imod_crude|%s Simples
imod_old|%s de Muitos Anos
imod_cheap|%s Sem Valor
imod_fine|%s Fino
imod_well_made|%s de Boa Fatura
imod_sharp|%s com Boa Lâmina
imod_balanced|%s com Bom Balanceamento
imod_tempered|%s com Boa Têmpera
imod_deadly|%s Letal
imod_exquisite|%s Requintado
imod_masterwork|%s de Qualidade Suprema
imod_heavy|%s Pesado
imod_strong|%s Forte
imod_powerful|%s Potente
imod_tattered|%s em Mal Estado
imod_ragged|%s em Pedaços
imod_rough|%s em Pedaços
imod_sturdy|%s Resistente
imod_thick|%s de Forma Robusta
imod_hardened|%s Endurecida
imod_reinforced|%s com Reforços
imod_cloak|%s com Capa
imod_lordly|%s de Qualidade Suprema
imod_lame|%s Manco
imod_swaybacked|%s Corcunda
imod_stubborn|%s Teimoso
imod_timid|%s Medroso
imod_meek|%s Coberto de Sangue
imod_spirited|%s Espirituoso
imod_champion|%s Campeão
imod_fresh|%s Fresca
imod_day_old|%s de Ontem
imod_two_day_old|%s de Anteontem
imod_smelling|%s Cheirando Ruim
imod_rotten|%s Podre
imod_large_bag|Bolsa Grande de %s
