p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Osgiliath Oeste
p_town_henneth_annun|Henneth Annum
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Hornburg
p_town_east_emnet|Emnet Leste
p_town_westfold|Folde Oeste
p_town_west_emnet|Emnet Oeste
p_town_eastfold|Folde Leste
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
; p_town_cirith_ungol|Emyn Muil Watchtower
p_town_east_osgiliath|Osgiliath Leste
; p_town_orc_sentry_camp|Emyn Arnen Sentry
p_town_isengard|Isengard
p_town_urukhai_outpost|Posto Avançado Uruk Hai
p_town_urukhai_h_camp|Acampamento de Caça Uruk Hai
p_town_urukhai_r_camp|Acampamento no Riacho Uruk Hai
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Salão de Thranduil
; p_town_woodelf_camp|Woodelf South Camp
p_town_woodelf_west_camp|Acampamento Oeste dos Elfos da Floresta
p_town_woodsmen_village|Vila dos Lenhadores
p_town_beorning_village|Vila dos Beornings
p_town_beorn_house|Casa de Beorn
p_town_moria|Portões de Moria
p_town_troll_cave|Caverna de Trolls
p_town_dale|Valle
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Acampamento Terra-pardense
p_town_harad_camp|Acampamento Haradrim
p_town_khand_camp|Acampamento de Khand
p_town_umbar_camp|Acampamento Corsário
p_town_imladris_camp|Acampamento de Valfenda
p_town_dol_guldur|Dol Guldur
; p_town_dol_guldur_north_outpost|Dol Guldur Road Outpost
p_town_rhun_main_camp|Acampamento Principal de Rhun
p_town_rhun_south_camp|Posto Avançado Sul de Rhun
p_town_rhun_north_camp|Posto Avançado Norte de Rhun
p_town_gundabad|Gundabad
; p_town_gundabad_ne_outpost|Ruined Dwarf Hold
; p_town_gundabad_nw_outpost|Goblin Hideout
p_town_goblin_north_outpost|Cidade Goblin
p_town_goblin_south_outpost|Posto Avançado Goblin Do Sul
p_town_gundabad_m_outpost|Posto Avançado Floresta das Trevas de Gundabad
p_town_erebor|Erebor
; p_town_ironhill_camp|Grey Mountains Gateway
p_advcamp_gondor|Acampamento Avançado de Gondor
p_advcamp_rohan|Acampamento Avançado de Rohan
p_advcamp_isengard|Acampamento Avançado de Isengard
p_advcamp_mordor|Acampamento Avançado de Mordor
p_advcamp_harad|Acampamento Avançado de Harad
p_advcamp_rhun|Acampamento Avançado de Rhun
p_advcamp_khand|Acampamento Avançado de Khand
p_advcamp_umbar|Acampamento Avançado de Umbar
p_advcamp_lorien|Acampamento Avançado de Lorien
p_advcamp_imladris|Acampamento Avançado de Imladris
p_advcamp_woodelf|Acampamento Avançado da Floresta das Trevas
p_advcamp_moria|Acampamento Avançado de Moria
p_advcamp_guldur|Acampamento Avançado de Dol Gundur
p_advcamp_gundabad|Acampamento Avançado de Gundabad
p_advcamp_dale|Acampamento Avançado de Valle
p_advcamp_dwarf|Acampamento Avançado de Erebor
p_advcamp_dunland|Acampamento Avançado de Terras Pardas
p_advcamp_beorn|Acampamento Avançado de Beorning
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Mão Branca de Isengard
p_mount_doom|Montanha Da Perdição
p_town_barad_dur|Barad Dur
p_ford_cair_andros1|Anduin
p_ford_cair_andros2|Anduin
p_ford_caras_galadhon|Anduin
p_ford_brown_lands|Anduin
p_ford_rauros|Anduin
p_ford_pelargir|Anduin
p_ford_edhellond|Anduin
p_ford_cerin_dolen|Veio de Prata
p_old_ford|Velho Vau
p_ford_erech|Ringlo
p_ford_isen1|Isen
p_ford_isen2|Isen
p_ford_rohan|Entágua
p_ford_rohan2|Entágua
p_ford_fangorn|Entágua
p_ford_fangorn2|Rio Claro Lim
p_ford_moria|Veio de Prata
p_fangorn_center|Centro de Fangorn
p_ring_hunter_lair|Lar dos Caçadores de Anéis
p_raft|Homens de Jangada
p_amon_din|Amon Din
p_eilenach|Eilenach
p_nardol|Nardol
p_erelas|Erelas
p_min_rimmon|Min Rimmon
p_calenhad|Calenhad
p_amon_anwar|Amon Anwar
p_ancient_ruins|Ruínas Anciãs
