str_yes|Sim.
str_no|Não.
str_noone|ninguém
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} e {s51}
str_s5_s_party|Grupo de {s5}
str_s5_s_host|Exército de {s5}
str_given_by_s1_at_s2|Entregue por {s1} em {s2}
str_given_by_s1_in_wilderness|Entregue por {s1} em campo aberto
str_s7_raiders|Saqueadores {s7}
str_bandits_eliminated_by_another|Os bandidos problemáticos foram eliminados por outro grupo.
str_msg_battle_won|Vitória! Aperte tab para sair...
str_tutorial_map1|Agora você está visualizando o mapa terrestre. Clique com o botão esquerdo no mapa para mover seu grupo para o local, entrar na cidade selecionada ou perseguir o grupo selecionado. O tempo será pausado no mapa terrestre se o seu grupo não estiver se movendo, esperando ou descansando. Para esperar em qualquer lugar, basta pressionar e segurar a barra de espaço.
str_accept|Aceitar
str_hold_fire|Cessar fogo
str_blunt_hold_fire|Contundente / Cessar fogo
str_tutorial_ammo_refilled|Munição recarregada.
str_tutorial_failed|Desta vez você foi derrotado, mas não se preocupe. Siga as instruções atentamente e você se sairá melhor na próxima vez. Pressione a tecla Tab para retornar ao menu e tentar novamente este tutorial.
str_tutorial_1_msg_1|Neste tutorial, você aprenderá os fundamentos de movimento e combate. Em Mount&Blade, você usa o mouse para controlar para onde está olhando e as teclas WASD do teclado para se mover. Sua primeira tarefa no treinamento é localizar a bandeira na sala e passar por cima dela. Você pode pressionar a tecla Tab a qualquer momento para sair deste tutorial ou de qualquer outra área do jogo. Vá para a bandeira agora.
str_tutorial_1_msg_2|Muito bem. A seguir, abordaremos o ataque com armas. Para os propósitos deste tutorial, você foi equipado com arco e flechas, uma espada e um escudo. Você pode sacar diferentes armas dos seus espaços de armas usando a roda de rolagem do mouse. Na configuração padrão, rolar para cima puxa sua próxima arma, e rolar para baixo puxa seu escudo. Se você já estiver segurando um escudo, rolar para baixo o guardará. Tente trocar o equipamento que você empunha com a roda de rolagem agora. Quando estiver pronto, vá até a bandeira para prosseguir para sua próxima tarefa.
str_tutorial_1_msg_3|Excelente. A próxima parte deste tutorial aborda o ataque com armas brancas. Você ataca com a arma que está empunhando usando o botão esquerdo do mouse. Pressione e segure o botão para preparar um ataque e, em seguida, solte-o para atacar. Se você segurar o botão esquerdo do mouse por um tempo antes de soltar, seu ataque será mais poderoso. Agora desembainhe sua espada e destrua os quatro bonecos na sala.
str_tutorial_1_msg_4|Bom trabalho! Você destruiu os quatro bonecos. Agora pode passar para a próxima sala.
str_tutorial_1_msg_5|Como você pode ver, há um alvo de arco e flecha do outro lado da sala. Sua próxima tarefa é usar seu arco para lançar três flechas nesse alvo. Pressione e segure o botão esquerdo do mouse para encaixar uma flecha. Você pode então disparar a flecha soltando o botão esquerdo do mouse. Observe a retícula de mira no centro da tela, que indica a precisão do seu tiro. Para obter a precisão ideal, lance sua flecha quando a retícula estiver no seu menor tamanho. Tente atirar no alvo agora.
str_tutorial_1_msg_6|Parabéns! Você aprendeu o básico sobre movimentação e ataque. Com um pouco de prática, você logo dominará tudo. No segundo tutorial, você poderá aprender habilidades de combate mais avançadas e enfrentar oponentes armados. Você pode pressionar a tecla Tab a qualquer momento para retornar ao menu do tutorial.
str_tutorial_2_msg_1|Este tutorial lhe ensinará como se defender com um escudo e como lutar contra oponentes armados. Por enquanto, você está armado apenas com um escudo. Sua tarefa não é atacar, mas sim se proteger com sucesso de qualquer dano com seu escudo. Há um oponente armado esperando por você na sala ao lado. Ele fará o possível para deixá-lo inconsciente, enquanto você deve se proteger com seu escudo pressionando e segurando o botão direito do mouse. Vá para a próxima sala agora para enfrentar seu oponente. Lembre-se de que você pode pressionar a tecla Tab a qualquer momento para sair deste tutorial ou de qualquer outra área do jogo.
str_tutorial_2_msg_2|Pressione e segure o botão direito do mouse para levantar o escudo. Tente permanecer em pé por trinta segundos. Você tem {reg3} segundos restantes.
str_tutorial_2_msg_3|Parabéns! Você conseguiu se defender contra um oponente armado. A próxima fase deste tutorial colocará você e seu escudo contra uma força de arqueiros inimigos. Passe para a próxima sala quando estiver pronto para enfrentar os arqueiros.
str_tutorial_2_msg_4|Defenda-se das flechas levantando o escudo com o botão direito do mouse. Tente permanecer em pé por trinta segundos. Você tem {reg3} segundos restantes.
str_tutorial_2_msg_5|Ótimo, você se defendeu com sucesso contra arqueiros. Há uma recompensa esperando por você na sala ao lado.
str_tutorial_2_msg_6|Na configuração padrão, a tecla F do seu teclado é usada para interação não violenta com objetos e humanos no mundo do jogo. Para pegar a espada no altar, olhe para ela e pressione F quando vir a palavra "Equipar".
str_tutorial_2_msg_7|Uma bela arma! Agora você pode usá-la para dar um troco. Volte pela porta e elimine os arqueiros que você enfrentou antes.
str_tutorial_2_msg_8|Muito bem. Sua última tarefa antes de terminar este tutorial é enfrentar o escudeiro. Passe pela porta agora e mostre a ele seu aço!
