trp_unarmed_troop|Tropa desarmada
trp_unarmed_troop_pl|Tropas desarmadas
trp_tutorial_maceman|Soldado com Maça
trp_tutorial_maceman_pl|Soldados com Maça
trp_tutorial_archer|Arqueiro
trp_tutorial_archer_pl|Arqueiros
trp_tutorial_swordsman|Espadachim
trp_tutorial_swordsman_pl|Espadachins
trp_novice_fighter|Lutador Novato
trp_novice_fighter_pl|Lutadores Novatos
trp_regular_fighter|Lutador Regular
trp_regular_fighter_pl|Lutadores Regulares
trp_veteran_fighter|Lutador Veterano
trp_veteran_fighter_pl|Lutadores Veteranos
trp_champion_fighter|Lutador Campeão
trp_champion_fighter_pl|Lutadores Campeões
trp_arena_training_fighter_1|Lutador novato
trp_arena_training_fighter_1_pl|Lutadores Novatos
trp_arena_training_fighter_2|Lutador novato
trp_arena_training_fighter_2_pl|Lutadores Novatos
trp_arena_training_fighter_3|Lutador Regular
trp_arena_training_fighter_3_pl|Lutadores Regulares
trp_arena_training_fighter_4|Lutador Regular
trp_arena_training_fighter_4_pl|Lutadores Regulares
trp_arena_training_fighter_5|Lutador Regular
trp_arena_training_fighter_5_pl|Lutadores Regulares
trp_arena_training_fighter_6|Lutadores Veteranos
trp_arena_training_fighter_6_pl|Lutadores Veteranos
trp_arena_training_fighter_7|Lutadores Veteranos
trp_arena_training_fighter_7_pl|Lutadores Veteranos
trp_arena_training_fighter_8|Lutadores Veteranos
trp_arena_training_fighter_8_pl|Lutadores Veteranos
trp_arena_training_fighter_9|Lutador Campeão
trp_arena_training_fighter_9_pl|Lutadores Campeões
trp_arena_training_fighter_10|Lutador Campeão
trp_arena_training_fighter_10_pl|Lutadores Campeões
trp_cattle|Gado
trp_cattle_pl|Gado
trp_farmer|Fazendeiro
trp_farmer_pl|Fazendeiros
trp_townsman|Cidadão
trp_townsman_pl|Cidadãos
trp_watchman|Cidadã
trp_watchman_pl|Cidadãs
trp_i1_woodmen_man|Camponês
trp_i1_woodmen_man_pl|Camponeses
trp_i2_woodmen_forester|Camponês Silvicultor
trp_i2_woodmen_forester_pl|Camponeses Silvicultores
trp_i3_woodmen_skilled_forester|Camponês Silvicultor Habilidoso
trp_i3_woodmen_skilled_forester_pl|Camponeses Silvicultores Habilidosos
trp_i4_woodmen_axemen|Campones Lenhador
trp_i4_woodmen_axemen_pl|Camponeses Lenhadores
trp_i5_woodmen_night_guard|Guarda da Noite da Floresta das Trevas
trp_i5_woodmen_night_guard_pl|Guardas da Noite da Floresta das Trevas
trp_a2_woodmen_tracker|Camponês Caçador
trp_a2_woodmen_tracker_pl|Camponeses Caçadores
trp_a3_woodmen_scout|Camponês Batedor
trp_a3_woodmen_scout_pl|Camponeses Batedores
trp_a4_woodmen_archer|Camponês Arqueiro
trp_a4_woodmen_archer_pl|Camponeses Arqueiros
trp_a5_woodmen_night_stalker|Perseguidor da Noite da Floresta das Trevas
trp_a5_woodmen_night_stalker_pl|Perseguidores da Noite da Floresta das Trevas
trp_i1_beorning_man|Beorning
trp_i1_beorning_man_pl|Beornings
trp_i2_beorning_warrior|Guerreiro Beorning
trp_i2_beorning_warrior_pl|Guerreiros Beornings
trp_i3_beorning_tolltacker|Devorador de Pedágio
trp_i3_beorning_tolltacker_pl|Devoradores de Pedágio
trp_i4_beorning_sentinel|Sentinela Beorning
trp_i4_beorning_sentinel_pl|Sentinelas Beornings
trp_i5_beorning_warden_of_the_ford|Beorning Guardião do Vau
trp_i5_beorning_warden_of_the_ford_pl|Guardiões da Manhã de Vau
trp_i3_beorning_carrock_lookout|Beorning Vigia de Carrock
trp_i3_beorning_carrock_lookout_pl|Beornings Vigias de Carrock
trp_i4_beorning_carrock_fighter|Beorning Guerreiro de Carrock
trp_i4_beorning_carrock_fighter_pl|Beornings Guerreiros de Carrock
trp_i5_beorning_carrock_berserker|Beorning Berserker de Carrock
trp_i5_beorning_carrock_berserker_pl|Beornings Berserkers de Carrock
trp_i1_dale_militia|Soldado de Milícia de Valle
trp_i1_dale_militia_pl|Milícia de Valle
trp_i2_dale_man_at_arms|Homem de Armas de Valle
trp_i2_dale_man_at_arms_pl|Homens de Armas de Valle
trp_a2_dale_scout|Batedor de Dale
trp_a2_dale_scout_pl|Batedores de Valle
trp_a3_dale_bowman|Arqueiro de Dale
trp_a3_dale_bowman_pl|Arqueiros de Dale
trp_a4_dale_archer|Arqueiro de Dale
trp_a4_dale_archer_pl|Arqueiros de Dale
trp_a5_barding_bowman|Arqueiro de Barding
trp_a5_barding_bowman_pl|Arqueiros de Barding
trp_i3_dale_swordsman|Espadachim de Dale
trp_i3_dale_swordsman_pl|Espadachins de Dale
trp_i4_dale_sergeant|Sargento de Dale
trp_i4_dale_sergeant_pl|Sargentos de Dale
trp_i5_dale_hearthman|Homem da lareira de Dale
trp_i5_dale_hearthman_pl|Homens da lareira de Dale
trp_i3_dale_spearman|Lanceiro de Valle
trp_i3_dale_spearman_pl|Lanceiro de Valle
trp_i4_dale_billman|Coletor de Impostos de Valle
trp_i4_dale_billman_pl|Coletores de Impostos de Valle
trp_i5_dale_bill_master|Mestre da Moeda de Valle
trp_i5_dale_bill_master_pl|Mestres da Moeda de Valle
trp_c2_rhovanion_retainer|Retentor dos Homens do Norte
trp_c2_rhovanion_retainer_pl|Retentores dos Homens do Norte
trp_c3_rhovanion_auxilia|Homens do Norte Auxiliares
trp_c3_rhovanion_auxilia_pl|Homens do Norte Auxilia
trp_c4_rhovanion_rider|Cavaleiro de Rhovanion
trp_c4_rhovanion_rider_pl|Cavaleiros de Rhovanion
trp_ac5_rhovanion_marchwarden|Jardineiro de Rhovanion
trp_ac5_rhovanion_marchwarden_pl|Jardineiros de Rhovanion
trp_rhun_tribesman|Membro da Tribo de Rhun
trp_rhun_tribesman_pl|Membros da Tribo de Rhun
trp_rhun_horse_scout|Batedor Montado de Rhun
trp_rhun_horse_scout_pl|Batedores Montados de Rhun
trp_rhun_horse_archer|Arqueiro Montado de Rhun
trp_rhun_horse_archer_pl|Arqueiros Montados de Rhun
trp_rhun_veteran_horse_archer|Arqueiro Montado Veterano de Rhun
trp_rhun_veteran_horse_archer_pl|Arqueiros Montados Veteranos de Rhun
trp_fell_balchoth_horse_archer|Arqueiro Montado de Balchoth
trp_fell_balchoth_horse_archer_pl|Arqueiros Montadoe de Balchoth
trp_rhun_swift_horseman|Cavaleiro Ligeiro de Rhun
trp_rhun_swift_horseman_pl|Cavaleiros Ligeiros de Rhun
trp_rhun_veteran_swift_horseman|Cavaleiro Ligeiro Veterano de Rhun
trp_rhun_veteran_swift_horseman_pl|Cavaleiros Ligeiros Veteranos de Rhun
trp_falcon_horseman|Cavaleiro Falcão
trp_falcon_horseman_pl|Cavaleiros Falcão
trp_rhun_tribal_warrior|Guerreiro Tribal de Rhun
trp_rhun_tribal_warrior_pl|Guerreiros Tribais de Rhun
trp_rhun_tribal_infantry|Soldado Tribal de Rhun
trp_rhun_tribal_infantry_pl|Soldados Tribais de Rhun
trp_rhun_vet_infantry|Soldado Tribal Veterano de Rhun
trp_rhun_vet_infantry_pl|Soldados Tribais Veteranos de Rhun
trp_infantry_of_the_ox|Soldado de Infantaria do Boi
trp_infantry_of_the_ox_pl|Infantaria do Boi
trp_rhun_light_horseman|Cavaleiro Leve de Rhun
trp_rhun_light_horseman_pl|Cavaleiros Leves de Rhun
