imod_plain|Zwykły %s
imod_cracked|Fatalnej Jakości %s
imod_rusty|%s z Zardzewiałej Stali 
imod_bent|Słabej Jakości %s
imod_chipped|Kiepskiej Ostrości %s
imod_battered|%s o Niskiej Odporności 
imod_poor|Nędznej Jakości %s
imod_crude|Kiepskiego Wykonania %s
imod_old|Stary %s
imod_cheap|Tani %s
imod_fine|Dobry %s
imod_well_made|Dobrego Wykonania %s
imod_sharp|Dużej Ostrości %s
imod_balanced|Idealnej Wagi %s
imod_tempered|Zabójczej Ostrości %s
imod_deadly|Zabójczy %s
imod_exquisite|Świetnego Wykonania %s
imod_masterwork|Mistrzowskiego Wykonania %s
imod_heavy|Masywnej Budowy %s
imod_strong|Twardy %s
imod_powerful|Potężny %s
imod_tattered|%s o Niechlujnym Wyglądzie
imod_ragged|%s o Brzydkim Wyglądzie
imod_rough|Prymitywnego Wykonania %s
imod_sturdy|Dobrej Jakości %s
imod_thick|Sporej Grubości %s
imod_hardened|%s o Dużej Twardości
imod_reinforced|%s o Wysokiej Wytrzymałości
imod_superb|Znakomity %s
imod_lordly|%s o Majestatycznym Wyglądzie
imod_lame|Kulawy %s
imod_swaybacked|Stary %s
imod_stubborn|Uparty %s
imod_timid|Bojaźliwy %s
imod_meek|Łagodny %s
imod_spirited|Rączy %s
imod_champion|Wspaniały %s
imod_fresh|Świeże %s
imod_day_old|Jednodniowe %s
imod_two_day_old|Dwudniowe %s
imod_smelling|Śmierdzące %s
imod_rotten|Zgniłe %s
imod_large_bag|%s w Dużej Ilości
