
str_yes|Tak.
str_no|Nie.
str_noone|nikt
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} i {s51}
str_s5_s_party|{s5} z oddziałem
str_s5_s_host| {s5} z zastępem
str_given_by_s1_at_s2|Otrzymany od: {s1} w {s2}
str_given_by_s1_in_wilderness|Otrzymany od: {s1} w dziczy
str_s7_raiders|{s7} Najeźdźcy
str_bandits_eliminated_by_another|Kłopotliwi bandyci zostali wybici przez inny oddział.
str_msg_battle_won|Bitwa wygrana! Naciśnij klawisz Tab, by opuścić pole bitwy...
str_tutorial_map1|Jesteś teraz w trybie mapy. Aby podróżować, wchodzić do miast lub spotkać się z innymi grupami, kliknij na mapie lewym przyciskiem myszy. Normalnie w trybie mapy czas nie biegnie, jeżeli się nie poruszasz. Jeśli jednak chcesz przeczekać chwilę w danym miejscu, naciśnij i przytrzymaj klawisz Spacji.^^Możesz też kliknąć na osadach oraz oddziałach prawym przyciskiem myszy, co otworzy małe menu (aby je zamknąć, kliknij lewym przyciskiem myszy gdzieś poza nim).
str_accept|Akceptuj
str_charge|Szarża
str_color|Kolor
str_flip_horizontal|Obróć Poziomo
str_flip_vertical|Obróć Pionowo
str_hold_fire|Wstrzymać Ogień
str_blunt_hold_fire|Broń Obuchowa / Wstrzymać Ogień
str_tutorial_ammo_refilled|Amunicja uzupełniona.
str_tutorial_failed|Tym razem zostałeś pokonany, ale nie martw się. Postępuj zgodnie z instrukcjami, a następnym razem poradzisz sobie lepiej. Naciśnij przycisk Tab, aby powrócić do menu, w którym możesz ponownie spróbować tego samouczka. 
str_tutorial_1_msg_1|W tym samouczku poznasz podstawy ruchu i walki. W Mount&Blade używasz myszy do rozglądania się, a klawisze WASD klawiatury do poruszania się. Pierwszym zadaniem podczas treningu jest odnalezienie flagi w sali i dotknięcie jej. W każdej chwili możesz nacisnąć przycisk Tab, aby opuścić ten samouczek lub inny obszar gry. Przejdź teraz do flagi.
str_tutorial_1_msg_2|Dobra robota. Następnie zajmiemy się atakami z użyciem broni. Na potrzeby tego samouczka zostałeś wyposażony w łuk, strzały, miecz oraz tarczę. Za pomocą kółka przewijania myszy możesz wyjąć różne rodzaje broni ze swojego ekwipunku. W domyślnej konfiguracji, przewijanie w górę powoduje wyciągnięcie następnej broni, a przewijanie w dół powoduje wyciągnięcie tarczy. Jeśli już trzymasz tarczę, przewijanie w dół odłoży ją na bok. Spróbuj teraz zmienić posiadany sprzęt za pomocą kółka przewijania. Kiedy będziesz gotowy, przejdź do flagi, aby przejść do następnego zadania.
str_tutorial_1_msg_3|Doskonale. Następna część tego samouczka obejmuje atakowanie z użyciem broni białej. Atakujesz za pomocą aktualnie posiadanej broni za pomocą lewego przycisku myszy. Naciśnij i przytrzymaj przycisk, aby przygotować atak, a następnie zwolnij przycisk, aby uderzyć. Jeśli przytrzymasz lewy przycisk myszy przez chwilę przed zwolnieniem, Twój atak będzie silniejszy. Teraz wyciągnij miecz i zniszcz cztery manekiny w pokoju.
str_tutorial_1_msg_4|Dobra Robota! Zniszczyłeś wszystkie cztery manekiny. Teraz możesz przejść do następnego pokoju.
