skinkey_chin_size|Wielkość podbródka
skinkey_chin_shape|Kształt podbródka
skinkey_chin_forward|Wysunięcie podbródka
skinkey_jaw_width|Szerokość szczęki
skinkey_jaw_position|Ułożenie szczęki
skinkey_mouth_nose_distance|Odstęp między ustami i nosem
skinkey_mouth_width|Szerokość ust
skinkey_cheeks|Policzki
skinkey_nose_height|Długość nosa
skinkey_nose_width|Szerokość nosa
skinkey_nose_size|Rozmiar nosa
skinkey_nose_shape|Kształt nosa
skinkey_nose_bridge|Nasada nosa
skinkey_cheek_bones|Kości policzkowe
skinkey_eye_width|Wielkość oczu
skinkey_eye_to_eye_dist|Odstęp między oczami
skinkey_eye_shape|Kształt oczu
skinkey_eye_depth|Głębokość oczu
skinkey_eyelids|Powieki
skinkey_eyebrow_position|Pozycja brwi
skinkey_eyebrow_height|Wysokość brwi
skinkey_eyebrow_depth|Głębia brwi
skinkey_eyebrow_shape|Kształt brwi
skinkey_temple_width|Szerokość skroni
skinkey_face_depth|Głębia twarzy
skinkey_face_ratio|Proporcje twarzy
skinkey_face_width|Szerokość twarzy
skinkey_post_edit|Post-Edit
skinkey_snout_height|Wysokość nosa
skinkey_snout_width|Szerokość nosa
skinkey_snout_size|Rozmiar nosa
skinkey_snout_shape|Kształt nosa
skinkey_weight|Waga
skinkey_mouth_shape|Kształt ust
skinkey_eye_size|Rozmiar oczu
skinkey_eye_slant|Skośność oczu
skinkey_frawn|Zmarszczenie
skinkey_mouth_vert_pos|Pozycja ust
skinkey_mouth_to_nose_dist|Odstęp między ustami i nosem
skinkey_chin_width|Szerokość podbródka
