ip_battle_formations|Formacje bojowe: TLD FormAI
ip_battle_formations_text|Twoje oddziały ustawią się i utrzymają pozycję na początku każdej bitwy, zamiast szarżować na oślep. Tylko główne frakcje (wszystkie 18) używają formacji (+dezerterzy), bandyci po prostu szarżują. Istnieje niewielka różnica między dobrymi i złymi frakcjami, dobra piechota będzie formować mury tarcz (zwykle defensywne - najpierw oddziały z tarczami, ale może utworzyć falangę, jeśli masz pikinierów), podczas gdy zła piechota będzie formować szeregi (najpierw najlepsze oddziały). Formacje działają tylko w bitwach polowych (czyli nie w bitwach niestandardowych i oblężeniach).^^Za każdym razem, gdy w grze zostanie utworzona formacja lub „Wstrzymaj”, zostanie ona ustawiona w pobliżu pozycji, którą miał gracz w momencie wydania polecenia: piechota po lewej, kawaleria po prawej i łucznicy z przodu. Oddziały gracza rozpoczynają każdą bitwę w formacji.^^Przypisania klawiszy formacji są następujące:^„J” dla szeregów,^„K” dla szeregów opartych na broni (ściana tarcz, falanga),^„L” dla klina (gracz powinien ponownie przypisać „L” do mapowania „Log”)^„;” dla kwadratu,^„U” dla braku formacji (cofnij formację).^^Komenda „szereg” dla łuczników ustawia ich w naprzemiennej linii. Kawaleria nie utworzy formacji innej niż klin.^^ Szarża (i zejście z konia dla kawalerii) cofnie formację. Gracz może wielokrotnie naciskać Naprzód, aby formacja poruszała się w kierunku pozycji wroga. Można też użyć panelu rozkazów lub przytrzymać klawisz F1, aby ustawić formację (lub przesunąć ją w poprzek wroga w przypadku klina kawalerii).^^ Jeśli wystąpią jakiekolwiek problemy z formacjami, można powrócić do natywnej SI.
ip_battle_formations_newformai|Formacje bojowe: NewFormAI
ip_battle_formations_newformai_text|NewFormAI umożliwia dostęp do formacji z menu rozkazów i nakazuje formacjom atakowanie określonych formacji wroga za pomocą polecenia „przytrzymaj” (Przytrzymaj F1). Ale nie jest to w pełni przetestowane.^^ Użyj klawiatury NUMBERS, aby wybrać dywizję. Naciśnij 0, aby wybrać całe siły.^^ Użyj F1-F4, aby wydać rozkaz wybranym dywizjom. Przytrzymaj klawisz F1, aby rozmieścić wybrane dywizje. Złożone formacje w menu bitwy to:^- RANGA z najlepszymi żołnierzami z przodu^- ŚCIANA TARCZ, szeregi z tarczami z przodu i dłuższą bronią z tyłu^- KLIN z najlepszymi żołnierzami z przodu^- KWADRAT bez określonej kolejności^- BRAK FORMACJI^Nawet w ostatnim przypadku gracz może utworzyć formacje do czterech linii, wydając rozkaz Stand Closer wystarczającą liczbę razy. Gdy wybrana jest JEDNA dywizja, środek jej przedniego szeregu jest umieszczany we wskazanym miejscu. Gdy wybranych jest WIELE dywizji, są one rozdzielane i rozstawiane tak, jakby gracz stał we wskazanym miejscu. Można zapamiętać rozmieszczenie wybranych dywizji względem gracza, naciskając F2, F7. Domyślnie piechota znajduje się po lewej stronie, kawaleria po prawej, a strzelcy z przodu. Rozmieszczenie jest nadpisywane dla każdej dywizji, którą gracz wybierze osobiście w menu opcji formacji.^^Jeśli ustawiona jest opcja gry w menu obozu, dywizje będą obracać się tak, by stać twarzą do wroga. W przeciwnym razie zachowają ustawienie, które gracz miał w momencie ich rozstawienia.
ip_battle_morale|Morale bitewne (spójność)
ip_battle_morale_text|Morale w bitwie nazywane jest spójnością, aby odróżnić je od morale drużyny na mapie głównej. Jednak morale drużyny również wpływa na jej spójność w bitwie. Podobnie jak umiejętności przywódcze twoje i twoich towarzyszy, liczba kapitanów i nosicieli sztandarów na polu bitwy, średni poziom twojej drużyny i stosunek liczbowy między obiema stronami. Efekty pola bitwy, takie jak magiczne mgły lub pewne wydarzenia, mogą również wpływać na spójność. ^^ Im więcej ofiar ponosi twoja strona, tym bardziej spada jej morale. Jeśli spójność spadnie do niskiego poziomu, twoje oddziały mogą uciec z bitwy, co ostatecznie doprowadzi do masowej ucieczki! Możesz wspierać swoje oddziały na dwa sposoby:^^1. Zabijając wrogów. Jeśli dobrze ci pójdzie, zaimponujesz swoim ludziom, a oni będą walczyć mocniej i nie uciekną. Zabijanie wrogich bohaterów, nosicieli sztandarów lub wysokopoziomowych oddziałów również zaszkodzi ich spójności.^^2. Zachęcanie do walki. Naciśnij „V”, aby zachęcić swoje oddziały i zwiększyć ich spójność. Masz również szansę zachęcić oddziały, które już uciekają. Możesz wykonać tylko ograniczoną liczbę rajdów na bitwę! Ilość, siła i zasięg twoich rajdów zależy od twojej Charyzmy i Przywództwa. Twoje rajdy są wspierane przez twoich towarzyszy (jeśli mają umiejętność Przywództwo) i kapitanów ^^ Może to być całkiem korzystne, jeśli uda ci się pokonać wrogiego dowódcę, ponieważ pozbawia to wrogów ich przywódcy, nie można ich zebrać.
ip_economy|Punkty zasobów, ranga, wpływy
ip_economy_text|W TLD nie ma pieniędzy. Zamiast tego rozwija się stosunki z frakcjami - reprezentują to Zasoby, Wpływy i Ranga.^^Zasoby są potrzebne do utrzymania frakcji w wojnie - możesz wymienić na nie zdobyte przedmioty, a także każdego tygodnia otrzymasz konkretną ilość zasobów zależną od twojej rangi we frakcji. Możesz użyć tego przydziału do zdobycia żołnierzy, sprzętu, koni dla siebie i swojej drużyny, ale tylko jeśli uzbierasz wystarczająco dużo zasobów. Masz niezależną ilość zasobów/wpływ/rangę w każdej frakcji osobno, pamiętaj o tym!^^Punkty Wpływu są przydzielane za wypełnianie zadań i wygrywanie ciężkich bitew. Mogą później być wydane na specjalne przedmioty jak np. nagrody od władców frakcji, z którymi osiągnąłeś dobre stosunki.^^Punkty Rangi pozwalają na awans w szeregach twojej frakcji - to będzie miało wpływ na maksymalny rozmiar twojej drużyny, cotygodniowy przydział Zasobów i odblokuje inne rozkazy i udostępni w sklepach przedmioty wyższej jakości.^^Ponadto, nawiązanie relacji z osadami (reprezentowanymi przez lokalnego starszego miasta) i sojuszniczymi przywódcami zapewni ci pewne korzyści.^^W związku z tym, że trzymamy się zasad świata z książek, uniemożliwiliśmy tzw. "przebieranki": Gondorczyk raczej nigdy nie założyłby zdobytego orczego pancerza i vice-versa. Po większości walk znajdziesz niewiele użytecznych przedmiotów dla siebie. Dlatego "metalowe śmieci", które znajdziesz po bitwie, możesz oddać kowalom za punkty Zasobów.
ip_war_of_the_ring|Wojna o pierścień
ip_war_of_the_ring_text|Na początku gry wojna pomiędzy dobrem a złem nie została jeszcze rozpoczęta. Zostaniesz o tym poinformowany. (Nie jest to zależne od czasu gry, ale bardziej od tego, czy twoja postać jest na wojnę gotowa). Na początku Śródziemie może wydawać się opustoszałe, ale wraz z rozpoczęciem wojny zaroi się od wrogich oddziałów. Rozsądnie wykorzystaj dni pokoju! Możesz wykonywać zadania dla lordów i władców zaprzyjaźnionych frakcji, rekrutować żołnierzy i szkolić się w koszarach.^^W przeciwieństwie do oryginalnej gry, wojna może zakończyć się zwycięstwem lub porażką. Każda frakcja ma poziom siły, który zmienia się wraz ze zwycięstwami i porażkami. Przy wystarczająco niskim poziomie siły frakcji wrogowie mogą oblegać jej miasta/obozy. Kiedy frakcja osiągnie najgorszy status to możliwym będzie pokonanie jej całkowicie poprzez obleganie stolicy. ^^Zauważ, że gracz nie może sam rozpoczynać oblężeń. Możesz tylko pomagać frakcjom, gdy ich przywódcy zdecydują się zaatakować wrogie miasta.Jeśli masz wystarczająco wysoką rangę i wpływy w frakcji, możesz zasugerować przywódcy zaatakowanie konkretnych miast. Osiągając najwyższą rangę w swojej frakcji możesz uzyskać prawo do samodzielnego poprowadzenia ataku na wrogie miasto.^^Uwarunkowania geograficzne dzielą TLD na kilka teatrów działań. Kiedy jedna strona wyeliminuje wszystkich wrogów w swojej części, to będzie mogła wysłać pomoc dla innego rejonu. Jeśli siły dobra zostaną całkowicie pokonane, a Mordor i Isengard będą dalej silne, to dwie wieże rozpoczną walkę o całkowitą dominację.
ip_starting_tips|Porady początkowe
