menu_start_game_1|^^^^^^^^^^Dlaczego chcesz walczyć?
mno_start_good|ŚWIT nowej Ery
mno_start_evil|ZMIERZCH Ludzi
mno_go_bback|Wróć
menu_start_phase_2|^^^^^Śródziemie. Cień rośnie na Wschodzie.^Wolne ludy gotują się do wojny, wojny której nie widziano od wieków.^Ludzie, Ely, Krasnoludy i Orkowie; wszyscy odegrają swoją rolę.^^Jaką, to się okaże... 
mno_go_forth|Podążaj naprzód na twoją wybraną ścieżkę.
menu_start_game_3|^^^^^^^^    Wybierz scenariusz:
mno_custom_battle_scenario_1|            Potyczka, Gondor vs Harad
mno_custom_battle_scenario_12|Wybierz frakcje do bitwy
mno_custom_battle_scenario_3|Potyczka, Elfy vs Czarni Numenorejczycy
mno_custom_battle_scenario_4|Obrona Helmowego Jaru, Rohan vs Isengard
mno_custom_battle_scenario_5|Potyczka, Ludy Północy vs Rhun
mno_custom_battle_scenario_6|Atak podczas oblężenia, Orkowie vs Krasnoludy
mno_custom_battle_scenario_7|Zasadzka, Orkowie vs Elfy z Mrocznej Puszczy
mno_custom_battle_scenario_11|Testowe bitwy (Ciągle Balansowane!)
mno_custom_battle_scenario_10|Test bitwy krajobrazowej
mno_troll_battle_scenario|Test bitew troli.
mno_warg_battle_scenario|Test walki wargów
mno_build_your_own_scene|** Zbuduj własną scenę dla TLD **
menu_tutorial|^^TLD posiada wiele nowych opcji niedostępnych w podstawowej wersji M&B. Część jest opisanych w manualu PDF. Aby poznać podstawy mechaniki M&B proszę skorzystać z samouczka zawartego w Native
mno_go_back_dot|Wróć.
mno_action_view_troop_trees|Zobacz drzewka oddziałów.
mno_view_upkeep_costs|Zobacz koszt utrzymania
mno_view_character_report|Zobacz raport postaci
mno_view_party_size_report|Obejrzyj raport rozmiaru oddziału.
mno_view_morale_report|Obejrzyj raport morale oddziału.
mno_view_character_report_02|Sprawdź status NPC.
mno_view_faction_strengths_report|Obejrzyj raport siły frakcji.
mno_view_traits_report|Zobacz Cechy.
mno_resume_travelling|Wróć.
mno_custom_battle_go|Rozpocznij.
mno_leave_custom_battle_2|Anuluj.
menu_custom_battle_end|^^^^^^Bitwa skończona. {s1} Twój oddział zabił {reg5} wrogów, tracąc przy tym {reg6} ludzi.^Z twej ręki poległo {reg7} wrogów.
mno_replay|Rozegraj bitwę ponownie
mno_continue_dot|Dalej.
menu_quick_battle_general_test|^^^Obecna bitwa: ^team A: {reg10} {s10}^^VS^^ team B: {reg11} {s11}
mno_tAA|+5 Drużyna A
mno_tAB|-5 Drużyna A
mno_tAC|Wybierz jednostkę A
mno_tBA|+5 Drużyna B
mno_tBB|-5 Drużyna B
mno_tBC|Wybierz jednostkę B
mno_B|Zestaw 1
mno_F|WALCZ!
mno_dot_go_back|Powrót
menu_quick_battle_troll|^^^^^^^^Wybierz swój scenariusz
mno_troll_battle_scenario_10|Troll vs Piechota
mno_troll_battle_scenario_11|Troll vs Łucznicy
mno_troll_battle_scenario_12|Troll vs Kawaleria
mno_troll_battle_scenario_13|Troll vs Lansjerzy 
mno_troll_battle_scenario_14|Troll vs Troll
mno_troll_battle_scenario_15|Troll kontrolowany przez gracza
menu_quick_battle_wargs|^^^^^^^^Wybierz swój scenariusz
mno_warg_battle_scenario_10|Przeciwko wargowi: 1 vs 1
mno_warg_battle_scenario_11|Przeciwko wargom: 2 vs 3
mno_warg_battle_scenario_12|Przeciwko wargom: wielu na wielu
mno_warg_battle_scenario_10b|Graj wargiem: 1 vs 1
mno_warg_battle_scenario_11b|Graj wargiem: 2 vs 3
mno_warg_battle_scenario_12b|Graj wargiem: wielu vs wielu
menu_start_good|^^^^^^^^^^Wybierz rasę:
mno_start_ma|CZŁOWIEK
mno_start_el|ELF
mno_start_dw|KRASNOLUD 
mno_go_back|Wróć
menu_start_evil|^^^^^^^^^^Komu Służysz?
mno_start_eye|Sauron z Mordoru, Władca Pierścieni
mno_start_hand|Saruman z Isengardu, Biała Dłoń
menu_start_eye|^^^^^^^^^Twoim Mistrzem jest Oko^Wybierz rasę
mno_start_or|Ork, służący Oku Bez Powiek
mno_start_ur|Urok, nowa rasa orków
mno_start_em|Człowiek, podporządkowany pod Saurona
menu_start_hand|^^^^^^^^^Twoim Mistrzem jest Biała Ręka^Wybierz rasę
mno_start_whor|Ork, służący Białej Dłoni
mno_start_isur|Uruk-hai, rozmnożony w Isengardzie
mno_start_duma|Człowiek z Dunlandu, zachodnich równin
menu_start_good_man|^^^^^^^^^^Wybierz swój lud:
mno_start_go|Gondor, Królestwo Białej Wieży
mno_start_ro|Rohan, jeźdźcy koni
mno_start_du|Dunedainowie, starożytna dynastia ludzi
mno_start_be|Beorningowie, Niedźwiedzi lud
mno_start_da|Północne królestwo Dalii
menu_start_good_elf|^^^^^^^^^^który Las zamieszkujesz, Starcze?
mno_start_ri|Rivendell, Władcy Elronda
mno_start_lo|Lothlorien, Pani Galadrieli
mno_start_mi|Mroczna Puszcza, ziemia Leśnych Elfów
menu_start_good_dwarf|^^^^^^^^^^Wybierz rodowód:
mno_start_er|mieszkaniec Ereboru
mno_start_ih|górnik z Żelaznych Wzgórz
menu_start_gondor|^^^^^^^^^^Skąd jesteś, w Gondorze?
mno_start_mt|MINAS TIRITH, stolica
mno_start_ls|LOSSARNACH, Topornik Fiefdomu
mno_start_la|LAMEDON, Konnyczłonek klanu Fiefdomu
mno_start_pg|PINNATH GELIN, Fiefdomu z Zielonych Wzgórz
mno_start_do|DOL AMROTH, Łabędzi Rycerz Fiefdom
mno_start_pe|PELARGIR, Wybrzeża Fiefdomu
