hint_1|Biała Dłoń i Nagie Oko nie powinny sobie ufać
hint_2|Miejsce walki, to, komu pomagasz i przeciw komu walczysz wpływa na to, która frakcja zauważy twoje starania i być może je doceni.
hint_3|Zwiadowcy są źródłem informacji dla królestwa, podobnie jak więźniowie przyprowadzeni do ich lochów na tortury i przesłuchania. Uwalnianie więźniów i wysyłanie zwiadowców może oślepić wroga. 
hint_4|Pamiętaj, że twoje Punkty Zaopatrzenia są inne w każdym Królestwie, które pozwalają ci na zdobycie ekwipunku i jednostek w danym Królestwie
hint_5|Militarny upadek królestwa jest nieodwracalny. Mordoru nigdy nie może spotkać taki los, ale wojna się skończy gdy wyczerpie się siła militarna i wszyscy sojusznicy zostaną pokonani.
hint_6|Potrzeba zimnej krwi (INT) aby uniknąć spanikowania przed Nazgulem. Musisz mieć także idealną kontrolę nad swoim koniem by nie spanikował.
hint_7|Możesz odpoczywać, przytrzymując spację na mapie kampanii. Członkowie oddziału będą się jednak leczyć szybciej odpoczywając w mieście.
hint_8|Aby szybko sprzedawać i kupować przedmioty, przytrzymaj klawisz ctrl w oknie ekwipunku.
hint_9|Możesz szybko opuścić każdą lokację za pomocą klawisza Tab, natomiast za pomocą przycisku Backspace możesz wydawać rozkazy swoim ludziom podczas walki.
hint_10|Zwierzęta mogą panikować w pobliżu trolli i olog-hai. Uważaj!
hint_11|Siła robocza reprezentuje kluczowe zasoby królestwa: werbowanie i utrzymanie jednostek pod twoim dowództwem zużywa Punkty Zasobów odpowiedniej frakcji
hint_12|Możesz rozkazywać swoim żołnierzom podczas bitwy. Przytrzymując Shift możesz także przybliżyć widok podczas celowania w odległych wrogów.
