qstr_Received_{reg0}_dama|Otrzymano {reg0} obrażeń.
qstr_Gate_is_breached!|Brama wyłamana!
qstr_Gate_opens..._You_ha|Brama otwarta... Dotarł{eś/aś} do najświętszego miejsca Śródziemia!
qstr_Secret_place_discove|Sekretna lokacja odkryta!
qstr_Next_Page|Następna Strona
qstr_Action|Akcja
qstr_Mount|Dosiądź
qstr_Attack_Type|Typ ataku
qstr_Hold_This_Position|Utrzymać pozycję
qstr_Follow_Me|Za mną
qstr_Charge|Do ataku
qstr_Advance|Podejść
qstr_Fall_Back|Cofnąć się
qstr_Stand_Closer|Zgrupować się
qstr_Spread_Out|Rozproszyć się
qstr_Stand_Ground|Utrzymać pozycję
qstr_Dismount|Zsiąść z wierzchowców
qstr_Use_Any_Weapon|Używać dowolnych broni
qstr_Use_Blunt_Weapons|Używać broni obuchowych
qstr_Hold_Your_Fire|Wstrzymać ogień
qstr_Fire_At_Will|Rozpocząć ostrzał
qstr_Us|My
qstr_Allies|Sojusznicy
qstr_Enemies|Wrogowie
qstr_Ready|Gotowy
qstr_Wounded|Ranny
qstr_Dead|Martwy
qstr_Routed|Uciekł
qstr_Number_of_men_knocke|Liczba ogłuszonych ludzi: {reg1}
qstr_Number_of_men_left:_|Pozostało ludzi: {reg1}
qstr_Opponents_Beaten:_{r|Pokonani przeciwnicy: {reg1}
qstr_Opponents_Remaining:|Przeciwnicy do pokonania: {reg1}
qstr_Gauntlet_wave:_1|Fala Próby: 1
qstr_Gauntlet_wave:_{reg1|Fala Próby: {reg1}
qstr_Remain_in_retirement|Pozostań w stanie spoczynku.
qstr_Go_back_to_the_adven|Wróć do podróżowania.
qstr_A_peaceful_village_n|Spokojna wioska niedaleko Zachodniej Bruzdy...
qstr_The_War_is_upon_Roha|Wojna wkroczyła do Rohanu!
qstr_Minas_Tirith___The_W|Minas Tirith - Białe Miasto
qstr_The_White_Tree_stand|Białe Drzewo zdaje się martwe odkąd wygasła Królewska linia
qstr_And_the_Shadow_grows|Cień staje się coraz silniejszy na wschodzie
qstr_Minas_Morgul___City_|Minas Morgul - Miasto Nazguli
qstr_Sauron_s_armies_marc|Armia Saurona maszeruje na Wojnę!
qstr_Adventurers_at_audie|Poszukiwacze Przygód na audiencji u Namiestnika Denethora...
qstr___What_business_do_y| 'Co was sprowadza do Białego Miasta?'
qstr___Your_Stewardship_w| 'Wasza Namiestniczość, przybyliśmy z daleka by... skoczyć!'
qstr___Enough_of_this_mad| 'Dość tego szaleństwa! Straż!!'
qstr___I_ve_had_enough_of| 'Wystarczy tych żartów... Kolejna zgraja będzie musiała uklęknąć!'
qstr_Chest|Skrzynia
qstr_Cape|Peleryna
qstr_Arms|Ramiona
qstr_Thighs|Uda
qstr_Legs|Nogi
qstr_Rotate|Obrót
qstr_Close|Zamknij
qstr_Faction_Side:^^Campa|Strona frakcji:^ Trudności związane z kampanią*:^^Home Theater:^^Marshall:^^Enemies:^^^^^^^
qstr_Campaign_Difficulty_|Trudność w kampanii opiera się na początkowej sile frakcji, aktywnych wrogach, oraz wyposażeniu i rozwoju żołnierzy frakcji.
qstr_Rallies:|Zbiórki:
qstr_View_Keybinds__Press|Zobacz ustawienia klawiszy (wciśnij Insert)
qstr_What_do_you_fight_fo|O co walczysz?
qstr_Go_Back...|Wróć...
qstr_Learn_about_the_diff|Dowiedz się o różnych frakcjach Śródziemia
qstr_The_DAWN_of_a_New_Er|Świt Nowej Ery
qstr_The_TWILIGHT_of_Man|Zmierzch ery człowieka
qstr_Select_your_Race?|Wybierz swoją rasę?
qstr_Man|Człowiek
qstr_Elf|Elf
qstr_Dwarf|Krasnolud
qstr_Whom_Do_You_Serve?|Komu służysz?
qstr_SAURON_of_Mordor_The|SAURON, przywódca Mordoru, Władca Pierścieni
qstr_SARUMAN_of_Isengard_|SARUMAN z Isengardu, Biała ręka
qstr_an_ORC^_serving_the_|ORK,^ służący Ognistemu Oku
qstr_an_URUK^_the_new_bre|URUK,^ nowa rasa Orków
qstr_a_MAN^_subjugated_by|Ludzie, ^ podlegli Sauronowi
qstr_an_ORC^_serving_the_W|ORC,^ słudzy Białej Ręki
qstr_one_of_the_URUK_HAI^|Jeden z URUK-HAI, urodzony w Isengardzie
qstr_a_MAN_of_Dunland^_th|człowiek z Dunlandu,^ Zachodnie Równiny
