ip_formations_and_morale|Formações e Moral
ip_formations_and_morale_text|A suas tropas irão posicionar-se e esperar no início de cada batalha, de invés de entrar em carga cegamente. Apenas as fações principais (todas as 18) utilizam formações (+desertores), os bandidos irão entrar em carga automaticamente. Existe uma pequena diferença entre fações boas e más, a infantaria do bem irá formar uma parede de escudos (normalmente primeiro tropas com escudo - de defesa, mas pode formar uma falange se tiver piqueiros), enquanto que a infantaria do mal irá formar fileiras (melhores tropas à frente). As formações funcionam apenas em campos de batalhas (excluindo batalhas personalizadas e cercos).^^Em qualquer altura no jogo que você tenha uma formação ou "Esperar", irá ter efeito perto da posição onde o jogador estava quando o comando foi dado: infantaria à esquerda, cavalaria à direita, e arqueiros à frente. Adicionalmente, as formações poderão manter a mesma DIREÇÃO que o jogador tinha (dependendo do design do mod). Em qualquer altura que uma unidade forme uma formação específica, as tropas poderão espalhar-se para facilitar a formação (dependendo do design do mod). As tropas do jogador começam todas as batalhas em formação. A não ser que seja mudado no design do mod, as teclas de comando são: "J" para fileiras, "K" para fileiras baseadas nas armas (muro de escudos, falange), "L" para formação em cunha (o jogador deve reatribuir o "L" para o mapeamento do "Log")";" para formação em quadrado, "U" para nenhuma formação (desfazer formação). O comando de "fileiras" para os arqueiros põe-nos numa linha escalonada. A cavalaria não irá formar nenhuma formação para além da em cunha.^^Carga (Desmontar para a cavalaria) desfaz as formações. O jogador poderá Avançar várias vezes para conseguir que uma formação se mova contra a posição média do inimigo. Ou usar o painel de ordens ou prima-F1 para os posicionar (ou arraste pelo inimigo para a cunha de cavalaria). Como líder, você tem a responsabilidade de manter as suas tropas em ordem durante as batalhas. Quanto mais baixas sofrer, maior será o impacto na moral das suas tropas. Fique atento às mensagens que vão surgindo! Você pode apoiar as suas tropas de duas formas:^^1. Matando inimigos. Se você se sair bem, irá impressionar os seus homens e eles irão lutar mais arduamente e não fugirão.^^2. Reunindo as tropas. Se as suas tropas estão a fugir, pressione "V". A sua personagem irá soar um trompeta e reunir as tropas. Você só pode usar "Reunir" um número limitado de vezes por batalha (dependendo do seu nível de Carisma e Liderança)^^Pode ser bastante vantajoso se conseguir derrotar o comandante inimigo, porque priva os inimigos do seu líder, eles não podem ser reunidos. Por isso, assim que eles retirarem, não voltam.
ip_economy|Economia
ip_economy_text|Não existe dinheiro em TLD. Em vez disso, pode desenvolver relações com as fações - representado por Recursos, Influência e Posição.^^Os Recursos são necessários para sustentar a fação em guerra - você pode trocar por ferro-velho e objetos de saque e é-lhe dado um determinado pagamento de recursos todas as semanas, dependendo da sua posição numa fação. Pode utilizar este pagamento para adquirir soldados, equipamento, cavalos para comandar e companheiros que o sigam, mas apenas se acumular a quantidade suficiente. Você tem reservas separadas de recursos/influência/posição para cada Fação, não se esqueça!^Os pontos de Influência são lhe atribuídos ao terminar missões ou ao ganhar batalhas difíceis. Eles podem ser gastos mais tarde em objetos especiais, como recompensa dos líderes das fações que lhe atribuíram os pontos.^^Os pontos de Posição permitem-lhe elevar o seu grau hierárquico na fação - que irá determinar o tamanho máximo do seu grupo, o pagamento de recursos semanal e desbloquear outras coisas.^Com o objetivo de ser fiel ao conteúdo, também desativamos por padrão a opção do chamado "disfarce": um homem de Gondor nunca iria usar uma armadura de orc, e vice-versa. Depois da maioria das batalhas, irá encontrar poucos ou nenhuns objetos no saque que possam ser usados diretamente. Em vez disso, é deixado ferro-velho, que representa equipamento recuperável e que pode ser vendido a ferreiros, em troca de pontos de Recursos.
ip_war_of_the_ring|Guerra do Anel
ip_war_of_the_ring_text|No início do jogo a Guerra entre o bem e o mal ainda não começou. Você irá ser notificado quando começar. (Isto NÃO depende do tempo passado a jogar, mas do quão preparada está a sua personagem para a guerra.) Se no início a Terra Média parecer um lugar bastante vazio e sossegado, assim que a Guerra começar ficará rapidamente repleta de grupos hostis. Prepare-se e use os seus dias de paz sabiamente! Você pode realizar missões para os senhores e líderes de todas as fações aliadas, recrutar tropas e treinar nos quartéis.^^A própria guerra pode ser ganha ou perdida, ao contrário do M&B original. Cada fação tem um classificação de força - que muda de acordo com os sucessos e fracassos em batalha. Se a força diminuir suficientemente, torna-se possível aos inimigos cercarem cidades/campos de fações. Quando uma fação desce para o nível mais baixo é possível derrotá-la completamente invadido a sua capital.^^Aviso que no TLD, o jogador não pode começar cercos. Apenas pode ajudar a sua fação e aliados em batalhas de cerco se os seus líderes decidirem que é altura de invadir a povoação inimiga^^(Isto é uma decisão de design, não um bug. É também algo que queremos ajustar nas versões futuras, para que a opção de cerco esteja disponível, mas a um custo e dificuldade elevada de conseguir)^^Existem vários palcos de guerra em TLD, definidos pela geografia. Quando um lado elimina todos os inimigos do seu palco atual, irá enviar uma força expedicionária para ajudar os aliados noutros palcos. A força expedicionária irá construir um campo avançando noutro palco e manobrar daí. Se as forças do bem forem completamente derrotadas, mas se Mordor e Isengard ainda se mantiverem fortes, as duas torres irão combater uma contra a outra pela supremacia total.
ip_starting_tips|Dicas Iniciais
ip_starting_tips_text|Você escolhe a sua fação no início e não poderá trocar mais tarde. Também pode escolher diferentes raças: homens, elfos, anões, uruks, uruk-hais ou orcs. É de recordar que ambas a opções de fação e raça irão limitá-lo em certos aspetos. Algumas fações fornecem soldados excelentes, mas em número reduzido. Algumas têm tropas fracas, mas você pode recrutar em grande quantidade. Os orcs mais pequenos não podem usar armaduras destinadas a seres maiores, mas podem montar feras. Os anões têm equipamento excecional, mas não podem montar animais.^^Isto não foi concebido para ser totalmente equilibrado (artificialmente). Jogar com raças ou fações mais fracas pode ser mais difícil (no primeiro jogo, poderá preferir as opções, nos menus do início situados no topo da lista de alternativas).^^Você escolhe uma fação e luta por ela até o seu lado ganhar a grande guerra, ou até a sua fação ser eliminada. Nesse caso você pode continuar a lutar pelos seus aliados.^^- vaguear sem rumo não é boa ideia, a Guerra requer propósito e empenho da sua parte. Antes da guerra começar, tente reunir um grupo de guerreiros, arranje companheiros de baixos requisitos e algum equipamento para se preparar. Depois de a guerra começar, as suas estratégias podem variar. Lembre-se, é importante ajudar os aliados E derrubar o inimigo.^- realizar missões para os senhores das fações é uma boa maneira de subir de posição e conseguir pontes de recursos e influência.^- aceite múltiplas missões ao mesmo tempo, peça a toda a gente! Muitas vezes pode "fazer rondas" e completar outras enquanto entrega uma carta, por exemplo. Não desperdice tempo!
ip_rumours_and_legendary_places|Rumores e Locais Lendários
ip_rumours_and_legendary_places_text|Ao falar com a população de um povoamento, você pode ler comentários sobre a perspetiva da sua fação. Irão conter histórias interessantes e por vezes até informação que desbloqueia Locais Lendários no mapa.^^Alguns são apenas para explorar e não têm mais nenhum propósito, outros contêm missões únicas e easter eggs. Quando desbloquear um, será notificado por uma mensagem.
ip_trolls|Trolls
