itm_horse_meat|Carne de Cavalo
itm_practice_sword|Espada de Prática
itm_arena_lance|Lança
itm_practice_staff|Bastão de Madeira
itm_practice_bow|Arco de Prática
itm_wooden_javelin|Dardo de Madeira
itm_human_meat|Carne Humana
itm_maggoty_bread|Bão Bichado
itm_cram|Ração Amontoada
itm_lembas|Lembas
itm_smoked_fish|Peixe Defumado
itm_dried_meat|Carne Seca
itm_cattle_meat|Bife
itm_grain|Trigo
itm_tools|Ferramentas
itm_siege_supply|Suprimentos
itm_quest_wine|Vinho
itm_quest_ale|Cerveja
itm_metal_scraps_bad|Restos metálicos de má qualidade
itm_metal_scraps_medium|Restos metálicos usáveis
itm_metal_scraps_good|Resto metálicos de boa qualidade
itm_oliphant|Olifante
itm_sumpter_horse|Cavalo Sumpter
itm_saddle_horse|Cavalo de Sela
itm_steppe_horse|Cavalo de Estepe
itm_courser|Corcel
itm_hunter|Caçador
itm_pony|Pônei
itm_arnor_warhorse|Cavalo de Guerra Arnorian
itm_dunedain_warhorse|Cavalo de Guerra Dunedain
itm_rohirrim_courser|Corcel Rohirrim
itm_rohirrim_hunter|Caçador Rohirrim
itm_rohirrim_courser2|Corcel Rohirrim
itm_rohan_warhorse|Cavalo de Guerra Rohirrim
itm_thengel_warhorse|Cavalo de Guerra de Guarda Thengel
itm_rhun_horse_a|Cavalo Rhun
itm_rhun_horse_b|Cavalo Rhun
itm_rhun_horse_d|Cavalo Rhun
itm_rhun_horse_e|Cavalo Pesado Rhun
itm_rhun_horse_f|Cavalo Pesado Rhun
itm_rhun_horse_g|Cavalo Pesado Rhun
itm_rhun_horse_h|Cavalo Pesado Rhun
itm_dale_horse|Cavalo Dale
itm_dale_warhorse|Cavalo de Guerra Dale
itm_riv_warhorse|Cavalo de Guerra de Rivendell
itm_riv_warhorse2|Corcel de Imladris
itm_mordor_warhorse|Cavalo de Guerra de Mordor
itm_mordor_warhorse2|Cavalo de Guerra Sinistro de Mordor
itm_gondor_courser|Corcel de Gondor
itm_gondor_hunter|Caçador de Gondor
itm_dol_amroth_warhorse|Cavalo de Guerra de Dol Amroth
itm_dol_amroth_warhorse2|Cavalo de Guerra Pesado de Dol Amroth
itm_gondor_warhorse|Cavalo de Guerra de Gondor
itm_gondor_lam_horse|Cavalo blindado de Lamedon
itm_lorien_warhorse|Cavalo de Guerra de Lothlorien
itm_harad_horse|Cavalo de Harad
itm_harad_warhorse|Cavalo de Guerra de Harad
itm_variag_pony|Pônei de Variag
itm_variag_kataphrakt|Cavalo de Guerra de Easterling
itm_warg_1b|Warg
itm_warg_1c|Warg
itm_warg_1d|Warg
itm_wargarmored_1b|Warg Blindado
itm_wargarmored_1c|Warg Blindado
itm_wargarmored_2b|Warg Blindado
itm_wargarmored_2c|Warg Blindado
