p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Osgiliath Ocidental
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Hornburg
p_town_east_emnet|Emnet Oriental
p_town_westfold|Westfold
p_town_west_emnet|Emnet Ocidental
p_town_eastfold|Eastfold
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
; p_town_cirith_ungol|Emyn Muil Watchtower
p_town_east_osgiliath|Osgiliath Oriental
; p_town_orc_sentry_camp|Emyn Arnen Sentry
p_town_isengard|Isengard
p_town_urukhai_outpost|Posto Avançado de Uruk Hai
p_town_urukhai_h_camp|Campo de Caça de Uruk Hai
p_town_urukhai_r_camp|Campo do Lago de Uruk Hai
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Salões de Thranduil
; p_town_woodelf_camp|Woodelf South Camp
p_town_woodelf_west_camp|Campo de Elfo da Floresta do Oeste
p_town_woodsmen_village|Aldeia de Mateiros
p_town_beorning_village|Aldeia de Beorning
p_town_beorn_house|Casa de Beorn
p_town_moria|Portões de Moria
p_town_troll_cave|Caverna de Troll
p_town_dale|Vale
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Campo Dunlander
p_town_harad_camp|Campo Haradrim
p_town_khand_camp|Campo Khand
p_town_umbar_camp|Campo de Corsários
p_town_imladris_camp|Campo de Valfenda
p_town_dol_guldur|Dol Guldur
; p_town_dol_guldur_north_outpost|Dol Guldur Road Outpost
p_town_rhun_main_camp|Campo Principal de Rhun
p_town_rhun_south_camp|Posta Avançado Meridional Rhun
p_town_rhun_north_camp|Posto Avançado Setentrional Rhun
p_town_gundabad|Gundabad
; p_town_gundabad_ne_outpost|Grey Mountains Hold
; p_town_gundabad_nw_outpost|Grey Mountains Ravine
; p_town_goblin_north_outpost|Goblin Town
p_town_goblin_south_outpost|Posto Avançado Meridional de Goblins
p_town_gundabad_m_outpost|Posto Avançado Mirkwood Gundabad
p_town_erebor|Erebor
p_town_ironhill_camp|Pedreira das Colinas de Ferro
p_advcamp_gondor|Campo Avançado de Gondor
p_advcamp_rohan|Campo Avançado de Rhohan
p_advcamp_isengard|Campo Avançado de Isengard
p_advcamp_mordor|Campo Avançado de Mordor
p_advcamp_harad|Campo Avançado de Harad
p_advcamp_rhun|Campo Avançado Rhun
p_advcamp_khand|Campo Avançado Khand
p_advcamp_umbar|Campo Avançado Umbar
p_advcamp_lorien|Campo Avançado Lorien
p_advcamp_imladris|Campo Avançado Imladris
p_advcamp_woodelf|Campo Avançado Mirkwood
p_advcamp_moria|Campo Avançado de Moria
p_advcamp_guldur|Campo Avançado de Dol Guldur
p_advcamp_gundabad|Campo Avançado de GUndabad
p_advcamp_dale|Campo Avançado Dale
p_advcamp_dwarf|Campo Avançado de Erebor
p_advcamp_dunland|Campo Avançado de Dunland
p_advcamp_beorn|Campo Avançado de Beorning
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Símbolo da Mão de Isengard
p_mount_doom|Montanha da Perdição
p_town_barad_dur|Barad Dur
p_ford_cair_andros1|Anduin
p_ford_cair_andros2|Anduin
p_ford_caras_galadhon|Anduin
p_ford_brown_lands|Anduin
p_ford_rauros|Anduin.
p_ford_pelargir|Anduin
p_ford_edhellond|Anduin
p_ford_cerin_dolen|Silverlode
p_old_ford| Old Ford 
p_ford_erech|Ringlo
p_ford_isen1|Isen
p_ford_isen2|Isen
p_ford_rohan|Entwash
p_ford_rohan2|Entwash
p_ford_fangorn|Entwash
p_ford_fangorn2|Limlight
p_ford_moria|Silverlode
p_legend_amonhen|Amon Hen
p_legend_deadmarshes|Pântano dos Mortos
p_legend_mirkwood|Floresta Mirkwood
p_legend_fangorn|As Árvores Falantes de Fangorn
; p_fangorn_center|Fangorn Center
; p_ring_hunter_lair|Ring Hunters Lair
; p_raft|Raft Men
; p_amon_din|Amon Din
; p_eilenach|Eilenach
; p_nardol|Nardol
; p_erelas|Erelas
; p_min_rimmon|Min Rimmon
; p_calenhad|Calenhad
; p_amon_anwar|Amon Anwar
p_ancient_ruins|Ruínas Antigas
