skl_trade|Onderhandelaar
skl_trade_desc|Zorgt ervoor dat smeden en voorraad meesters beter meewerken en betere uitrusting aanbieden. (Groep vaardigheid)
skl_leadership|Leiderschap
; skl_leadership_desc|Every point increases maximum number of troops you can command by 5 (3 for companions), increases your party morale and coherence in battle. Makes more and stronger volunteers willing to follow you. (Personal skill)
skl_prisoner_management|Gevangenen Beheer
; skl_prisoner_management_desc|Every level of this skill increases maximum number of prisoners by %d. Improves chances of capturing and keeping prisoners .(Leader skill)
skl_persuasion|Planten Vaardigheid
skl_persuasion_desc|Het vermogen om te overleven in de wildernis en het naar je zin te buigen. Deze vaardigheid beïnvloedt het vermogen van de groep om zich voor de vijand te verbergen en de snelheid van de groep wanneer de groep zich op een bebost terrein bevindt. (groepsvaardigheid)
skl_engineer|-----
skl_engineer_desc|-----
skl_first_aid|Eerste Hulp
skl_first_aid_desc|Helden krijgen 5%% van hun gezondheidspunten terug tijdens een missie (groep's vaardigheid)
skl_surgery|Chirurgie
skl_surgery_desc|Elk punt voor deze vaardigheid geeft een 4%% kans dat een dodelijk getroffen groeps lid slechts gewond raakt en niet dood gaat. (Groep's vaardigheid)
skl_wound_treatment|Wondverzorging
skl_wound_treatment_desc|De snelheid waarmee je groep weer heelt gaat omhoog met 20%% per punt voor deze vaardigheid. (groep's vaardigheid)
skl_inventory_management|inventaris Beheer
; skl_inventory_management_desc|Increases inventory capacity by +6 per skill level. Reduces food consumption. (Leader skill)
skl_spotting|Spotten
skl_spotting_desc|Je groep kan 10%% verder zien per punt voor deze vaardigheid (groep's vaardigheid)
skl_pathfinding|Padvinden
skl_pathfinding_desc|Snelheid van je groep op de kaart gaat met 3%% omhoog per punt in deze vaardigheid (groep's vaardigheid)
skl_tactics|Tactieken
; skl_tactics_desc|Improves battle advantage. Increases battle join distance for enemy parties and decreases battle join distance for friendly parties by 3% per level. (Leader skill)
skl_tracking|Spoorzoeken
skl_tracking_desc|Sporen geven meer informatie. (groep's vaardigheid)
skl_trainer|Trainer
skl_trainer_desc|Elke dag voegt elke held met punten in deze vaardigheid ervaring toe aan leden in de groep die een lager level hebben dan de held/heldin zelf. Verkregen ervaring gaat als volgt: (0,4,10,16,23,30,38,46,55,65,80) (persoonlijke vaardigheid)
skl_looting|Plundering
; skl_looting_desc|Increases amount and quality of loot gained after battles. (Party skill)
skl_horse_archery|Schieten vanaf paard
skl_horse_archery_desc|Vermindert de aftrek aan schade en accuraatheid voor boogschieten en het gooien van voorwerpen als je op een paard zit. (persoonlijke vaardigheid)
skl_riding|Bereiden
skl_riding_desc|Laat je paarden (of andere dieren) van een hoger moeilijkheidslevel berijden en vergroot je snelheid en manoeuvreerbaarheid terwijl je dier berijd. (persoonlijke vaardigheid)
skl_athletics|Atletiek
skl_athletics_desc|Versnelt je rensnelheid. (persoonlijke vaardigheid)
skl_shield|Schild
; skl_shield_desc|reduces damage to shields (by 8%% per skill level), improves shield speed and coverage, reduces shield penalty when used with bows. (Personal skill)
skl_weapon_master|Wapenmeester
skl_weapon_master_desc|Maakt het makkelijker om te leren een wapen te beheersen en verhoogt de limieten in beheersing van wapens. limieten gaan als volgt: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (persoonlijke vaardigheid)
skl_power_draw|Trekkracht
skl_power_draw_desc|Laat speler sterkere bogen gebruiken. Elk punt voor deze vaardigheid (tot meer dan 4 vaardigheidspunten nodig om bepaalde bogen te kunnen bedienen) verbetert de schade die je doet met je boog met 14%%. (persoonlijke vaardigheid)
skl_power_throw|Gooikracht
skl_power_throw_desc|Elk punt voor deze vaardigheid verbetert de schade gedaan met gooiwapens met 10%% (persoonlijke vaardigheid)
skl_power_strike|Slagkracht
skl_power_strike_desc|Elk punt voor deze vaardigheid verbetert de schade gedaan door slag- en steekwapens met 8%% (persoonlijke vaardigheid)
skl_ironflesh|Stevige huid
; skl_ironflesh_desc|Each point to this skill increases hit points by +2, and lets you shrug off some damage without being wounded. (Personal skill)
