fac_no_faction|Geen Factie
fac_commoners|Burger
fac_outlaws|Woestelingen en Bandieten
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Isengard
fac_lorien|Lothlórien
fac_imladris|Imladris
fac_woodelf|Het Bosrijk
fac_dale|Dal
fac_harad|Harad
fac_rhun|Rhûn
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Berg Gundabad
fac_dunland|Donkerland
fac_beorn|Het Dal van de Anduin
fac_player_supporters_faction|Factie van de Speler
fac_player_faction|Factie van de Speler
fac_brigands|Rovers
fac_tribal_orcs|Ork Stamleden
fac_innocents|Onschuldigen
fac_merchants|Handelaren
fac_manhunters|Manjagers
fac_deserters|Deserteurs
fac_mountain_bandits|Berg Bandieten
fac_forest_bandits|Bos Bandieten
