pt_rescued_prisoners|Geredde gevangenen
pt_enemy|Vijand
; pt_hero_party|Hero Party
; pt_cattle_herd|Cattle Herd
pt_ruins|Ruïnes
pt_legendary_place|Legendarische Plek
pt_mound|Helden 
; pt_pyre|Hero Pyre
; pt_wild_troll|Wild Troll
; pt_raging_trolls|Raging Trolls
pt_looters|Stammen Orks
; pt_forest_bandits|Orc Stragglers
; pt_mountain_bandits|Wild Goblins
; pt_steppe_bandits|Dunland Outcasts
; pt_sea_raiders|Corsair Renegades
pt_deserters|Weglopers
; pt_merchant_caravan|Merchant Caravan
; pt_troublesome_bandits|Troublesome Goblins
; pt_fangorn_orcs|Tree-chopping Orcs
; pt_village_farmers|Village Farmers
; pt_spy_partners|Suspicious Travellers
; pt_spy_partners_evil|Suspicious Travellers
; pt_runaway_serfs|Runaway Slaves
pt_spy|Eenzame Rijder
pt_spy_evil|Eenzame Rijder
; pt_sacrificed_messenger|Sacrificed Messenger
pt_gandalf|Eenzame Rijder
pt_nazgul|Eenzame Rijder
pt_gondor_scouts|Gondoriaanse Verkenners
pt_blackroot_auxila|Blackroot Auxilia
pt_lamedon_auxila|Lamedon Auxilia
; pt_lossarnach_auxila|Lossarnach Auxilia
; pt_pinnath_gelin_auxila|Pinnath Gelin Auxilia
; pt_ranger_scouts|Ranger Scouts
pt_rohan_scouts|Rohirrim verkenners
pt_lorien_scouts|Lothlórien verkenners
pt_woodelf_scouts|Demsterwold Elven verkenners
pt_imladris_scouts|Rivendell Elven verkenners
pt_dale_scouts|Dale verkenners
pt_esgaroth_scouts|Esgaroth verkenners
pt_dwarf_scouts|Dwergen verkenners
pt_beorn_scouts|Beorning verkenners
pt_woodmen_scouts|Woodmen verkenners
pt_mordor_scouts|Mordor Verkenners
pt_morgul_scouts|Morgul verkenners
pt_isengard_scouts|Isengard verkenners
; pt_isengard_scouts_warg|Isengard Warg Riders
pt_harad_scouts|Haradrim verkenners
pt_dunland_scouts|Dunlending verkenners
pt_umbar_scouts|Corsair verkenners
pt_khand_scouts|Oosterling verkenners
pt_moria_scouts|Moria verkenners
pt_guldur_scouts|Dol Guldur verkenners
pt_gundabad_scouts|Gundabad verkenners
pt_rhun_scouts|Rhûn verkenners
; pt_gondor_raiders|Gondor Foragers
; pt_rohan_raiders|Rohirrim Foragers
; pt_imladris_raiders|Rivendell Foragers
; pt_lorien_raiders|Lothlorien Foragers
; pt_woodelf_raiders|Mirkwood Foragers
; pt_dale_raiders|Dale Foragers
; pt_dwarf_raiders|Dwarven Foragers
; pt_ranger_raiders|Ranger Raiders
; pt_morgul_raiders|Morgul Raiders
; pt_mordor_raiders|Mordor Raiders
; pt_isengard_raiders|Isengard Raiders
; pt_dunland_raiders|Dunlending Raiders
; pt_harad_raiders|Haradrim Raiders
; pt_khand_raiders|Khand Raiders
; pt_umbar_raiders|Umbar Raiders
; pt_moria_raiders|Moria Raiders
