ip_formations_and_morale|Formaties en Moraal
ip_formations_and_morale_text|Uw troepen zullen zichzelf positioneren en blijven staan aan het begin van ieder gevecht in plaats van blind ten strijde te gaan. Alleen grote fracties (alle 18) gebruiken formaties (+deserteurs), struikrovers zullen gewoon ten strijde trekken. Er is een klein verschil tussen goede en slechte fracties, goede infanterie zal schildmuren (meestal defensieve troepen met schilden eerst, maar het kan ook een phalanx worden indien u spiestroepen heeft), terwijl slechte infanterie rangen zal vormen met de beste troepen aan de voorkant. Formaties werken alleen bij gevechten in open velden (dus niet tijdens belegeringsgevechten en zelfgemaakte gevechten.\nElke keer dat je een order geeft tot een formatie of stilstaan zal deze formatie zich opzetten op de plaats waar de speler stond toen hij de order gaf: infanterie links, cavalerie rechts, boogschutters aan de voorkant. Daarnaast zullen formaties (bij sommige mods) ook de richting aannemen waarin de speler keek toen hij de order gaf. Elke keer dat een groep troepen een formatie aanneemt kunnen ze uitspreiden om makkelijker op te kunnen stellen (ligt eraan welke mod). Troepen van de speler starten elk gevecht in formatie. Tenzij de mod dit heeft verandert, formatieknoppen zijn "J" voor rangen, "K" voor rangen gebaseerd op wapens (schildmuur, phalanx), "L" voor wig (de speler kan de "L" knop aanpassen voor het bekijken van "Logs", voor een vierkant gebruikt u ";", als u geen formatie wilt gebruikt u "U"(maak formatie ongedaan). Het "rangen" commando voor boogschutters stopt ze in een onderbroken lijn. Cavalerie kan enkel de wig formatie aannemen.\nOrders geven tot een directe aanval (of het afsteigen voor cavalerie) zorgt ervoor dat de formaties ongedaan worden. De speler kan het commando om vooruit te gaan verschillende keren gebruiken om de formatie tot de positie van de tegenstander te krijgen. Of gebruik het commando panel of hou F1 ingedrukt om het einddoel te plaatsen (of sleep ze door de vijand heen voor de cavalerie wig. Als leider is het je verantwoordelijkheid om je troepen in orde te houden. Hoe meer verliezen je leid, hoe meer hun moraal omlaag gaat. Kijk goed naar berichten die naar voren komen. Je kan je troepen op twee manieren helpen,\n1 Vijanden doden. Als je dit goed doet maak je indruk op je troepen en zullen ze harder vechten en niet vluchten.\n2 Verenig ze. Als je troepen aan het vluchten zijn, druk op "V". Je character zal op een hoorn blazen en de troepen verenigen. Je kan maar een paar keer de troepen verenigen per gevecht! (hoe vaak je dit kan doen hangt af van je charisma en leiderschap)\nHet kan een heel voordeel zijn als je de vijandelijke leider kan verslaan, want dan zitten de vijandelijke troepen zonder leider en kunnen ze niet meer verenigd worden en kunnen ze niet meer terugkomen als ze op de vlucht slaan
ip_economy|Economie
ip_economy_text|Er is geen geld in TLD. In plaats daarvan bouw je relaties op met Facties - Gereprensenteerd door Bronmiddelen, influentie en rang.^^Geldmiddelen zijn nodig om de factie war te kunnen betalen - je kan geplunderde materialen en voorwerpen verkopen, ook krijg je een aantal geldmiddelen elke week van je factie. Je kan dit gebruiken voor soldaten,  uitrusting, paarden en kameraden te kopen als je genoeg hebt. Je hebt een apparte Bronmiddelen/Influentie/Rang voor elke Factie. Vergeet dat niet! Influentie punten worden behaald door het behalen van missies en het winnen van gevechten. Ze kunnen later gebruikt worden voor speciale gereedschappen als beloning van een factie leider waar je deze verdient hebt.^^Rang punten worden gebruikt om een hogere rang in je factie te halen - Dit bepaalt hoe groot je groep kan zijn, je weekelijke inkomen en andere dingen.^Omdat we trouw aan het verhaal zin hebben wij zogenoemde "crossdressen" uitgeschakeld. Een gondoriaan zou nooit orc harnas dragen of vice versa. Na meeste gevechten zal je bijna nooit spullen vinden die je kan gebruiken. Inplaats daarvan krijg je "Metalen overblijvselen" krijgen. Deze kunnen verkocht worden voor Geldmiddelen.
ip_war_of_the_ring|Oorlog voor de Ring
ip_war_of_the_ring_text|In het begin van het spel is de Oorlog tussen het goede en het kwade nog niet begonnen. Je krijgt een notificatie als het begint. (Wanneer de Oorlog start, ligt niet aan de hoeveelheid tijd die in het spel is gestoken. Het ligt aan hoe klaar jouw character is voor de Oorlog) Terwijl Midden-Aarde er misschien uitziet als een redelijk kaal en stille plek in het begin, wordt het heel snel gevuld met vijandige partijen zodra de Oorlog begint. Wees voorbereid en gebruik jouw enkele dagen van vrede wijs! Je kan opdrachten uitvoeren voor de heersers en leiders van alle geallieerde facties, troepen verzamelen en jezelf trainen in de barakken.^^De oorlog zichzelf kan gewonnen of verloren worden, verschillend van de originele Mount&Blade. Iedere factie heeft een meting van kracht - die verandert door de successen of mislukkingen van een factie in gevechten. Als de kracht laag genoeg daalt, wordt het mogelijk voor vijanden om steden/kampen van die factie te belegeren. Wanneer een factie daalt naar het laagst mogelijke niveau, wordt het mogelijk om de factie totaal en onmiddellijk te verslaan door de hoofdstad te bestormen.^^Neem nota dat de speler zichzelf niet bestormingen kan beginnen in TLD. De speler kan alleen zijn factie en bondgenoten helpen bij bestormingen als hun leiders besluiten dat het tijd is om de vijandelijke nederzetting te bestormen.^^(Dit is een design keuze, niet een bug. Het is ook iets wat we willen aanpassen in toekomstige releases, dus de optie om te belegeren is beschikbaar, maar erg kostelijk en moeilijk om te verkrijgen)^^Er zijn verscheidene "Theatres of war", een regio van land, zee en lucht die ooit betrokken zal zijn of huidig betrokken is bij oorlog, in TLD, gedefinieerd door geografie. Als één zijde alle vijanden elimineert in de huidige Theatre, zal het een expeditie-strijdmacht sturen naar andere Theatres om bondgenoten te helpen. Expeditie-strijdmachten zullen geavanceerde kampen bouwen in de andere Theatre en vanaf daar werken. Als de machten van het Goede helemaal verslagen zijn, maar Mordor en Isengard staan nog steeds stevig, zullen de Twee Torens elkaar bevechten voor totale dominatie.
ip_starting_tips|Starttips
ip_starting_tips_text|Je kiest je factie hier en je kan dit niet later veranderen. Je kan ook verschillende rassen kiezen: Mensen, Elven, Dwergen, Uruks, Uruk-Hais of Orks. Herriner dat beide zowel de factie als de ras die je kiest je limieteerd in bepaalde wegen. Sommige facties hebben goede soldaten maar in kleine hoeveelheden. Sommige hebben slechte soldaten maar kunnen met veel meer worden ingehuurd. Kleine orks kunnen niet grote ork bepantsering dragen. Maar kunnen besten berijden. Dwergen hebben goede uitrusting maar kunnen niet beesten bereiden.^^Dit is niet ontworpen om gebalanceerd te zijn. Het spelen van Minder krachtige Rassen of facies can meer of een uitdaging zijn. (Je eerste game zou je mischien het makkelijker willen daa kan je dit in de opties in het start menu bij alternatieven aanpassen)^^ Je kiest je Factie en je vecht voor hun tot jou kant wint of totdat je compleet verslagen wordt. In dat geval kun je vechten voor je bondgenoten.^^- Zonder een doel verkennen zal niet een goed idee zijn. Hoe de oorlog afloop hangt van jou af. Voor de oorlog start zal je een groep krijgers, een paar kameraden en wat goede uitrustingen moeten be elkaar zien te krijgen. Nadat de oorlog start you strategieen kunnen verschillend zijn. Het is belangrijk dat jij je bondgenoten helpt EN en de vijand verslaat.^- Missies voor factie Leiders doen is is een goede manier om een rang omhoog te en Geld Middelen te krijgen.^- Neem meerdere missies tegelijk en vraag iedereen! Je moet vaak naar dezelfde plek voor meerdere missies gaan. Verspil je tijd niet!
ip_rumours_and_legendary_places|Geruchten en Legendarische Plaatsen
ip_rumours_and_legendary_places_text|Als je met de populatie praat in nederzettingen kan je commentaar vanuit het kijkpunt van de fractie zien. dit zullen vaak interessante verhalen zijn en soms ontsleutelt het speciale legendarische gebieden op de wereldkaart.\nSommige van deze gebieden zijn enkel voor onderzoeking en hebben voor de rest geen doel, maar sommige hebben unieke missies en verborgen grappen. Als je een zo een gebied ontsleutelt krijg je een notificatie.
ip_trolls|Trollen
