pt_rescued_prisoners|Megmentett foglyok
pt_enemy|Ellenség
pt_hero_party|Hős csapata
pt_cattle_herd|Marhacsorda
pt_ruins|Romok
pt_legendary_place|Legendás helyszín
pt_mound|Hős sírdombja
pt_pyre|Hős halotti máglyája
pt_wild_troll|Vad troll
pt_raging_trolls|Dühöngő trollok
pt_looters|Törzsi orkok
pt_forest_bandits|Ork kóborgók
pt_mountain_bandits|Vad koboldok
pt_steppe_bandits|Dúnföldi száműzöttek
pt_sea_raiders|Kalóz árulók
pt_deserters|Dezertőtök
pt_merchant_caravan|Kereskedő karaván
pt_troublesome_bandits|Problémás koboldok
pt_fangorn_orcs|Favágó orkok
pt_village_farmers|Falusi parasztok
pt_spy_partners|Gyanús utazók
pt_spy_partners_evil|Gyanús utazók
pt_runaway_serfs|Szökött rabszolgák
pt_spy|Magányos lovas
pt_spy_evil|Magányos lovas
pt_ents|Entek
pt_gandalf|Magányos lovas
pt_nazgul|Magányos lovas
pt_gondor_scouts|Gondori felderítők
pt_blackroot_auxila|Feketegyökéri auxilia
pt_lamedon_auxila|Lamedoni auxilia
pt_lossarnach_auxila|Lossarnachi auxilia
pt_pinnath_gelin_auxila|Pinnath Gelini auxilia
pt_ranger_scouts|Kósza felderítők
pt_rohan_scouts|Rohír felderítők
pt_lorien_scouts|Lothlórieni felderítők
pt_woodelf_scouts|Bakacsinerdei tünde felderítők
pt_imladris_scouts|Dúnadán felderítők
pt_dale_scouts|Suhatagi felderítők
pt_esgaroth_scouts|Tóvárosi felderítők
pt_dwarf_scouts|Törp őrszemek
pt_beorn_scouts|Beornfi felderítők
pt_woodmen_scouts|Erdőnépi felderítők
pt_mordor_scouts|Mordori felderítők
pt_morgul_scouts|Morguli felderítők
pt_isengard_scouts|Vasudvardi felderítők
pt_isengard_scouts_warg|Vasudvardi varg lovasok
pt_harad_scouts|Haradrim felderítők
pt_dunland_scouts|Dúnföldi felderítők
pt_umbar_scouts|Kalóz felderítők
pt_khand_scouts|Keletlakó felderítők
pt_moria_scouts|Móriai felderítők
pt_guldur_scouts|Dol Gulduri felderítők
pt_gundabad_scouts|Gundabadi felderítők
pt_rhun_scouts|Rhûni felderítők
pt_gondor_raiders|Gondori gyűjtögetők
pt_rohan_raiders|Rohír gyűjtögetők
pt_imladris_raiders|Völgyzugolyi gyűjtögetők
pt_lorien_raiders|Lothlórieni gyűjtögetők
pt_woodelf_raiders|Bakacsinerdei gyűjtögetők
pt_dale_raiders|Suhatagi gyűjtögetők
pt_dwarf_raiders|Törp gyűjtőgetők
pt_ranger_raiders|Kósza fosztogatók
pt_morgul_raiders|Morguli fosztogatók
pt_mordor_raiders|Mordor fosztogatók
pt_isengard_raiders|Vasudvardi fosztogatók
pt_dunland_raiders|Dúnföldi fosztogatók
pt_harad_raiders|Haradrim fosztogatók
pt_khand_raiders|Khandi fosztogatók
pt_umbar_raiders|Umbari fosztogatók
pt_moria_raiders|Móriai fosztogatók
pt_guldur_raiders|Dol Gulduri fosztogatók
pt_gundabad_raiders|Gundabadi fosztogatók
pt_rhun_raiders|Rhûni fosztogatók
pt_gondor_patrol|Gondori őrjárat
pt_rohan_patrol|Rohír őrjárat
pt_imladris_patrol|Dúnadán őrjárat
pt_lorien_patrol|Lothlórieni őrjárat
pt_woodelf_patrol|Bakacsinerdei őrjárat
pt_dale_patrol|Suhatagi őrjárat
pt_esgaroth_patrol|Tóvárosi őrjárat
pt_dwarf_patrol|Törp őrjárat
pt_ranger_patrol|Kósza őrjárat
pt_amroth_patrol|Dol Amrothi őrjárat
pt_pelargir_patrol|Pelargiri őrjárat
pt_lossarnach_patrol|Lossarnachi őrjárat
pt_brv_patrol|Feketegyökéri őrjárat
pt_pinnath_patrol|Pinnathi őrjárat
pt_lamedon_patrol|Lamedoni őrjárat 
pt_mordor_war_party|Mordori hadsereg
pt_isengard_war_party|Vasudvardi hadsereg
pt_harad_war_party|Haradi hadsereg
pt_dunland_war_party|Dúnföldi bandérium
pt_khand_war_party|Variag hadsereg
pt_moria_war_party|Móriai hadsereg
pt_guldur_war_party|Dol Gulduri hadsereg
pt_rhun_war_party|Rhûni hadsereg
pt_gondor_company|Minas Tirithi őrjárat
pt_rohan_company|Rohani század
pt_imladris_company|Völgyzugolyi század
pt_lorien_company|Lothlórieni század
pt_woodelf_company|Bakacsinerdei század
pt_dale_company|Suhatagi század
pt_dwarf_company|Törp század
pt_gondor_elite_company|Gondori elit század
pt_rohan_elite_company|Rohani elit század
pt_imladris_elite_company|Völgyzugolyi elit század
pt_lorien_elite_company|Lothlórieni elit század
pt_woodelf_elite_company|Bakacsinerdei elit század
pt_dale_elite_company|Suhatagi elit század
pt_dwarf_elite_company|Törp elit század
pt_gondor_caravan|Gondori karaván
pt_rohan_caravan|Rohani karaván
pt_imladris_caravan|Völgyzugolyi karaván
pt_lorien_caravan|Lothlórieni karaván
pt_woodelf_caravan|Bakacsinerdei karaván
pt_dale_caravan|Suhatagi karaván
pt_dwarf_caravan|Törp karaván
pt_mordor_caravan|Mordori ellátmányos konvoj
pt_isengard_caravan|Vasudvardi ellátmányos konvoj
pt_gunda_caravan|Gundabadi ellátmányos konvoj
pt_gondor_p_train|Gondori fogoly konvoj
pt_rohan_p_train|Rohani fogoly konvoj
pt_imladris_p_train|Völgyzugolyi fogoly konvoj
pt_lorien_p_train|Lothlórieni fogoly konvoj
pt_woodelf_p_train|Bakacsinerdei fogoly konvoj
pt_dale_p_train|Suhatagi fogoly konvoj
pt_dwarf_p_train|Törp fogoly konvoj
pt_mordor_p_train|Mordori fogoly konvoj
pt_isengard_p_train|Vasudvardi fogoly konvoj
pt_kingdom_hero_party|Hadsereg
pt_caravan_survivors|Karaván túlélők
pt_routed_allies|Megmenekült szövetségesek
pt_routed_enemies|Megmenekült ellenségek
pt_legion_minas_morgul|Minas Morgul légiója
pt_legion_udun|Udûn légiója
pt_legion_gorgoroth|Gorgoth légiója
pt_legion_barad_dur|Barad-dûr légiója
pt_beorn_messenger|Beornfi hírvívő
pt_village|Falu
pt_ring_hunters|Gyűrűvadászok
pt_scout_camp_small|Felderítő tábor
pt_scout_camp_large|Megerősített felderítő tábor
pt_beorn_caravan|Erdőnépi karaván
pt_orc_horde|Ork horda
; pt_volunteers|Reserves
pt_refugees|Menekültek
; pt_retreat_troops|Cover Troops
pt_radagast|Magányos lovas
