imod_plain|Egyszerű %s
imod_cracked|Törött %s
imod_rusty|Rozsdás %s
imod_bent|Elhajlott %s
imod_chipped|Kicsorbult %s
imod_battered|Kopott %s
imod_poor|Silány %s
imod_crude|Amatőr %s
imod_old|Öreg %s
imod_cheap|Olcsó %s
imod_fine|Jó %s
imod_well_made|Szakszerű %s
imod_sharp|Éles %s
imod_balanced|Kiegyensúlyozott %s
imod_tempered|Élezett %s
imod_deadly|Halálos %s
imod_exquisite|Tökéletes %s
imod_masterwork|Mestermunka %s
imod_heavy|Nehéz%s
imod_strong|Erős %s
imod_powerful|Erőteljes %s
imod_tattered|Foszlott %s
imod_ragged|Rongyos %s
imod_rough|Durva %s
imod_sturdy|Kemény %s
imod_thick|Vastag %s
imod_hardened|Keményített %s
imod_reinforced|Megerősített %s
imod_superb|Remek %s
imod_lordly|Méltóságteljes %s
imod_lame|Sánta %s
imod_swaybacked|Előremélyedt hátú %s
imod_stubborn|Csökönyös %s
imod_timid|Félénk %s
imod_meek|Szelíd %s
imod_spirited|Lelkes %s
imod_champion|Bajnoki %s
imod_fresh|Friss %s
imod_day_old|Egynapos %s
imod_two_day_old|Kétnapos %s
imod_smelling|Bűzlő %s
imod_rotten|Rohadt %s
imod_large_bag|Nagy zsáknyi %s
