skinkey_chin_size|Áll mérete
skinkey_chin_shape|Áll formája
skinkey_chin_forward|Áll előreugrása
skinkey_jaw_width|Állkapocs szélessége
; skinkey_jaw_definition|Jaw Definition
skinkey_lower_lip|Alsó ajak
skinkey_upper_lip|Felső ajak
skinkey_mouth_nose_distance|Száj-orr távolsága
skinkey_mouth_width|Száj szélessége
skinkey_nostril_size|Orrlyuk méret
skinkey_nose_height|Orr magassága
skinkey_nose_width|Orr szélessége
skinkey_nose_size|Orr mérete
skinkey_nose_shape|Orr formája
skinkey_nose_bridge|Orr nyerge

skinkey_eye_width|Szem magassága
skinkey_eye_to_eye_dist|Szemek közti távolság
skinkey_eye_shape|Szem formája
skinkey_eye_depth|Szem mélysége
skinkey_eyelids|Szemhéjak
skinkey_cheeks|Arcok
skinkey_cheek_bones|Arccsontok
skinkey_eyebrow_height|Szemöldökök magassága

skinkey_eyebrow_shape|Szemöldökök formája
skinkey_temple_width|Halánték szélessége
skinkey_face_depth|Arc mélysége
skinkey_face_ratio|Arc aránya
skinkey_face_width|Arc szélessége
skinkey_post_edit|Utó-módosítás
skinkey_jaw_position|Állkapocs helyzete
skinkey_eyebrow_position|Szemöldökök elhelyezkedése
skinkey_eyebrow_depth|Szemöldökök mélysége
skinkey_snout_height|Ormány magassága
skinkey_snout_width|Ormány szélessége
skinkey_snout_size|Ormány formája
skinkey_snout_shape|Ormány alakja
skinkey_weight|Magasság
skinkey_mouth_shape|Száj formája
skinkey_eye_size|Szem formája
skinkey_eye_slant|Szem ferdesége
skinkey_frawn|Ráncosság
skinkey_mouth_vert_pos|Száj függőleges görbülete
skinkey_mouth_to_nose_dist|Száj és orr közti távolság
skinkey_chin_width|Áll magassága
