fac_no_faction|Frakció nélküli
fac_commoners|Közemberek
fac_outlaws|Rablók és banditák
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Vasudvard
fac_lorien|Lothlórien
fac_imladris|Imladris
fac_woodelf|Az Erdei Birodalom
fac_dale|Suhatag
fac_harad|Harad
fac_rhun|Rhûn
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Mória
fac_guldur|Dol Guldur
fac_gundabad|Gundabad hegye
fac_dunland|Dúnfölde
fac_beorn|Az Anduin Völgy
fac_player_supporters_faction|Játékos népe
fac_player_faction|Játékos népe
fac_brigands|Banditák
fac_tribal_orcs|Törzsi orkok
fac_innocents|Ártatlanok
fac_merchants|Kereskedők
fac_manhunters|Embervadászok
fac_deserters|Dezertőrök
fac_mountain_bandits|Hegyi rablók
fac_forest_bandits|Erdei rablók
