menu_start_game_1|^^^^^^^^^^Miért küzdesz?
mno_start_good|egy új korszak HAJNALA
mno_start_evil|az Emberek ALKONYA
mno_faction_intros|Tanulj Középfölde különböző népeiről
mno_go_bback|Vissza
menu_start_phase_2|^^^^^ Középfölde. Egy árnyék növekszik Keleten, ^ és sötét dolgok bújnak elő, melyek sokáig rejtőztek. ^ A szabad népek felkészülnek a háborúra, egy olyanra melyet évszázadok óta nem látott a világ. ^ Emberek, Tündék, Törpék, Orkok; mindannyian kiveszik belőle a részüket. ^^ Hogy milyen részt, azt még nem tudni,..
mno_go_forth|Haladj előre a választott utadon...
mno_change_tld_options|Az Utolsó Napok beállításainak megváltoztatása.
menu_start_game_3|^^^^^^^^Válaszd ki a körülményeket:
mno_custom_battle_scenario_1|Portyázás, Gondor népei Harad ellen
mno_custom_battle_scenario_12|Válaszd ki a népeket a csatára
mno_custom_battle_scenario_3|Portyázás, Tündék a Fekete Númenoriak ellen
mno_custom_battle_scenario_4|Helm-szurdok védelme, Rohan Vasudvard ellen
mno_custom_battle_scenario_5|Portyázás, Észak népei Rhûn ellen
mno_custom_battle_scenario_6|Ostrom, Orkok a Törpök ellen
mno_custom_battle_scenario_7|Rajtaütés, Orkok a Bakacsinerdő ellen
mno_custom_battle_scenario_8|Durin népének végső helytállása
mno_custom_battle_scenario_88|egy Ork felderítő csapat üldözése
mno_custom_battle_scenario_11|Teszt csaták (Összhang beállítása!)
mno_custom_battle_scenario_10|Látvány tesztharc
mno_troll_battle_scenario|Troll Csata Tesztelés
mno_warg_battle_scenario|Varg Csata Tesztelés
mno_build_your_own_scene|** Alkosd meg saját csatajelenetedet az Utolsó Napokhoz **
mno_go_back|Vissza
menu_tutorial|^^ Légy üdvözölve a Mount & Blade Harci Oktatómódjában. Itt megfogod tanulni a harc alapjait, és egy átfogó áttekintést is kapsz majd az egységek irányításáról a csatatéren.
mno_tutorial_1|Oktatás #1: Alapvető mozgás és fegyverválasztás. {s1}
mno_tutorial_2|Oktatás #2: Harc pajzzsal. {s2}
mno_tutorial_3|Oktatás #3: Harc pajzs nélkül. {s3}
mno_tutorial_3b_door|következő szint
mno_tutorial_4|Oktatás #4: Lovaglás lovon vagy vargon. {s4}
mno_tutorial_5|Oktatás #5: Parancsosztás egy csapat katonának. {s5}
mno_go_back_dot|Vissza.
mno_action_view_troop_trees|Egység-fák megtekintése.
mno_view_upkeep_costs|Fenntartási költségek megtekintése.
mno_view_character_report|Karakterbeszámoló megtekintése.
mno_view_party_size_report|Csapatméret beszámolójának megtekintése.
mno_view_morale_report|Csapatmorál beszámolójának megtekintése.
mno_view_character_report_02|NJK állapotának ellenőrzése.
mno_view_faction_strengths_report|Néperő beszámolójának megtekintése.
mno_view_traits_report|Jellemvonások megtekintése.
mno_resume_travelling|Utazás folytatása.
mno_custom_battle_go|Játék inditása.
mno_leave_custom_battle_2|Mégsem.
menu_custom_battle_end|^^^^^^A csatának vége. {s1} A sereged megölt {reg5} ellenfelet és elvesztett {reg6} katonát a csata során.^Te egyedül megöltél {reg7} ellenfelet a harcban.
mno_replay|Csata újrajátszása.
mno_continue_dot|Folytatás.
menu_custom_battle_durin_end|^^^^^^Ez egy csodálatra méltó végső helytállás volt, de végérvényesen bukásra ítéltetett.^^ Te és a rokonaid {reg5} ellenséget öltetek meg.^Te személyesen {reg7} ellenfelet kaszaboltál le a harc alatt.
mno_replay_cbd|Csata újrajátszása.
mno_continue_dot_cbd|Folytatás.
mno_dot_go_back|. Vissza
menu_start_good|^^^^^^^^^^Válassz fajt:
mno_start_ma|EMBER
mno_start_el|TÜNDE
mno_start_dw|TÖRP
menu_start_evil|^^^^^^^^^^Kit szolgálsz?
mno_start_eye|a Mordori SZAURONt, a Gyűrűk Urát
mno_start_hand|a Vasudvardi SZARUMÁNt, a Fehér Kezet
menu_start_eye|^^^^^^^^^Mestered a Mindent Látó Szem^Válassz fajt:
mno_start_or|egy ORK, a Mindent Látó Szem szolgálatában
mno_start_ur|egy URUK, az orkok új fajtája
mno_start_em|egy EMBER, Szauron által leigázva
menu_start_hand|^^^^^^^^^Mestered a Fehér Kéz^Válassz Fajt:
mno_start_whor|egy ORK, a Fehér Kéz szolgálatában
mno_start_isur|az URUK-HAI egyike, Vasudvardban tenyésztve 
mno_start_duma|egy dúnföldi EMBER, a Nyugati Mezőkről
menu_start_good_man|^^^^^^^^^Válassz népet:
mno_start_go|GONDOR, a Fehér Torony Királysága
mno_start_ro|ROHAN, a lovasnép
mno_start_du|DÚNADÁN, az Emberek ősi vérvonala
mno_start_be|BEORNFIAK, a Medve népe
; mno_start_wo|WOODMEN, from the eaves of Mirkwood
mno_start_da|SUHATAG északi Királysága
menu_start_good_elf|^^^^^^^^^^Melyik erdőben élsz, Elsőszülött?
mno_start_ri|VÖLGYZUGOLY, Elrond úré
mno_start_lo|LOTHLÓRIEN, Galadriel úrnőé
mno_start_mi|BAKACSINERDŐ, az erdőtündék földe
menu_start_good_dwarf|^^^^^^^^^^Válassz származást:
mno_start_er|EREBOR lakója
mno_start_ih|a VASDOMBOK bányásza
menu_start_gondor|^^^^^^^^^^Hova valósi vagy Gondorból?
mno_start_mt|MINAS TIRITH, a főváros
mno_start_ls|LOSSARNACH, a baltások hűbérterülete
mno_start_la|LAMEDON, a hegyi klánok hűbérterülete
mno_start_pg|PINNATH GELIN, a Zöld-dombok hűbérterülete
mno_start_do|DOL AMRTOH, a Hattyúlovagok hűbérterülete
mno_start_pe|PELARGIR, a parti hűbérterület
mno_start_bl|FEKETEGYÖKÉR VÖLGY, az Íjászok hűbérterülete
menu_start_eye_man|^^^^^^^^^^Válassz népet:
mno_start_hr|HARADIM, a Dél sivatagi népe
mno_start_bn|Fekete NÚMERONIAK, a Nyugat köpönyegforgatói
mno_start_um|UMBAR, a Déli Tenger kalózai
mno_start_rh|RHÛN, a Kelet barbárjai
mno_start_kh|KHAND, a Dél-Kelet vademberei
menu_start_eye_uruk|^^^^^^^^^^Hol tanyázol?
mno_start_arm_uruk|A MORDOR-ban felgyűlt seregben
mno_start_cav_uruk|DOL GULDUR barlangjaiban
menu_start_eye_orc|^^^^^^^^^^Hol tanyázol?
mno_start_arm|A MORDOR-ban felgyűlt seregben
mno_start_cav|DOL GULDUR barlangjaiban
menu_start_hand_orc|^^^^^^^^^^Hol tanyázol?
mno_start_armis|A VASUDVARDNÁL felgyűlt seregben
mno_start_minmo|MORIA bányáiban
mno_start_cliff|A GUNDABAD hegy szikláin
menu_start_gondor_mt|^^^^^^^^^^Válassz származást:
mno_start_1_com|Közember
mno_start_2_hib|Nemes
menu_start_haradrim|^^^^^^^Egy Haradrimok egyike vagy,^ a Sivatag embere.^ Válassz nemzetséget
mno_start_1_des|Sivatagi ember
mno_start_2_far|Messze-haradi törzstag
menu_start_numenorean|^^^^^^^Te egy fekete númenori vagy,^hűséges a Sötétséghez és Morgoth-hoz.^Válaszd ki hol is szolgálod a Szemet
mno_start_1_bn|Szauron Szája mellett, MORANNON-ban
mno_start_2_bn|A Nekromanta Erődjében, DOL GULDUR-ban
menu_choose_gender|^^^^^^^^^Nemed?
mno_start_male|Férfi
mno_start_female|Nő
mno_proc|Folytasd a megszokott módon
menu_start_as_one|^^^^^^^^^^Milyen típusú katona vagy?
mno_start_default|Légy {s23} (Alapvető)
mno_start_up1|Légy {s21} (Könnyű)
mno_start_up2|Légy {s22} (Könnyű)
mno_continue|Folytatás...
menu_character_report|^^^^^Csapatmorál: {reg8}^Csapatméret korlát: {reg7}^{s5}
menu_camp|^^^^Ez itt {s1}.{s2}^^Mit akarsz csinálni?
mno_camp_scene|Sétálás.
mno_camp_troop|{reg10? troops:}{reg12? and:}{reg11? prisoners:} áttekintése.
mno_camp_action|Tárgy használata.
mno_camp_wait_here|Letáborozás.
mno_camp_options|Az Utolsó Napok beállításainak megváltoztatása.
mno_Dev_Menu|Fejlesztői Menü
menu_dev_menu|Ezek a Fejlesztői Lehetőségek rengeteg csalást/eszközt adnak a kezedbe.^^ Habár, ezek WIP (Work in progess/Kidolgozás alatt álló) történéseket hozhatnak elő vagy megváltoztathatják a kampányt amik így akár tönkre is tehetik a játékot.^^ A saját felelősségedre használd őket! ^^ Emellett, amikor játékhibákat jelentesz be, kérlek említsd meg nekünk hogyha használtad a Fejlesztői Menüt.
mno_Cheat_enable|Csalás/modding lehetőségek engedélyezése.
menu_game_options|^^^^^^^^Kattints egy beállításra a következő lehetőségek bekapcsolásához:
mno_game_options_war_level_start|A háború elkezdődéséhez kellő játékosszint: {s1}
mno_game_options_restrict_items|Korlátozott játékos felszerelés: {s7}
mno_game_options_formations|Harci alakzatok és MI: {s7}
mno_game_options_siege_ai|Fejlesztett ostrom MI:  {s7}
mno_game_options_town_menu|A városi NJK-k mindig elérhetőek a menükből: {s7}
mno_game_options_cutscenes|Átvezetők: {s7}
mno_game_options_injuries|Társak sérülése: {s7}
mno_game_options_death|Végleges halál az uraknál és társaknál: {s7}
mno_game_options_death2|Végleges halál a játékosra (azaz RÁD!): {s7}
mno_game_options_morale|Csatamorál rendszer: {s7}
mno_game_options_animal_ambushes|Állatok rajtaütése: {s7}
mno_game_options_horse_ko|Lezuhant lovas sebződési üzenetek:  {s7}
mno_game_options_bright_nights|Világosabb éjszakák:  {s7}.
mno_game_options_camera_pref|Kedvelt kameramód:  {s7}.
mno_game_options_tweaks|Játékmenetbeli finomítások...
mno_game_options_back|Vissza a tábor menübe.
mno_game_options_start_back|Vissza.
menu_camp_tweaks|^^^^^^^^Válassz egy beállítást, melyet módosítani szeretnél.
mno_tweak_options_compat|Kompatibilitási finomítások...
mno_tweak_options_strat|Stratégiai finomítások...
mno_tweak_options_battlefield_ai|Csataközbeni MI finomítások...
mno_tweak_options_back|Vissza a Beállítások menübe.
