hint_1|A Fehér Kéznek nem kéne túlzottan megbíznia a Mindent Látó Szemben, és ez fordítva is igaz.
hint_2|Ki ellen küzdesz, kinek segítesz és hogy hol zajlik le a csata - mind beleszámít abba, hogy melyik szövetséges királyság fogja, és mennyire, értékelni az erőfeszítéseidet.
hint_3|Egy királyságnak a felderítők az információforrásai, ahogy foglyokat rángatnak a várbörtönökbe kínzásra és kihallgatásra. Felderítőket kiküldve és foglyokat megmentve megvakíthatod az ellenfelet.
hint_4|Emlékezz, hogy minden királysághoz külön-külön más- és más mennyiségű erőforrás pont áll a rendelkezésedre; ami felruház téged a felszereléseid és egységeid feltöltésére, az adott királyságban. 
hint_5|Egy királyság katonai összeomlása visszafordíthatatlan. Mordor nem lehet ilyen balsors elszenvedője, de a háborúnak vége szakad ha katonai erejét elzárják és az összes szövetségese vereséget szenved.
hint_6|Hidegvér (INT) szükséges ahhoz hogy ne ess pánikba egy nazgûlt látván. Tökéletes irányítás kell ahhoz, hogy valaki megállítsa a lova pánikját.
hint_7|Megpihenhetsz a világtérképen ha nyomva tartod a szóköz gombot. Habár, a sérült csapattagok gyorsabban gyógyulnak ha a városokban pihennek.
hint_8|Ahhoz, hogy gyorsan elvegyél vagy leadj tárgyakat a tárgykezelési képernyőn, tartsd lenyomva a Ctrl billentyűt, míg klikkelsz.
hint_9|Bármelyik helyszínt elhagyhatod azzal, ha megnyomod a tab billentyűt, és a backspace gombbal a csaták alatt előhozhatod a parancsnoki ablakot.
hint_10|Az állatok pánikba eshetnek a trollok és olog-haiok közelében. Óvatosan!
hint_11|Az embererő egy alapvető erőforrást jelent egy királyságnak: felbérelni és fenntartani egységeket a parancsnokságod alatt erőforrás pontokat fogyaszt el az adott néptől.
hint_12|Parancsokat adhatsz csapatodnak a csatában. Ha lenyomva tartod a Shift billentyűt, ráközelíthetsz a távolabbi ellenfelekre.
