trp_unarmed_troop|Fegyvertelen katona
trp_unarmed_troop_pl|Fegyvertelen katonák
trp_tutorial_maceman|Buzogányos
trp_tutorial_maceman_pl|Buzogányosok
trp_tutorial_archer|Íjász
trp_tutorial_archer_pl|Íjászok
trp_tutorial_swordsman|Kardforgató
trp_tutorial_swordsman_pl|Kardforgatók
trp_novice_fighter|Újonc harcos
trp_novice_fighter_pl|Újonc harcosok
trp_regular_fighter|Átlagos harcos
trp_regular_fighter_pl|Átlagos harcosok
trp_veteran_fighter|Veterán harcos
trp_veteran_fighter_pl|Veterán harcosok
trp_champion_fighter|Bajnok
trp_champion_fighter_pl|Bajnokok
trp_arena_training_fighter_1|Újonc harcos
trp_arena_training_fighter_1_pl|Újonc harcosok
trp_arena_training_fighter_2|Újonc harcos
trp_arena_training_fighter_2_pl|Újonc harcosok
trp_arena_training_fighter_3|Átlagos harcos
trp_arena_training_fighter_3_pl|Átlagos harcosok
trp_arena_training_fighter_4|Átlagos harcos
trp_arena_training_fighter_4_pl|Átlagos harcosok
trp_arena_training_fighter_5|Átlagos harcos
trp_arena_training_fighter_5_pl|Átlagos harcosok
trp_arena_training_fighter_6|Veterán harcos
trp_arena_training_fighter_6_pl|Veterán harcosok
trp_arena_training_fighter_7|Veterán harcos
trp_arena_training_fighter_7_pl|Veterán harcosok
trp_arena_training_fighter_8|Veterán harcos
trp_arena_training_fighter_8_pl|Veterán harcosok
trp_arena_training_fighter_9|Bajnok
trp_arena_training_fighter_9_pl|Bajnokok
trp_arena_training_fighter_10|Bajnok
trp_arena_training_fighter_10_pl|Bajnokok
trp_cattle|Marha
trp_cattle_pl|Marhák
trp_farmer|Paraszt
trp_farmer_pl|Parasztok
trp_townsman|Városi
trp_townsman_pl|Városiak
trp_watchman|Városi asszony
trp_watchman_pl|Városi asszonyok
trp_i1_woodmen_man|Erdőnépi Telepes
trp_i1_woodmen_man_pl|Erdőnépi Telepesek
trp_i2_woodmen_forester|Erdőnépi erdész
trp_i2_woodmen_forester_pl|Erdőnépi erdészek
trp_i3_woodmen_skilled_forester|Erdőnépi tapasztalt erdész
trp_i3_woodmen_skilled_forester_pl|Erdőnépi tapasztalt erdészek
trp_i4_woodmen_axemen|Erdőnépi baltás
trp_i4_woodmen_axemen_pl|Erdőnépi baltások
trp_i5_woodmen_night_guard|Bakacsinerdei éjjeliőr
trp_i5_woodmen_night_guard_pl|Bakacsinerdei éjjeliőrök
trp_a2_woodmen_tracker|Erdőnépi nyomkövető
trp_a2_woodmen_tracker_pl|Erdőnépi nyomkövetők
trp_a3_woodmen_scout|Erdőnépi felderítő
trp_a3_woodmen_scout_pl|Erdőnépi felderítők
trp_a4_woodmen_archer|Erdőnépi íjász
trp_a4_woodmen_archer_pl|Erdőnépi íjászok
trp_a5_woodmen_night_stalker|Bakacsinerdei éjjelicserkész
trp_a5_woodmen_night_stalker_pl|Bakacsinerdei éjjelicserkészek
trp_i1_beorning_man|Beornfi
trp_i1_beorning_man_pl|Beornfiak
trp_i2_beorning_warrior|Beornfi harcos
trp_i2_beorning_warrior_pl|Beornfi harcosok
trp_i3_beorning_tolltacker|Beornfi vámszedő
trp_i3_beorning_tolltacker_pl|Beornfi vámszedők
trp_i4_beorning_sentinel|Beornfi őrszem
trp_i4_beorning_sentinel_pl|Beornfi őrszemek
trp_i5_beorning_warden_of_the_ford|Beornfi Gázlóőr
trp_i5_beorning_warden_of_the_ford_pl|Beornfi Gázlóőrség
trp_i3_beorning_carrock_lookout|Beornfi szirtfői őrjáró
trp_i3_beorning_carrock_lookout_pl|Beornfi szirtfői őrjárók
trp_i4_beorning_carrock_fighter|Beornfi szirtfői harcos
trp_i4_beorning_carrock_fighter_pl|Beornfi szirtfői harcosok
trp_i5_beorning_carrock_berserker|Beornfi szirtfői berzerker
trp_i5_beorning_carrock_berserker_pl|Beornfi szirtfői berzerkerek
trp_i1_dale_militia|Suhatagi nemzetőr
trp_i1_dale_militia_pl|Suhatagi nemzetőrség
trp_i2_dale_man_at_arms|Suhatagi fegyverforgató
trp_i2_dale_man_at_arms_pl|Suhatagi fegyverforgatók
trp_a2_dale_scout|Suhatagi felderítő
trp_a2_dale_scout_pl|Suhatagi felderítők
trp_a3_dale_bowman|Suhatagi íjas
trp_a3_dale_bowman_pl|Suhatagi íjasok
trp_a4_dale_archer|Suhatagi íjász
trp_a4_dale_archer_pl|Suhatagi íjászok
trp_a5_barding_bowman|Bardfi íjász
trp_a5_barding_bowman_pl|Bardfi íjászok
trp_i3_dale_swordsman|Suhatagi kardforgató
trp_i3_dale_swordsman_pl|Suhatagi kardforgatók
trp_i4_dale_sergeant|Suhatagi őrmester
trp_i4_dale_sergeant_pl|Suhatagi őrmesterek
trp_i5_dale_hearthman|Suhatagi Hearthman
trp_i5_dale_hearthman_pl|Suhatagi Hearthman-ok
trp_i3_dale_spearman|Suhatagi lándzsás
trp_i3_dale_spearman_pl|Suhatagi lándzsások
trp_i4_dale_billman|Suhatagi kampóbárdos
trp_i4_dale_billman_pl|Suhatagi kampóbárdosok
trp_i5_dale_bill_master|Suhatagi kampóbárd mester
trp_i5_dale_bill_master_pl|Suhatagi kampóbárd mesterek
trp_c2_rhovanion_retainer|Északlakó csatlós
trp_c2_rhovanion_retainer_pl|Északlakó csatlósok
