skl_trade|Kauppias
; skl_trade_desc|Makes smiths and supply masters more cooperative and offer better equipment. (Party skill)
skl_leadership|Johtajuus
; skl_leadership_desc|Every point increases maximum number of troops you can command by 5, increases your party morale and coherence in battle. Makes more and stronger volunteers willing to follow you. (Leader skill)
skl_prisoner_management|Vankien käsittely
; skl_prisoner_management_desc|Every level of this skill increases maximum number of prisoners by %d. Improves chances of capturing and keeping prisoners .(Leader skill)
skl_persuasion|Luonnonvaraisuustaito
; skl_persuasion_desc|The ability to survive in the wilderness and bend it to your will. This skill affects the party's ability to hide from the enemy, and the party's speed while in wooded terrain. (Party skill)
skl_engineer|-----
skl_engineer_desc|-----
skl_first_aid|Ensiapu
; skl_first_aid_desc|Heroes regain 5%% per skill level of hit-points lost during mission. (Party skill)
skl_surgery|Kirurgia
; skl_surgery_desc|Each point to this skill gives a 4%% chance that a mortally struck party member will be wounded rather than killed. (Party skill)
skl_wound_treatment|Haavojen hoitaminen
; skl_wound_treatment_desc|Party healing speed is increased by 20%% per level of this skill. (Party skill)
skl_inventory_management|Tavaraluettelon Käsittely
; skl_inventory_management_desc|Increases inventory capacity by +6 per skill level. Reduces food consumption. (Leader skill)
skl_spotting|Huomaaminen
; skl_spotting_desc|Party seeing range is increased by 10%% per skill level. (Party skill)
skl_pathfinding|Polun löytäminen
; skl_pathfinding_desc|Party map speed is increased by 3%% per skill level. (Party skill)
skl_tactics|Taktiikat
; skl_tactics_desc|Every two levels of this skill increases starting battle advantage by 1. (Party skill)
skl_tracking|Jäljittäminen
skl_tracking_desc|Jäljet antavat enemmän tietoa. (Seurueen taito)
skl_trainer|Kouluttaja
; skl_trainer_desc|Every day, each hero with this skill adds some experience to every other member of the party whose level is lower than his/hers. Experience gained goes as: {0,4,10,16,23,30,38,46,55,65,80}. (Personal skill)
skl_looting|Ryöstäminen
; skl_looting_desc|Increases amount and quality of loot gained after battles. (Party skill)
skl_horse_archery|Ratsulta Jousiampuminen
; skl_horse_archery_desc|Reduces damage and accuracy penalties for archery and throwing when mounted. (Personal skill)
skl_riding|Ratsastaminen
; skl_riding_desc|enables you to ride horses (or other beasts) of higher difficulty levels and increases your riding speed and manuever. (Personal skill)
skl_athletics|Urheilu
skl_athletics_desc|Parantaa juoksunopeuttasi. (Henkilökohtainen taito)
skl_shield|Kilpi
; skl_shield_desc|reduces damage to shields (by 8%% per skill level), improves shield speed and coverage, reduces shield penalty when used with bows. (Personal skill)
skl_weapon_master|Ase Mestari
; skl_weapon_master_desc|makes it easier to learn weapon proficiencies and increases the proficiency limits. Limits go as: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Personal skill)
skl_power_draw|Voimajännittäminen
; skl_power_draw_desc|lets character use more powerful bows. Each point to this skill (up to four plus power-draw requirement of the bow) increases bow damage by 14%%. (Personal skill)
skl_power_throw|Voimaheitto
; skl_power_throw_desc|Each point to this skill increases throwing damage by 10%%. (Personal skill)
skl_power_strike|Voimalyönti
; skl_power_strike_desc|Each point to this skill increases melee damage by 8%%. (Personal skill)
skl_ironflesh|Rautaruumis
; skl_ironflesh_desc|Each point to this skill increases hit points by +2, and lets you shrug off some damage without being wounded. (Personal skill)
