qstr_Received_{reg0}_dama|Получено {reg0} урона.
qstr_Gate_is_breached!|Ворота проломлены!
qstr_Gate_opens..._You_ha|Врата открываются... Вы входите в самое сокровенное место в Средиземье!
qstr_Secret_place_discove|Вы узнали о сокрытом месте!
qstr_Next_Page|Следующая страница
qstr_Action|Действия
qstr_Mount|Сесть верхом
qstr_Attack_Type|Тип атаки
qstr_Hold_This_Position|Удерживать эту позицию
qstr_Follow_Me|Следовать за мной
qstr_Charge|В атаку
qstr_Advance|Продвинуться вперёд
qstr_Fall_Back|Отойти назад
qstr_Stand_Closer|Сомкнуть ряды
qstr_Spread_Out|Врассыпную
qstr_Stand_Ground|Стоять на месте
qstr_Dismount|Спешиться
qstr_Use_Any_Weapon|Использовать любое оружие
qstr_Use_Blunt_Weapons|Только дробящее оружие
qstr_Hold_Your_Fire|Прекратить стрельбу
qstr_Fire_At_Will|Стрелять по готовности
qstr_Us|Нас
qstr_Allies|Союзников
qstr_Enemies|Врагов
qstr_Ready|Готово к бою
qstr_Wounded|Ранено
qstr_Dead|Убито
qstr_Routed|Сбежали
qstr_Number_of_men_knocke|Число оглушённых бойцов: {reg1}
qstr_Number_of_men_left:_|Число оставшихся бойцов: {reg1}
qstr_Opponents_Beaten:_{r|Побеждённые противники: {reg1}
qstr_Opponents_Remaining:|Оставшиеся противники: {reg1}
qstr_Gauntlet_wave:_1|Волна противников: 1
qstr_Gauntlet_wave:_{reg1|Волна противников: {reg1}
qstr_Remain_in_retirement|Отойти от дел.
qstr_Go_back_to_the_adven|Вернуться к приключениям.
qstr_A_peaceful_village_n|Мирная деревня неподалёку от Вестфольда...
qstr_The_War_is_upon_Roha|На земли Рохана пришла война!
qstr_Minas_Tirith___The_W|Минас-Тирит - Белый Город
qstr_The_White_Tree_stand|Белое Древо стоит увядшим с тех пор, как пресеклась династия королей
qstr_And_the_Shadow_grows|И Тень на Востоке становится все сильнее.
qstr_Minas_Morgul___City_|Минас-Моргул - твердыня назгулов
qstr_Sauron_s_armies_marc|Армии Саурона выступили в поход!
qstr_Adventurers_at_audie|Искатели приключений удостоились аудиенции у Наместника Денетора...
qstr___What_business_do_y|"Что привело вас сюда, просители?"
qstr___Your_Stewardship_w|"Господин, мы прибыли из дальних земелье, чтобы... прыгнуть!"
qstr___Enough_of_this_mad|"Довольно этого безумства! Стража!"
qstr___I_ve_had_enough_of|"Я сыт по горло этими шутниками... Следующие просители будут стоять на коленях!"
qstr_Chest|Грудь
qstr_Cape|Накидка
qstr_Arms|Руки
qstr_Thighs|Вещи
qstr_Legs|Ноги
qstr_Rotate|Повернуть
qstr_Close|Закрыть
qstr_Faction_Side:^^Campa|Фракция:^^Сложность кампании*:^^Родной регион:^^Командир:^^Враги:^^
qstr_Campaign_Difficulty_|Сложность кампании зависит от начальной силы фракции, врагах в регионе, войск выбранной фракции и снаряжения отряда.
qstr_Rallies:|Боевые кличи:
qstr_View_Keybinds__Press|Прив. клавиш (Нажм. Insert)
qstr_What_do_you_fight_fo|За что ты сражаешься?
qstr_Go_Back...|Назад...
qstr_Learn_about_the_diff|Узнать о фракциях Средиземья
qstr_The_DAWN_of_a_New_Er|за РАССВЕТ Новой Эры
qstr_The_TWILIGHT_of_Man|за СУМЕРКИ Рода Людского
qstr_Select_your_Race?|Какова твоя раса?
qstr_Man|Человек
qstr_Elf|Эльф
qstr_Dwarf|Гном
qstr_Whom_Do_You_Serve?|Кому ты служишь?
qstr_SAURON_of_Mordor_The|САУРОНУ, повелителю Мордора, Властелину Колец
qstr_SARUMAN_of_Isengard_|САРУМАНУ, повелителю Изенгарда, Белой Длани
qstr_an_ORC^_serving_the_|ОРК,^ прислужник немигающего Ока
qstr_an_URUK^_the_new_bre|УРУК,^ из новой породы орков
qstr_a_MAN^_subjugated_by|ЧЕЛОВЕК,^ подчинённый воле Саурона
qstr_an_ORC^_serving_the_W|ОРК,^ слуга Белой Длани
qstr_one_of_the_URUK_HAI^|УРУК-ХАЙ,^выведенный в Изенгарде
qstr_a_MAN_of_Dunland^_th|ЧЕЛОВЕК из Дунланда,^ с равнин на Западе
qstr_Click_the_center_but|Нажмите кнопку, чтобы переключить фракцию^Нажмите на аватар, чтобы просмотреть детали
qstr_Level:_{reg3}^Health|Уровень: {reg3}^Здоровье: {reg4}
qstr_Attributes|Параметры
qstr_STR^AGI^INT^CHA|СИЛ^ЛОВ^ИНТ^ХАР
qstr_Skills|Умения
qstr_Ironflesh^Power_Stri|Живучесть^Мощный удар^Мощный бросок^Мощный выстрел^Владение щитом^Атлетика^Верховая езда^Верховая стрельба
qstr_Proficiencies|Оружейные специализации
qstr_1H_Weapons^2H_Weapon|Одноручное^Двуручное^Древковое^Лук^Арбалет^Метательное
qstr_Equipment|Снаряжение
qstr_The_Last_Days_Mod_Op|Настройки мода The Last Days
qstr_War_Starts_at_Level:|Война начинается на уровне:
qstr_Restrict_Player_Equi|Расовые ограничения на снаряжение
qstr_Battle_Formations_an|Формации и улучшенный ИИ в сражениях:
qstr_Native|Оригинал
qstr_TLD_FormAI__Original|TLD ИИ (Оригинал)
qstr_TLD_New_FormAI|TLD новый ИИ
qstr_Siege_AI:__|ИИ осады:
qstr_Basic__better_perfor|Базовый (лучшая производительность)
qstr_Advanced|Продвинуться
qstr_Campaign_difficulty:|Сложность кампании:
qstr_Hard|Тяжело
qstr_Default|Средняя
qstr_Easy|Легко
qstr_Town_NPCs_Always_Acc|Городские НПЦ всегда доступны из меню:
qstr_Cutscenes:__|Катсцены:
qstr_Injuries_for_compani|Ранения компаньонов:
qstr_Permanent_death_for_|Окончательная смерть полководцев и соратников:
qstr_Permanent_death_for_p|Окончательная смерть игрока (то есть ВАС!):
qstr_Battle_morale_system|Система боевого духа:
qstr_Animal_ambushes:__|Засады животных:
qstr_Fallen_rider_damage_|Сообщения об уроне упавшим наездникам:
qstr_No_Messages|Скрыть сообщения
qstr_Player_damage_only|Только урон нанесённый игроком
qstr_All_Messages|Все сообщения
qstr_Preferred_Camera_Mod|Предпочтительный режим камеры:
qstr_Default_Camera|Камера по умолчанию
qstr_Free_Mode_Custom_Cam|Свободная настраиваемая камера
qstr_Fixed_Over_The_Shoul|Закреплённая камера - на плече игрока
qstr_Prevent_AI_from_taki|Запретить ИИ уходить в оборону:
qstr_Brighter_Nights:__|Светлые ночи: 
qstr_Done|Сделано
qstr_Gameplay_Tweaks|Настройка геймплея... 
qstr_Beta_Formations_Twea|Бета формации
qstr_War_Will_Start_at_Le|Война начинается на уровне: {reg0}
qstr_Troop_Tree|Древо развития войск
qstr__Click_on_a_unit_for|(Нажмите на воина для подробностей)
qstr_Weapons|Оружие
qstr_Armors|Броня
qstr_Others|Прочее
qstr_F4___Complex_formati|F4 - Сложные формации
