itm_horse_meat|Конина
itm_practice_sword|Тренировочный меч
itm_arena_lance|Кавалерийское копьё
itm_practice_staff|Деревянный посох
itm_practice_bow|Тренировочный лук
itm_wooden_javelin|Деревянный дротик
itm_human_meat|Человечина
itm_maggoty_bread|Червивый Хлеб
itm_cram|Запас Крэма
itm_lembas|Лембас
itm_smoked_fish|Копчёная Рыба
itm_dried_meat|Вяленое Мясо
itm_cattle_meat|Говядина
itm_grain|Пшеница
itm_tools|Инструменты
itm_siege_supply|Провиант
itm_quest_wine|Вино
itm_quest_ale|Эль
itm_metal_scraps_bad|Металл низкого качества
itm_metal_scraps_medium|куски металла
itm_metal_scraps_good|куски высококачественного металла
itm_oliphant|Олифант
itm_sumpter_horse|Вьючная лошадь
itm_saddle_horse|Верховая лошадь
itm_steppe_horse|Степная лошадь
itm_courser|Рысак
itm_hunter|Гунтер
itm_pony|Пони
itm_dunedain_warhorse|Дунэдайнский боевой конь
itm_rohirrim_courser|Роханский рысак
itm_rohirrim_hunter|Роханский гунтер
itm_rohirrim_courser2|Роханский бронированный скакун
itm_rohan_warhorse|Роханский боевой конь
itm_thengel_warhorse|Боевой конь Эорла
itm_rhun_horse_a|Рунийская лошадь
itm_rhun_horse_b|Рунийская лошадь
itm_rhun_horse_d|Рунийская лошадь
itm_rhun_horse_e|Рунийский тяжелый конь
itm_rhun_horse_f|Рунийский тяжелый конь
itm_rhun_horse_g|Рунийский тяжелый конь
itm_rhun_horse_h|Рунийский тяжелый конь
itm_dale_horse|Рованионская Лошадь
itm_dale_warhorse|Рованионский боевой конь
itm_riv_warhorse|Ривендельский боевой конь
itm_riv_warhorse2|Ривендельский конь
itm_mordor_warhorse|Мордорский боевой конь
itm_mordor_warhorse2|Зловещий конь Мордора
itm_gondor_courser|Гондорский рысак
itm_gondor_hunter|Гондорский гунтер
itm_dol_amroth_warhorse|Дол Амротский боевой конь
itm_dol_amroth_warhorse2|Дол Амротский тяжелый боевой конь
itm_gondor_warhorse|Гондорский боевой конь
itm_gondor_lam_horse|Ламедонский бронированный скакун
itm_lorien_warhorse|Лориэнский боевой конь
itm_harad_horse|Харадская лошадь
itm_harad_warhorse|Харадский боевой конь
itm_variag_pony|Варьягская низкорослая лошадь
itm_variag_kataphrakt|Истерлингский боевой конь
itm_warg_1b|Варг
itm_warg_1c|Варг
itm_warg_1d|Варг
itm_wargarmored_1b|Бронированный варг
itm_wargarmored_1c|Бронированный варг
itm_wargarmored_2b|Бронированный варг
itm_wargarmored_2c|Бронированный варг
itm_wargarmored_3a|Бронированный варг
itm_warg_reward|Огромный варг
itm_tree_trunk_club_a|Ствол дерева
itm_giant_mace|Огромная булава
itm_troll_shield_a|Щит тролля
itm_arrows|Стрелы
itm_gondor_arrows|Гондорские стрелы
itm_orc_javelin|Орочьи тяжёлые дротики
itm_khergit_arrows|Роханские стрелы
itm_harad_arrows|Харадские стрелы
itm_corsair_arrows|Умбарские стрелы
itm_ithilien_arrows|Итилиэнские стрелы
itm_woodelf_arrows|Зеленолесские стрелы
itm_elven_arrows|Эльфийские стрелы
itm_orc_hook_arrow|Крючковатые орочьи стрелы
itm_isengard_arrow|Изенгардские стрелы
itm_leather_gloves|Кожаные перчатки
itm_mail_mittens|Кольчужные рукавицы
itm_leather_boots|Кожаные сапоги
