ip_battle_formations|Формирования в сражениях: TLD ИИ Формирований
ip_battle_formations_text|Ваши войска будут занимать позиции и удерживаться в начале каждого сражения, вместо того чтобы атаковать вслепую. Только крупные фракции (все 18 из них) используют формирования (+дезертиры), бандиты просто атакуют. Существует небольшая разница между добрыми и злыми фракциями: хорошая пехота образует стену из щитов (обычно сначала войска, защищенные защитными щитами, но она может образовать фалангу, если у вас есть пикинеры), в то время как злая пехота формирует ряды (сначала лучшие войска). Формирования работают только в полевых сражениях (то есть не в пользовательских битвах и осадах).\n\nКаждый раз, когда в игре у вас появляется форма построения или "Удержание", она устанавливается рядом с позицией, которую занимал игрок, когда была отдана команда: пехота слева, кавалерия справа и лучники впереди. Войска игроков начинают каждое сражение в строю.\n\nПривязки клавиш формирования следующие: \n"J" для рангов, \n"K" для рангов, основанных на оружии (стена щитов, фаланга), \n"L" для клина (игрок должен переназначить "L" для отображения "Log") \n";" для квадрата, \n"U" для отсутствия формирования (отменить формирование).\n\nКоманда "ряды" для лучников выстраивает их в шахматном порядке. Кавалерия не будет выстраиваться никаким другим строем, кроме клина.\n\nАтака (и спешивание для кавалерии) разрушит строй. Игрок может продвигаться вперед несколько раз, чтобы заставить строй двигаться к средней позиции противника. Или используйте панель "Порядок" или удерживайте клавишу F1, чтобы расставить их (или проведите ими по врагу для создания кавалерийского клина).\n\nЕсли у вас возникнут какие-либо проблемы с формированиями, вы можете вернуться к оригинальному ИИ.
ip_battle_formations_newformai|Формирования в сражениях: ИИ Новых Формирований
ip_battle_formations_newformai_text|ИИ Новых Формирований позволяет вам получить доступ к формированиям из меню "Приказы" и приказать своим формированиям атаковать определенные вражеские формирования с помощью команды "удерживайте там" (удерживайте F1). Но это еще не полностью протестировано.\n\nИспользуйте цифры на клавиатуре, чтобы выбрать подразделение. Нажмите 0, чтобы выбрать всю вашу силу.\n\nИспользуйте клавиши F1-F4 для упорядочивания выбранных разделов. Удерживайте нажатой клавишу F1, чтобы разместить выбранные деления. Вы можете нацелиться на вражескую дивизию с помощью этого механизма".\n\n Сложные построения в меню битвы следующие: \n- ШЕРЕНГИ с лучшими войсками впереди \n- СТЕНА щитов, шеренги со щитами спереди и более длинным оружием сзади \n- КЛИН с лучшими войсками впереди \n- КАРЕ в произвольном порядке\n- НИКАКОГО ПОСТРОЕНИЯ \nДаже в последнем случае игрок может выстроиться в четыре линии, приказав достаточно часто становиться ближе.\n\nКогда выбрано ОДНО подразделение, центр его переднего ряда располагается в указанном месте.\n\nКогда выбрано много подразделений, они разделяются и распределяются так, как если бы игрок стоял в указанном месте.\n\nМожно запомнить расположение выбранных подразделений относительно игрока, нажав клавиши F2, F7. По умолчанию пехота находится слева, кавалерия - справа, а дальнобойщики - впереди. Расстановка переопределяется для любого подразделения, которое игрок выбирает лично в меню настроек формирований.\n\nЕсли выбрана опция игры в меню лагеря, подразделения будут поворачиваться лицом к врагу. В противном случае они сохранят ту облицовку, которая была у игрока, когда они были размещены.
ip_battle_morale|Боевой дух (Слаженность)
; ip_battle_morale_text|Battle morale is called coherence for sake of differentiation from your party's morale on the main map. However, party morale also affects your party's coherence in battle. So does your and your companions' Leadership skill, the amount of captains and banner carriers on the field, your party's averaqge level and the numerical relation between both sides. Battle field effects like magical mists or certain events may also affect coherence.^^The more casualties your side suffers, the more their morale crumbles. If your coherence falls low, your troops may flee from battle, eventually resulting in a mass rout! You can support your troops in two ways:^^1. Killing enemies. If you do well, you impress your men and they fight harder and don't flee. Killing enemy heroes, banner carriers or high level troops will also hurt their coherence.^^2. Rallying them. Press "V" to encourage your troops and increase your coherence. You also have a chance to rally troops that are already fleeing. You get only a limited amount of rallies per battle! The amount, strength, and range of your rally is affected by your Charisma and Leadership. Your rally is supported by your companions (if they have the leadership skill) and captains.^^It can be quite the advantage if you manage to defeat the enemy commander, because that robs enemies of their leader, so they cannot be rallied.
ip_economy|Очки снабжения, Ранг, Влияние
ip_economy_text|В TLD денег нет. Вместо этого вы развиваете отношения с игровыми фракциями, характеризующиеся очками снабжения, влияния и рангов.\n\nОчки снабжения символизируют собой ресурсы - это то, в чем нуждается фракция во время войны. По сути, это деньги, но у каждой фракции они свои; в магазинах фракций вы можете продать обрезки металла и другие предметы за очки снабжения, также вы можете получать определенное количество очков снабжения еженедельно (зависит от ранга во фракции). За очки снабжения можно нанимать солдат, покупать обмундирование, коней и т.п. В каждой фракции у вас свой счет очков снабжения/влияния/рангов, помните об этом!\nОчки влияния можно получить в награду за выполнение квестов и победы в сложных битвах. Также за них вы можете нанять компаньонов и получить специальные предметы у лидеров фракций.\n\nПолучая очки ранга, вы растете в ранге у фракций. Ранг определяет максимальный размер вашего отряда, еженедельный гонорар в виде очков снабжения; также с ростом ранга разблокируются и разные геймплейные возможности.\nДля соответствия реалиям Средиземья, по умолчанию включена опция, ограничивающая использование вашим персонажем обмундирования некоторых чужих фракций: к примеру, гондорец побрезгует надеть броню, снятую с мертвого орка и т.п. После большинства боев вы не найдете больше одного-двух предметов, которые сможете непосредственно использовать. Вместо стандартных трофеев, вы получите обрезки металла, которые можно продать за очки снабжения. Этот металл нужен кузнецам для переплавки и изготовления оружия, поэтому его у вас и покупают.
ip_war_of_the_ring|Война Кольца
; ip_war_of_the_ring_text|At the beginning of the game the War between good and evil hasn't started yet. You'll be notified when it does. (Depending on the setting you chose at the start of the campaign, this may depend on time spend or your character's level.) While Middle Earth might look like a pretty empty and quiet place at start, it gets filled with hostile parties very quickly once the War starts. Be prepared and use your few days of peace wisely! You can perform quests for the lords and leaders of all allied factions, raise troops and train yourself in the barracks.^^Every faction has a strength rating - which changes according to faction successes or failures in battles. With strength dropping low enough, it becomes possible for enemies to siege faction cities/camps. When a faction drops to the lowest status, it is possible to defeat it completely by storming its capital.^^Note that as the player, you cannot simply initiate sieges yourself. You can only help his faction and allies in siege battles if their leaders decide that it is time to go storm the enemy settlement. If you have a high rank and enough influence with a faction, you may however suggest their leader to attack specific settlements. At the highest rank with your home faction, you can also gain the right to lead an assault on a settlement yourself.^^There are several theatres of war in TLD, defined by geography. When one side eliminates all the enemies in its current theatre, it will send an expeditionary force to help allies on other theatres. Expeditionary force will build an advance camp in the other theatre and operate from there. If the good forces are completely defeated, but Mordor and Isengard still stand strong, the Two Towers will battle each other over total dominance.
ip_starting_tips|Советы для начинающих
