qstr_Received_{reg0}_dama|Ricevuti {reg0} danni.
qstr_Gate_is_breached!|Il cancello è stato abbattuto !
qstr_Gate_opens..._You_ha|Il portale è aperto.. Hai raggiunto il più sacro luogo nella Terra di Mezzo !
qstr_Secret_place_discove|Luogo segreto scoperto !
qstr_Next_Page|Pagina successiva
qstr_Action|Azione
qstr_Mount|Sali
qstr_Attack_Type|Tipo di attacco
qstr_Hold_This_Position|Mantenere questa posizione !
qstr_Follow_Me|Seguitemi !
qstr_Charge|Carica !
qstr_Advance|Avanzate !
qstr_Fall_Back|Ripiegate !
qstr_Stand_Closer|Serrare i ranghi !
qstr_Spread_Out|Dispiegatevi !
qstr_Stand_Ground|Linea di difesa !
qstr_Dismount|Smontate !
qstr_Use_Any_Weapon|Usate armi a scelta !
qstr_Use_Blunt_Weapons|Usate armi contundenti !
qstr_Hold_Your_Fire|Non tirate !
qstr_Fire_At_Will|Tirate a volontà !
qstr_Us|Noi
qstr_Allies|Alleati
qstr_Enemies|Nemici
qstr_Ready|Pronto
qstr_Wounded|Ferito
qstr_Dead|Morto
qstr_Routed|In rotta
qstr_Number_of_men_knocke|Numero di uomini abbattuti: {reg1}
qstr_Number_of_men_left:_|Numero di uomini rimasti: {reg1}
qstr_Opponents_Beaten:_{r|Nemici abbattuti: {reg1}
qstr_Opponents_Remaining:|Nemici rimasti: {reg1}
qstr_Gauntlet_wave:_1|Guanto di sfida: 1
qstr_Gauntlet_wave:_{reg1|Guanto di sfida: {reg1}
qstr_Remain_in_retirement|Conferma la tua decisione.
qstr_Go_back_to_the_adven|Torna all'avventura.
qstr_A_peaceful_village_n|Un pacifico villaggio non lontano da Ovestfalda..
qstr_The_War_is_upon_Roha|La guerra è su Rohan !
qstr_Minas_Tirith___The_W|Minas Tirith - La Città Bianca
qstr_The_White_Tree_stand|Il Bianco Albero giace morto da quando la linea dei Re si è interrotta
qstr_And_the_Shadow_grows|E l'Oscura Ombra cresce sempre più forte, ad Est.
qstr_Minas_Morgul___City_|Minas Morgul - La Città dei Nazgul
qstr_Sauron_s_armies_marc|Gli eserciti di Sauron marciano in guerra !
qstr_Adventurers_at_audie|Avventurieri in udienza pubblica con il Sovrintendente Denethor..
qstr___What_business_do_y|'Che affari avete qui, mendicanti ?
qstr___Your_Stewardship_w|Sovrintendente, veniamo da terre distanti per.. Saltare !'
qstr___Enough_of_this_mad|'Ne ho abbastanza di questa follia ! Guardie !!'
qstr___I_ve_had_enough_of|'Ne ho abbastanza di scherzi di questo genere.. Che i prossimi vengano in ginocchio !'
qstr_Chest|Torace
qstr_Cape|Mantella
qstr_Arms|Braccia
qstr_Thighs|Cosce
qstr_Legs|Gambe
qstr_Rotate|Ruotare
qstr_Close|Chiudi
qstr_Faction_Side:^^Campa|Lato Fazione.^^Difficoltà Campagna*:^^Teatro Casalingo:^^Comandante:^^Nemici:^^
qstr_Campaign_Difficulty_|La difficoltà di una campagna è basata sulla forza iniziale della fazione, le posizioni nemiche, l'organigramma delle truppe e il loro equipaggiamento.
qstr_Rallies:|Incitamenti:
qstr_View_Keybinds__Press|Combinazione Tasti (Premi Ins)
qstr_What_do_you_fight_fo|Per cosa combatti?
qstr_Go_Back...|Indietro
qstr_Learn_about_the_diff|Scopri le diverse fazioni della Terra di Mezzo
qstr_The_DAWN_of_a_New_Er|L'ALBA di una Nuova Era
qstr_The_TWILIGHT_of_Man|Il TRAMONTO dell'Uomo
qstr_Select_your_Race?|Scegli la tua razza:
qstr_Man|Uomo
qstr_Elf|Elfo
qstr_Dwarf|Nano
qstr_Whom_Do_You_Serve?|Chi servi?
qstr_SAURON_of_Mordor_The|SAURON di Mordor, il Signore degli Anelli
qstr_SARUMAN_of_Isengard_|SARUMAN di Isengard, La Mano Bianca
qstr_an_ORC^_serving_the_|un ORCO,^ servitore dell'Occhio
qstr_an_URUK^_the_new_bre|un URUK,^la nuova razza di Orchi
qstr_a_MAN^_subjugated_by|un UOMO,^ soggiogato da Sauron
qstr_an_ORC^_serving_the_W|un ORCO,^ servo della Mano Bianca
qstr_one_of_the_URUK_HAI^|uno degli Uruk-Hai,^ cresciuto ad Isengard
qstr_a_MAN_of_Dunland^_th|un UOMO del Dunland,^ Le Pianure Occidentali
qstr_Click_the_center_but|Clicca sul pulsante centrale per selezionare la fazione^Clicca l'avatar per visualizzare i loro dettagli
qstr_Level:_{reg3}^Health|Livello: {reg3}^Punti Salute: {reg4}
qstr_Attributes|Attributi
qstr_STR^AGI^INT^CHA|FOR^AGI^INT^CAR
qstr_Skills|Abilità
qstr_Ironflesh^Power_Stri|Resistenza^Potenza d'Attacco^Potenza di Lancio^Potenza di Tiro^Scudo^Atleticità^Cavalcare^Arco in Sella
qstr_Proficiencies|Competenze
qstr_1H_Weapons^2H_Weapon|1H Armi^2H Armi^Armi Lunghe^Tiro con l'Arco^Balestre^Lancio
qstr_Equipment|Equipaggiamento
qstr_The_Last_Days_Mod_Op|Opzioni Mod The Last Days
qstr_War_Starts_at_Level:|La Guerra Inizierà al livello:
qstr_Restrict_Player_Equi|Limita Equipaggiamento Giocatore:
qstr_Battle_Formations_an|Formazioni da Battaglia e IA:
qstr_Native|Native
qstr_TLD_FormAI__Original|FormIA TLD (Originale)
qstr_TLD_New_FormAI|Nuova FormIA TLD
qstr_Siege_AI:__|IA Assedio:
qstr_Basic__better_perfor|Base (migliori prestazioni)
qstr_Advanced|Avanzato
qstr_Campaign_difficulty:|Difficoltà della Campagna:
qstr_Hard|Difficile
qstr_Default|Predefinita
qstr_Easy|Facile
qstr_Cutscenes:__|Intermezzi:
qstr_Injuries_for_compani|Ferite per i compagni:
qstr_Permanent_death_for_|Morte per i lords e i loro compagni:
qstr_Permanent_death_for_p|Morte del giocatore (Sei TU!):
qstr_Battle_morale_system|Sistema del morale in battaglia:
qstr_Animal_ambushes:__|Agguati da animali:
qstr_Fallen_rider_damage_|Messaggi di danno dal fantino caduto:
qstr_No_Messages|Nessun messaggio
qstr_Player_damage_only|Solo danni al giocatore
qstr_All_Messages|Tutti i messaggi
qstr_Preferred_Camera_Mod|Modalità Telecamera Preferita:
qstr_Default_Camera|Inquadratura Predefinita
qstr_Free_Mode_Custom_Cam|Inquadratura Libera Personalizzata
qstr_Fixed_Over_The_Shoul|Telecamera-Sopra la spalla
qstr_Prevent_AI_from_taki|Previeni la IA dall'assumere la difesa:
qstr_Brighter_Nights:__|Notti più luminose:
qstr_Done|Fatto
qstr_Gameplay_Tweaks|Modifiche al Gameplay
qstr_Beta_Formations_Twea|Modifica Formazioni Beta
qstr_Set_to_Native_if_you|Imposta su Nativo se riscontri qualsiasi tipo di problema con la IA durante la battaglia.
qstr_Disable_cutscenes_if|Disattiva le scene d'intermezzo se riscontri arresti anomali all'inizio della guerra.
qstr_Campaign_Difficulty_a|La difficoltà della campagna influisce sulla disponibilità di volontari, sulla dimensione del gruppo dei lord e sul reddito in termini di forza per le fazioni alleate.
qstr_War_Will_Start_at_Le|La Guerra inizierà al livello {reg0}
qstr_Be_aware_that_many_q|Tieni presente che molte missioni e meccaniche nella campagna si adattano al livello del giocatore. Aumentare questa impostazione ti darà più tempo per prepararti, ma la guerra avrà uno svolgimento più rapido.
qstr_Troop_Tree|Organigramma Truppe
qstr__Click_on_a_unit_for|(Clicca su un'unità per i dettagli)
qstr_Weapons|Armi
qstr_Armors|Armature
qstr_Others|Altri
qstr_F4___Complex_formati|F4 - Formazioni complesse
qstr_F7___Memorize_div._p|F7 - Memorizza la disp. reparti
qstr_F8___Default_divisio|F8 - Disposizione Predefinita dei Reparti
qstr_F4___Ranks|F4 - Ranghi
qstr_F5___Shield_Wall|F5 - Muro di Scudi
qstr_F6___Wedge|F6 - Cuneo
qstr_F7___Square|F7 - Quadrato
qstr_F8___No_Formation|F8 - Rompere le righe
qstr_Extended_Formations_|Formazioni Estese e Opzioni IA
qstr_Put_player_in_divisi|Metti il giocatore nel reparto:
qstr_None|Nessuno
qstr_Army_rotates_to_face|L'esercito ruota per fronteggiare il centro avversario:
qstr_Prevent_AI_from_takin|Prevenire che la IA stia sulla difensiva:
qstr_AI_Controls_Troops_W|La IA controlla le truppe se il giocatore cade:
qstr_You_gained_{reg0}_Re|Hai ottenuto {reg0} Punti Risorsa da: {s0}.
qstr_You_lost_{reg0}_Reso|Hai perso {reg0} Punti Risorsa da: {s0}.
qstr_{s24}:|{s24}:
qstr_Great_Hope_of_{s5}|Grande Speranza di {s5}
qstr_Hope_of_{s5}|Speranza di {s5}
qstr_Indispensable_Ally_o|Indispensabile alleato di {s5}
qstr_Faithful_Ally_of_{s5|Fedele alleato di {s5}
qstr_Trusted_Friend_of_{s|Affidabile amico di {s5}
qstr_Close_Friend_of_{s5}|Caro amico di {s5}
qstr_Friend_of_{s5}|Amico di {s5}
qstr_Familiar_to_{s5}|Familiare a {s5}
qstr_Known_to_{s5}|Conosciuto da {s5}
qstr_Stranger_to_{s5}|Straniero a {s5}
qstr_Great_Enforcer_of_{s|Molto Valoroso per {s5}
qstr_Enforcer_of_{s5}|Valoroso per {s5}
qstr_Important_Ally_of_{s|Importante Alleato di  {s5}
qstr_Ally_of_{s5}|Alleato di {s5}
qstr_Accomplice_of_{s5}|Stretto Collaboratore di {s5}
qstr_Useful_Tool_of_{s5}|Utile Strumento di {s5}
qstr_Servant_of_{s5}|Servo di {s5}
qstr_Unknown_to_{s5}|Sconosciuto a {s5}
qstr_You_have_been_{reg1?|Hai ricevuto {reg1?una promozione:un declassamento} a {s24} ({reg0}) !
qstr_You_{reg1?earned:los|Hai {reg1?guadagnato:perso} {reg11} Punti Rango {reg12?e {reg12} Punti Influenza :}con la fazione di {s11}.
qstr_You_{reg1?earned:lost|Hai {reg1?guadagnato:perso} {reg11} Punti Rango {reg12?e {reg12} Punti Influenza :}di {s11}.
qstr_You_spent_{reg10}_of|Hai speso {reg10} dei tuoi Punti Influenza su {s1}, te ne restano {reg11}.
qstr_Troop_upkeep:|Gestione truppe:
qstr_{s11}_and_{s10}|{s11} e {s10}
qstr_their|loro
qstr_its|è
qstr_[no_upkeep_costs]|[nessun costo di gestione]
qstr_Short_of_Resource_Po|A corto di Punti Risorsa !
qstr_{s10}_will_soon_reas|{s10} riassegnerà a breve alcuni  {s12} delle sue truppe, ritirandoli dalla tua compagnia !
qstr_Superior_orders_from|Ordini superiori da {s11} per riassegnare le truppe.
qstr_{reg12}_{s10}_left_t|{reg12} {s10} ha lasciato la compagnia !
qstr_Fangorn_claimed_{reg|Fangorn ha mietuto {reg0} uccisi e {reg1} feriti fra le tue linee !
qstr_You_were_wounded_in_|Hai subito ferite nella foresta di Fangorn !
qstr_{s1}_of_{s3}_was_def|{s1} di {s3} ha subito una sconfitta in battaglia.
qstr_{s2}_have_razed_{s1}|{s2} ha razziato {s1} !
qstr_Left_for_dead_but_mi|Creduto morto ma miracolosamente sopravvissuto: {reg1?{reg1} tempo {reg2?s:}:MAI}
qstr_1_Res.Pt__{s2}_|1 Pt. Ris. ({s2})
qstr_{reg1}_Res.Pts__{s2}|{reg1} Pt. Ris. ({s2})
qstr_+30_to_Party_Morale|+30 Al Morale della Compagnia
qstr_+20_to_Party_Morale|+20 Al Morale della Compagnia
qstr_+1_to_Riding_Skill|+1 Abilità nel Cavalcare
qstr_during_battles|durante le battaglie
qstr_+1_to_Pathfinding|+1 in Orientamento
qstr_+2_to_Wound_Treatmen|+2 in Trattamento Ferite (Compagnia)
qstr_+2_to_Surgery__Party|+2 in Chirurgia (Compagnia)
qstr_+2_to_Pathfinding__P|+2 in Orientamento (Compagnia)
qstr_Use_from_Camp_Menu|Fanne uso dal menu di Campo
qstr_Use_from|Usa da
qstr_Action_Menu|Menu azioni
qstr_Bonus_to_Wound_Treat|Bonus nel Trattamento Ferite (Compagnia)
qstr_Bonus_to_Surgery__Pa|Bonus in Chirurgia (Compagnia)
qstr_Bonus_to_First_Aid__|Bonus in Primo Soccorso (Compagnia)
qstr_+1_to_Weapon_Mastery|+1 in Maestria nelle armi
qstr_+1_to_Wound_Treatmen|+1 in Trattamento Ferite
qstr_+1_to_Tactics|+1 in Tattica
qstr_+1_to_Power_Strike|+1 in Colpo potente
qstr_+1_to_Strength|+1 in Forza
qstr_+1_to_Agility|+1 in Agilità
qstr_+1_to_Leadership|+1 in Comando
qstr_+1_to_Wildcraft|+1 a Mimetismo
qstr_+1_to_Tracking|+1 in Seguire Tracce
qstr_+1_to_Athletics|+1 in atleticità
qstr_when_equipped|Se equipaggiato
qstr_+1_to_Power_Draw|+1 in Potenza di Tiro
qstr_The_record_of_Balin_|La cronaca della spedizione perduta di Balin.
qstr_Who_might_be_interes|Chi può essere interessato a ciò?
qstr_Bonus_to_Shield_Skil|Bonus per l'abilità Scudo
qstr_Turns_nature_to_your|Porta la natura dalla tua parte
qstr_when_equipped.__Effe|quando attivo. (Gli effetti si bilanciano con il mimetismo)
qstr_Bonus_to_Power_Strik|Bonus alla Potenza d'Attacco
qstr_+1_to_Trainer|+1 in addestramento
qstr_Recruits_Tribal_Orcs|Recluta Orchi Tribali
qstr_rally|spronare
qstr_rallies|sprona
qstr_+{reg1}_{s3}_in_batt|+{reg1} {s3} in battaglia
qstr_+1_to_Charisma|+1 in Carisma
qstr_Call_Reinforcements|Chiama Rinforzi
qstr__Effect_scales_with_|(L'effetto si bilancia con Forza e Carisma)
qstr_+1_to_First_Aid|+1 in Primo soccorso
qstr_+1_to_Surgery|+1 in Chirurgia
qstr_+1_to_Intelligence|+1 in Intelligenza
qstr_+2_to_Surgery|+2 in Chirurgia
qstr_+1_to_Riding|+1 a Cavalcare
qstr_+1_to_Mounted_Archer|+1 in Arco in Sella
qstr_Bonus_to_Riding|Bonus in Cavalcare
qstr_when_equipped.__Effec|quando nell'equipaggiamento. (L'effetto è regolato in base alla Forza)
qstr_Orcs:_+1_Riding_Requ|Orchi: +1 in Cavalcare Richiesto
qstr_+1_to_Prisoner_Mgmt|+1 in Controllo prigionieri
