pt_rescued_prisoners|Prigionieri Liberati
pt_enemy|Nemico
pt_hero_party|Truppe del comandante
pt_cattle_herd|Mandria di bestiame
pt_ruins|Rovine
pt_legendary_place|Luogo leggendario
pt_mound|Tumulo di eroe
pt_pyre|Pira di eroe
pt_wild_troll|Troll Selvaggio
pt_raging_trolls|Troll Furiosi
pt_looters|Orchi Tribali
pt_forest_bandits|Orchi Disertori
pt_mountain_bandits|Goblin Selvaggi
pt_steppe_bandits|Banditi Dunlandiani
pt_sea_raiders|Corsari Rinnegati
pt_deserters|Disertori
pt_merchant_caravan|Carovana di mercanti
pt_troublesome_bandits|Goblin Molesti
pt_fangorn_orcs|Orchi Taglialegna
pt_village_farmers|Contadini
pt_spy_partners|Viandanti Sospetti
pt_spy_partners_evil|Viandanti Sospetti
pt_runaway_serfs|Schiavi Fuggiti
pt_spy|Viaggiatore Solitario
pt_spy_evil|Viaggiatore Solitario
pt_sacrificed_messenger|Messaggero Sacrificato
pt_gandalf|Viaggiatore Solitario
pt_nazgul|Viaggiatore Solitario
pt_gondor_scouts|Esploratori di Gondor
pt_blackroot_auxila|Ausiliari della valle della Radice Nera
pt_lamedon_auxila|Ausiliari di Lamedon
pt_lossarnach_auxila|Ausiliari del Lossarnach
pt_pinnath_gelin_auxila|Ausiliari delle Pinnath Gelin
pt_ranger_scouts|Raminghi Esploratori
pt_rohan_scouts|Esploratori Rohirrim
pt_lorien_scouts|Esploratori di Lothlórien
pt_woodelf_scouts|Elfi Esploratori di Bosco Atro
pt_imladris_scouts|Elfi Esploratori di Gran Burrone
pt_dale_scouts|Esploratori di Dale
pt_esgaroth_scouts|Esploratori di Esgaroth
pt_dwarf_scouts|Osservatori Nani
pt_beorn_scouts|Esploratori Beorniani
pt_woodmen_scouts|Esploratori dei Boschi
pt_mordor_scouts|Esploratori di Mordor
pt_morgul_scouts|Esploratori di Morgul
pt_isengard_scouts|Esploratori di Isengard
pt_isengard_scouts_warg|Cavalcatori di mannari di Isengard
pt_harad_scouts|Esploratori di Harad
pt_dunland_scouts|Esploratori Dunlandiani
pt_umbar_scouts|Esploratori Corsari
pt_khand_scouts|Esploratori Easterling
pt_moria_scouts|Esploratori di Moria
pt_guldur_scouts|Esploratori di Dol Guldur
pt_gundabad_scouts|Esploratori del Gundabad
pt_rhun_scouts|Esploratori del Rhûn
pt_gondor_raiders|Cacciatori di Gondor
pt_rohan_raiders|Cacciatori di Rohan
pt_imladris_raiders|Cacciatori di Gran Burrone
pt_lorien_raiders|Cacciatori di Lothlórien
pt_woodelf_raiders|Cacciatori di Bosco Atro
pt_dale_raiders|Cacciatori di Dale
pt_dwarf_raiders|Cacciatori Nani
pt_ranger_raiders|Razziatori Raminghi
pt_morgul_raiders|Razziatori di Morgul
pt_mordor_raiders|Razziatori di Mordor
pt_isengard_raiders|Razziatori di Isengard
pt_dunland_raiders|Razziatori Dunlandiani
pt_harad_raiders|Razziatori Haradrim
pt_khand_raiders|Razziatori del Khand
pt_umbar_raiders|Razziatori di Umbar
pt_moria_raiders|Razziatori di Moria
pt_guldur_raiders|Razziatori di Dol Guldur
pt_gundabad_raiders|Razziatori del Gundabad
pt_rhun_raiders|Razziatori del Rhûn
pt_gondor_patrol|Pattuglia di Gondor
pt_rohan_patrol|Pattuglia di Rohan
pt_imladris_patrol|Pattuglia Dúnedain
pt_lorien_patrol|Pattuglia di Lothlórien
pt_woodelf_patrol|Pattuglia di Bosco Atro
pt_dale_patrol|Pattuglia di Dale
pt_esgaroth_patrol|Pattuglia di Esgaroth
pt_dwarf_patrol|Pattuglia di Nani
pt_ranger_patrol|Pattuglia di Raminghi
pt_amroth_patrol|Pattuglia di Dol Amroth
pt_pelargir_patrol|Pattuglia di Pelargir
pt_lossarnach_patrol|Pattuglia del Lossarnach
pt_brv_patrol|Pattuglia della valle della Radice Nera
pt_pinnath_patrol|Pattuglia delle Pinnath Gelin
pt_lamedon_patrol|Pattuglia di Lamedon
pt_mordor_war_party|Compagnia da Guerra di Mordor
pt_isengard_war_party|Compagnia da Guerra di Isengard
pt_harad_war_party|Compagnia da Guerra dell'Harad
pt_dunland_war_party|Plotone da Guerra di Dunland
pt_khand_war_party|Compagnia da Guerra Variag
pt_moria_war_party|Compagnia da Guerra di Moria
pt_dale_war_party|Compagnia da Guerra di Dale
pt_rhun_war_party|Compagnia da Guerra del Rhûn
pt_gondor_company|Pattuglia di Minas Tirith
pt_rohan_company|Compagnia di Rohan
pt_imladris_company|Compagnia di Gran Burrone
pt_lorien_company|Compagnia di Lothlórien
pt_woodelf_company|Compagnia di Bosco Atro
