hint_1|La Mano Bianca non dovrebbe fidarsi dell'Occhio senza Palpebre, e viceversa
hint_2|Contro chi stai combattendo, chi stai aiutando,e dove si svolge la battaglia determina quale regno alleato nota e forse apprezza i tuoi sforzi. 
hint_3|Gli Esploratori sono una fonte d'informazione per un Regno, così come lo sono i prigionieri trascinati nelle segrete per torture ed interrogatori. Liberare i prigionieri e uccidere gli esploratori può accecare il nemico. 
hint_4|Ricorda che hai un numero diverso di Punti Risorsa in ciascun Regno, che ti permettono di Rifornirti con equipaggiamenti e truppe all'interno di quello specifico Regno.
hint_5|Il Collasso militare di un regno è irreversibile. Mordor non ne risentirà mai, ma la guerra finirà se le sue forze saranno contenute e i suoi alleati sconfitti. 
hint_6|Serve una mente salda (INT) per evitare di andare nel panico all'arrivo di un Nazgul. C'è poi bisogno di un perfetto controllo sul cavallo per evitare che si imbizzarrisca. 
hint_7|Puoi riposare sulla mappa del mondo tenendo premuta la barra spaziatrice. Tuttavia, i membri della fazione feriti guariranno più in fretta nelle città.
hint_8|Per ricevere e cedere velocemente gli oggetti nella finestra dell'inventario, tieni premuto Ctrl. e premi il tasto sinistro del mouse. 
hint_9|Puoi lasciare all'istante una qualsiasi località premendo il tasto Tab, e in battaglia puoi premere Cancella -Backspace -per visionare l'interfaccia dei comandi. 
hint_10|Gli animali possono andare nel panico vicino ai Troll e agli Olog-hai. Attento ! 
hint_11|La Forza lavoro rappresenta una risorsa cruciale per un Regno: prendere e mantenere truppe sotto il tuo comando consumerà Punti Risorsa della rispettiva fazione. 
hint_12|In Battaglia puoi dare ordini ai tuoi Uomini. Puoi tenere premuto il tasto shift per ingrandire la visuale quando miri a nemici distanti. 
