ip_battle_formations|Formazioni di Battaglia: TLD FormAI
ip_battle_formations_text|All'inizio di ogni battaglia, le tue truppe si posizioneranno in attesa, anzichè caricare ciecamente contro il nemico. Solo le principali fazioni (tutte e 18) usano le formazioni (anche i disertori), i banditi non faranno altro che caricare. C'è una lieve differenza tra le fazioni buone e quelle malvagie, la fanteria delle fazioni considerate buone formerà un muro di scudi (solitamente difensivo - truppe con scudo in prima linea, ma possono formare una falange se vi sono picchieri), mentre la fanteria delle fazioni malvagie formerà stretti ranghi (con le truppe migliori in prima linea). Le formazioni funzionano solo nelle battaglie campali (significa che non saranno presenti nelle battaglie personalizzate e negli assedi).^^In qualsiasi frangente in cui hai una formazione attivata o "In attesa", questa si posizionerà nei pressi del comandante quando l'ordine è stato impartito: Fanteria sulla sinistra, Cavalleria sulla destra e Arcieri centralmente in avanti. Le truppe del giocatore si imposteranno in ogni battaglia in formazione.^^ I tasti per le formazioni sono: "J" per Serrare i Ranghi, "K" per Formare Ranghi in base alle armi disponibili (muro di scudi, falange), "L" per la Formazione a Cuneo (il giocatore deve riassegnare la mappatura di "L" per il "Diario") ";" per la formazione a quadrato, "U" per nessuna formazione (cancellare formazione).^^La formazione di "ranghi" per gli arcieri farà sì che questi si posizionino in una linea allargata. La Cavalleria non assumerà alcuna formazione oltre al Cuneo.^^Caricare (e Smontare per la Cavalleria) disgregherà la formazione. Il giocatore può dirigere le proprie truppe avanzando più volte e facendosi seguire affinchè una formazione si diriga verso la posizione più debole dello schieramento nemico. Oppure può utilizzare il pannello dei comandi o tenere premuto "F1" e posizionarli (per la cavalleria, se l'indicatore verrà posizionato oltre le truppe nemiche, questa si lancerà alla carica utilizzando la formazione a cuneo).^^Se riscontri problemi con le formazioni, puoi tornare all'IA nativa.
ip_battle_formations_newformai|Formazioni di Battaglia: NewFormAI
ip_battle_formations_newformai_text|NewFormAI ti consente di accedere alle formazioni dal menu degli ordini e comandare alle tue truppe di attaccare specifiche formazioni nemiche tramite il comando "Mantenere la Posizione" (tieni premuto F1). Ma non è completamente testato.^^Usa i NUMERI della tastiera per selezionare una divisione. Premi 0 per selezionare l'intera forza a tua disposizione.^^Usa F1-F4 per dare ordini alle divisioni selezionate. Tieni premuto il tasto F1 per posizionare le divisioni selezionate. Puoi prendere di mira una divisione nemica tramite questo meccanismo."^^Le Formazioni Complesse nel menu di battaglia sono:^- RANGHI con le migliori truppe davanti^- MURO Di SCUDI, ranghi con scudi davanti e armi più lunghe dietro^- CUNEO con le migliori truppe davanti^- QUADRATO senza un ordine particolare^- NESSUNA FORMAZIONE^Anche nell'ultimo caso, il giocatore può creare formazioni fino a quattro linee ordinando di Serrare i Ranghi quanto necessario.^^Quando UNA divisione viene selezionata, il centro della sua prima fila è posizionate nel punto indicato.^^Quando vengono selezionate MOLTE divisioni, esse vengono separate e distribuite come se il giocatore si trovasse nel punto indicato.^^È possibile memorizzare la posizione delle divisioni selezionate rispetto al giocatore premendo F2, F7. L'impostazione predefinita è: Fanteria a sinistra, Cavalleria a destra e Tiratori davanti. Il posizionamento viene ignorato per qualsiasi divisione che il giocatore sceglie di dirigere personalmente attraverso il menu delle opzioni delle formazioni.^^Se l'opzione di gioco del menu dell'accampamento è impostata, le divisioni ruoteranno per affrontare il nemico. In caso contrario, manterranno l'orientamento che aveva il giocatore quando sono stati piazzati.
ip_battle_morale|Morale in Battaglia (Coerenza)
ip_battle_morale_text|Il morale in battaglia è chiamato Coerenza per motivi di differenziazione dal morale della tua compagnia sulla mappa principale. Tuttavia, il morale del gruppo influisce anche sulla Coerenza del tuo gruppo in battaglia. Così come l'abilità di Comando tua e dei tuoi compagni, la quantità di capitani e portabandiera sul campo, il livello medio del tuo gruppo e la relazione numerica tra le due parti. Anche effetti sul campo di battaglia come nebbie magiche o determinati eventi possono influire sulla coerenza.^^Più perdite subisce la tua fazione, più il loro morale si sgretola. Se la tua Coerenza diminuisce, le tue truppe potrebbero fuggire dalla battaglia, provocando infine una disfatta di massa ! Puoi supportare le tue truppe in due modi:^^1. Uccidere i nemici. Se agirai bene, impressionerai i tuoi uomini e loro combatteranno più duramente senza fuggire o arretrare. Anche uccidere eroi nemici, portabandiera o truppe di alto livello danneggerà la loro coerenza.^^2. Spronandoli. Premi "V" per incoraggiare le tue truppe e aumentare la tua coerenza. Hai anche la possibilità di incitare truppe che stanno già fuggendo. Hai un numero limitato di incitamenti per battaglia ! La quantità, la forza e la portata del tuo sprone sono influenzate dal tuo Carisma e dalla tua capacità di Comando. Il tuo sprone è supportato dai tuoi compagni (se hanno l'abilità di comando) e dai capitani.^^Può ottenere un buon vantaggio se abbattendo il comandante nemico, perché questo priva i nemici del loro comandante e non possono essere spronati.
ip_economy|Punti Risorsa, Punti Rango, Punti Influenza
ip_economy_text|Non esiste il denaro in TLD. Tuttavia sarà possibile sviluppare relazioni con le fazioni - rappresentate dai Punti Risorsa, dai Punti Influenza e dal Rango.^^I Punti Rirsorsa sono ciò di cui avrai bisogno per sostenere una fazione in guerra - puoi rivendere oggetti e scarti di metallo per farlo, inoltre ti verranno assegnati settimanalmente un certo numero di Punti Risorsa in base al rango che occupi in quella fazione. È possibile utilizzare queste risorse per ottenere truppe, equipaggiamento, cavalcature per te e per i compagni che ti seguono, ma solo se ne avrai accumulati abbastanza. Avrai una riserva di Punti Risorsa/Influenza/Rango separata per ogni fazione, ricordalo !^^Otterrai Punti Influenza compiendo missioni o uscendo vittorioso da battaglie impegnative. Potrai spenderli in seguito per l'ottenimento di speciali oggetti, come ricompensa data dai comandanti delle fazioni con le quali hai ottenuto Influenza o per impartire ordini ai tuoi compagni, se il tuo rango è sufficientemente elevato.^^I Punti Rango ti permetteranno di scalare la gerarchia della tua fazione - questo determinerà le dimensioni massime della tua compagnia, le ricompense settimanali, lo sblocco di opzioni di comando e renderà disponibili oggetti di maggiore qualità nei mercati^^Oltre a ciò, migliorando le tue relazioni con gli insediamenti (rappresentati dall'anziano locale) e con i comandanti alleati, otterrai dei benefici.^^Cercando di rimanere fedeli all'ambientazione, abbiamo disabilitato la possibilità di indossare un abbigliamento che non fosse coerente con la propria razza: un Gondoriano non indosserebbe mai un'armatura orchesca saccheggiata, e viceversa. Dopo la maggior parte delle battaglie, troverai poco o niente nel bottino che possa essere direttamente utilizzato. Troverai invece "scarti di metallo", che rappresentano l'equipaggiamento recuperabile e che potrà essere ceduto ad un fabbro, che li acquisterà in cambio di Punti Risorsa.
ip_war_of_the_ring|Guerra dell'anello
ip_war_of_the_ring_text|All'inizio del gioco, la guerra tra il bene e il male non è ancora scoppiata. Ti verrà notificato quando ciò avverrà (non dipende dal tempo di gioco, quanto dal livello di preparazione del personaggio per la guerra). Anche se inizialmente la Terra di Mezzo apparirà come un luogo tranquillo e gradevole, in breve si riempirà di gruppi ostili una volta esploso il conflitto. Sii pronto e fa buon uso dei pochi giorni di pace che ti saranno concessi ! Potrai dedicarti alle missioni per conto di comandanti e nobili fra le fazioni alleate, arruolare truppe e addestrarti nelle caserme.^^La guerra in sè può essere vinta o perduta, contrariamente all'originale M&B/WB. Tutte le fazioni sono classificate in base alla forza - che cambierà a seconda delle vittorie o delle sconfitte in battaglia. Se questa forza scende oltre determinati livelli, si creerà l'opportunità per assediarne gli accampamenti e le città. Quando una fazione degrada al minimo, sarà possibile sconfiggerla definitivamente assaltandone la capitale.^^Tieni conto che per il tuo ruolo, non puoi dare inizio ad un assedio da solo. Potrai soltanto sostenere la tua fazione nelle battaglie d'assedio se i suoi comandanti decideranno che sarà giunto il momento di andare all'assalto di un insediamento. Se disporrai di un rango sufficientemente elevato e avrai una certa influenza verso una fazione, potrai tuttavia suggerire ai loro comandanti di assaltare specifici insediamenti. Al Rango più alto nella tua fazione, potrai guadagnare il diritto di guidare un assalto personalmente.^^Ci sono diversi teatri di guerra in TLD, definiti dalla geografia del territorio. Quando una fazione elimina tutti i nemici in un determinato teatro, verrà inviato un Corpo di Spedizione per sostenere gli alleati nei successivi teatri di guerra. I Corpi di Spedizione costruiranno un un avamposto e faranno partire le loro operazioni da quel luogo. Se le forze del bene vengono totalmente sconfitte, ma Mordor e Isengard sono ancora forti, le Due Torri si daranno battaglia per il dominio totale sulla Terra di Mezzo.
ip_starting_tips|Suggerimenti Iniziali
