skinkey_chin_size|Chin Size
skinkey_chin_shape|Chin Shape
skinkey_chin_forward|Chin Forward
skinkey_jaw_width|Jaw Width
skinkey_jaw_position|Jaw Position
skinkey_mouth_nose_distance|Mouth-Nose Distance
skinkey_mouth_width|Mouth Width
skinkey_cheeks|Cheeks
skinkey_nose_height|Nose Height
skinkey_nose_width|Nose Width
skinkey_nose_size|Nose Size
skinkey_nose_shape|Nose Shape
skinkey_nose_bridge|Nose Bridge
skinkey_cheek_bones|Cheek Bones
skinkey_eye_width|Eye Width
skinkey_eye_to_eye_dist|Eye to Eye Dist
skinkey_eye_shape|Eye Shape
skinkey_eye_depth|Eye Depth
skinkey_eyelids|Eyelids
skinkey_eyebrow_position|Eyebrow Position
skinkey_eyebrow_height|Eyebrow Height
skinkey_eyebrow_depth|Eyebrow Depth
skinkey_eyebrow_shape|Eyebrow Shape
skinkey_temple_width|Temple Width
skinkey_face_depth|Face Depth
skinkey_face_ratio|Face Ratio
skinkey_face_width|Face Width
skinkey_post_edit|Post-Edit
skinkey_snout_height|Snout Height
skinkey_snout_width|Snout Width
skinkey_snout_size|Snout Size
skinkey_snout_shape|Snout Shape
skinkey_weight|Weight
skinkey_mouth_shape|Mouth Shape
skinkey_eye_size|Eye Size
skinkey_eye_slant|Eye Slant
skinkey_frawn|Frawn
skinkey_mouth_vert_pos|Mouth Vert Pos
skinkey_mouth_to_nose_dist|Mouth to Nose Dist
skinkey_chin_width|Chin Width
