imod_plain  = "Plain %s"
imod_cracked  = "Poor %s"
imod_rusty  = "Crude %s"
imod_bent  = "Bent %s"
imod_chipped  = "Chipped %s"
imod_battered  = "Battered %s"
imod_poor  = "Poor %s"
imod_crude  = "Simple %s"
imod_old  = "Ancient %s"
imod_cheap  = "Cheap %s"
imod_fine  = "Fine %s"
imod_well_made  = "Well Made %s"
imod_sharp  = "Sharp %s"
imod_balanced  = "Balanced %s"
imod_tempered  = "Tempered %s"
imod_deadly  = "Deadly %s"
imod_exquisite  = "Exquisite %s"
imod_masterwork  = "Masterwork %s"
imod_heavy  = "Heavy %s"
imod_strong  = "Strong %s"
imod_powerful  = "Powerful %s"
imod_tattered  = "Tattered %s"
imod_ragged  = "Rough %s"
imod_rough  = "Rough %s"
imod_sturdy  = "Sturdy %s"
imod_thick  = "Robust %s"
imod_hardened  = "Hardened %s"
imod_reinforced  = "Reinforced %s"
imod_cloak  = "%s with cloak"
imod_lordly  = "Masterwork %s"
imod_lame  = "Lame %s"
imod_swaybacked  = "Swaybacked %s"
imod_stubborn  = "Stubborn %s"
imod_timid  = "Timid %s"
imod_meek  = "Blood-covered %s"
imod_spirited  = "Spirited %s"
imod_champion  = "Champion %s"
imod_fresh  = "Fresh %s"
imod_day_old  = "Day-old %s"
imod_two_day_old  = "Two Days-old %s"
imod_smelling  = "Smelling %s"
imod_rotten  = "Rotten %s"
imod_large_bag  = "Large Bag of %s"
