itm_horse_meat|Конина
itm_practice_sword|Тренувальний меч
itm_arena_lance|Спис
itm_practice_staff|Дерев'яна палиця
itm_practice_bow|Тренувальний лук
itm_wooden_javelin|Дерев'яний дротик
itm_human_meat|Людська плоть
itm_maggoty_bread|Червивий хліб
itm_cram|Запас Крема
itm_lembas|Лембас
itm_smoked_fish|Копчена риба
itm_dried_meat|Засохле м'ясо
itm_cattle_meat|Яловичина
itm_grain|Пшениця
itm_tools|Інструменти
itm_siege_supply|Провіант
itm_quest_wine|Вино
itm_quest_ale|Ель
itm_metal_scraps_bad|Низькосортний металобрухт
itm_metal_scraps_medium|Металобрухт
itm_metal_scraps_good|Високоякісний металобрухт
itm_oliphant|Оліфант
itm_sumpter_horse|В'ючний кінь
itm_saddle_horse|Верховий кінь
itm_steppe_horse|Степовий кінь
itm_courser|Жеребець
itm_hunter|Гунтер
itm_pony|Поні
itm_dunedain_warhorse|Дунедайнський бойовий кінь
itm_rohirrim_courser|Роханський жеребець
itm_rohirrim_hunter|Роханський гунтер
itm_rohirrim_courser2|Роханський броньований Жеребець
itm_rohan_warhorse|Роханський бойовий кінь
itm_thengel_warhorse|Еолрський бойовий кінь
itm_rhun_horse_a|Рунійський кінь
itm_rhun_horse_b|Рунійський кінь
itm_rhun_horse_d|Рунійський кінь
itm_rhun_horse_e|Рунійський важкий кінь
itm_rhun_horse_f|Рунійський важкий кінь
itm_rhun_horse_g|Рунійський важкий кінь
itm_rhun_horse_h|Рунійський важкий кінь
itm_dale_horse|Рованіонський кінь
itm_dale_warhorse|Рованіонський бойовий кінь
itm_riv_warhorse|Рівендельский бойовий кінь
itm_riv_warhorse2|Рівендельский кінь
itm_mordor_warhorse|Мордорський бойовий кінь
itm_mordor_warhorse2|Мордорський зловісний кінь
itm_gondor_courser|Гондорський скаковий кінь
itm_gondor_hunter|Гондорский гунтер
itm_dol_amroth_warhorse|Дол-Амротський бойовий кінь
itm_dol_amroth_warhorse2|Дол-Амротський важкий кінь
itm_gondor_warhorse|Гондорский бойовий кінь
itm_gondor_lam_horse|Ламедонський броньований кінь
itm_lorien_warhorse|Лоріенский бойовий кінь
itm_harad_horse|Харадський кінь
itm_harad_warhorse|Харадський бойовий кінь
itm_variag_pony|Варьягський низькорослий кінь
itm_variag_kataphrakt|Істерлінгський бойовий кінь
itm_warg_1b|Варг
itm_warg_1c|Варг
itm_warg_1d|Варг
itm_wargarmored_1b|Броньований варг
itm_wargarmored_1c|Броньований варг
itm_wargarmored_2b|Броньований варг
itm_wargarmored_2c|Броньований варг
itm_wargarmored_3a|Броньований варг
itm_warg_reward|Величезний варг
itm_tree_trunk_club_a|Стовбур дерева
itm_giant_mace|Величезна булава
itm_troll_shield_a|Щит троля
itm_arrows|Стріли
itm_gondor_arrows|Гондорські стріли
itm_orc_javelin|Оркський важкий дротик
itm_khergit_arrows|Роханські стріли
itm_harad_arrows|Харадські стріли
itm_corsair_arrows|Корсарські стріли
itm_ithilien_arrows|Ітіліенські стріли
itm_woodelf_arrows|Стріли лісових ельфів
itm_elven_arrows|Ельфійські стріли
itm_orc_hook_arrow|Орські гачкуваті стріли
itm_isengard_arrow|Ізенгардські стріли
itm_leather_gloves|Шкіряні Рукавиці
itm_mail_mittens|Кольчужні рукавиці
itm_leather_boots|Шкіряні чоботи
itm_leather_boots_dark|Чоботи наїзника
itm_splinted_greaves|Шиновані наголінники
itm_white_tunic_a|Одяг городянина
itm_rohan_shoes|Шкіряні черевики
itm_furry_boots|Хутряні чоботи
itm_black_tunic|Чорний одяг
itm_hood_black|Чорний капюшон
itm_hood_green|Зелений капюшон
itm_hood_grey|Сірий капюшон
itm_hood_leather|Шкірний капюшон
itm_mail_coif|Кольчужний Капюшон
itm_axe_a|Північна сокира
itm_axe_b|Північна бородоподібна сокира
itm_axe_c|Північна сокира
itm_axe_d|Північна сокира
itm_long_bearded_axe|Північний бердиш
itm_2_handed_axe|Північна довга сокира
itm_shortened_spear|Вкорочений спис
itm_spear|Спис
itm_light_lance|Легкий кавалерійський спис
itm_lance|Кавалерійський спис
itm_tab_shield_small_round_b|Круглий щит вершника
itm_short_bow|Короткий лук
itm_regular_bow|Лук
itm_nomad_bow|Лук кочівника
itm_gondor_bow|Ґондорський лук
itm_strong_bow|Тугий лук
itm_elven_bow|Ельфійський лук
itm_corsair_bow|Корсарський лук
itm_dwarf_horn_bow|Гномів роговий лук
itm_dwarf_short_bow|Гномів короткий лук
itm_harad_bow|Харадський кривий лук
itm_lg_bow|Лук Орлиної гвардії
itm_riv_bow|Рівендельский лук
itm_rhun_bow|Балхотський лук
itm_lorien_bow|Ґаладрімський лук
itm_isengard_large_bow|Ізенґардський великий лук
itm_dale_bow|Дейлський лук
itm_uruk_bow|Орочій роговий лук
itm_mirkwood_bow|Темнолісський лук
itm_dunland_javelin|Дунландські сулиці
itm_orc_throwing_arrow|Орочі сулиці
itm_heavy_throwing_spear|Важкий метальний спис
itm_javelin|Сулиця
itm_harad_javelin|Харадські сулиці
itm_gondor_javelin|Ґондорська сулиця
itm_rohirrim_throwing_axe|Північні метальні сокири
itm_loss_throwing_axes|Лоссарнахські метальні сокири
itm_arnor_helm_c|Арнорський прикрашений шолом
itm_arnor_helm_b|Арнорський шолом
itm_arnor_helm_a|Арнорський легкий шолом
itm_arnor_light_a|Шкіряна куртка рейнджера дунедайна
itm_arnor_light_b|Дунедайнський гонець рейнджерів
itm_arnor_med_a|Плащ рейнджера дунедайна
itm_arnor_med_b|Кольчуга Дунедайн
itm_arnor_heavy|Арнорська чудова броня
itm_arnor_greaves|Арнорські наголінники
itm_arnor_shield_c|Арнорський кавалерійський щит
itm_arnor_shield_a|Арнорський круглий щит
itm_arnor_sword_c|Військовий меч Арнора
itm_arnor_sword_a|Арнорський меч-бастард
itm_arnor_sword_f|Арнорський короткий меч
itm_riv_helm_a|Рівенділський коїф
itm_riv_helm_b|Рівенділський шолом лучника
itm_riv_helm_c|Рівенділський шолом піхотинця
itm_tiara_reward|Тіара ельфійського правителя
itm_riv_shield_a|Рівенділський щит
itm_riv_shield_b|Рівенділський щит
itm_riv_bas_sword|Рівенділський меч-бастард
itm_riv_1h_sword|Рівенділський меч
itm_riv_riding_sword|Рівенділський длинний меч
itm_riv_archer_sword|Рівенділський короткий меч
itm_riv_spear|Рівенділський спис
itm_riv_light|Рівенділська блузка
itm_riv_leather|Рівенділська шкіряна броня
itm_riv_foot_mail|Рівендельска кольчуга
itm_riv_foot_scale|Рівендельска луската броня
itm_riv_surcoat|Рівендельська сюрка
itm_riv_knight|Рівендельска лицарська броня
itm_riv_armor_h_archer|Рівенділська броня
itm_riv_boots|Рівенділські чоботи
itm_gon_footman|Ґондорська кольчуга
itm_gon_jerkin|Ґондорська куртка
itm_gon_regular|Ґондорська важка кольчуга
itm_gon_bowman|Ґондорський гамбесон
itm_gon_archer|Ґондорський гамбесон з накидкою
itm_gon_noble_cloak|Ґондорська коштовна куртка
itm_gon_squire|Ґондорська кольчуга з накидкою
itm_gon_knight|Ґондорська важка кольчуга з накидкою
itm_gon_ranger_cloak|Ґондорський плащ рейнджера
itm_gon_ranger_skirt|Ґондорський одяг рейнджера
itm_gon_steward_guard|Ґондорськая броня Охоронців намісника
itm_gon_tower_guard|Ґондорська броня Охоронців Вежі
itm_gon_tower_knight|Ґондорська броня Лицаря Вежі
itm_gon_leader_surcoat_cloak|Ґондорська накидка воєначальника
itm_gondor_ranger_hood|Зелений капюшон
itm_gondor_ranger_hood_mask|Ґондорський капюшон рейнджера
itm_gondor_light_greaves|Ґондорські шкіряні наголінники
itm_gondor_med_greaves|Ґондорські середні наголінники
itm_gondor_heavy_greaves|Ґондорські кольчужні наголінники
itm_gondor_auxila_helm|Легкий шолом Гондора
itm_gondorian_archer_helm|Шолом лучника Гондора
itm_tower_archer_helm|Шолом лучника Вежі
itm_gondor_leader_helm|Ґондорський чудовий шолом
itm_tower_guard_helm|Шолом Охоронця Вежі
itm_gondor_citadel_knight_helm|Шолом Лицаря Цитаделі
itm_gondor_infantry_helm|Ґондорський шолом піхотинця
itm_gondor_knight_helm|Кавалерійський шолом Гондора
itm_gondor_dolamroth_helm|Дол-Амротський шолом
itm_swan_knight_helm|Лебединий лицарський шолом
itm_gondor_lamedon_helm|Ламедонський шолом
itm_gondor_lamedon_leader_helm|Ламедонський чудовий шолом
itm_blackroot_archer|Мортондський гамбесон з плащем
itm_blackroot_bowman|Мортондська куртка з плащем
itm_blackroot_footman|Мортондська куртка
itm_blackroot_warrior|Мортондський гамбесон
itm_blackroot_leader|Мортондська кольчуга
itm_blackroot_hood|Чорний капюшон
itm_dol_hauberk|Дол-Амротський гауберк
itm_dol_heavy_mail|Дол-Амротська важка кольчуга
itm_dol_padded_coat|Дол-Амротський підбитий одяг
itm_dol_shirt|Дол-Амротський одяг
itm_dol_very_heavy_mail|Дол-Амротська важка кольчуга
itm_dol_greaves|Дол-Амротські наголінники
itm_dol_shoes|Дол-Амротські легкі чоботи
itm_lamedon_clansman|Ламедонська кланова броня
itm_lamedon_footman|Ламедонська броня піхотинця
itm_lamedon_knight|Ламедонська лицарська броня
itm_lamedon_leader_surcoat_cloak|Ламедонська броня воєначальника
itm_lamedon_warrior|Ламедонська броня воїна
itm_lamedon_veteran|Ламедонська броня ветерана
itm_lamedon_vet_warrior|Ламедонська чудова броня ветерана
itm_lamedon_hood|Капюшон
itm_pinnath_archer|Броня лучника Піннат-Геліну
itm_pinnath_footman|Броня піхотинця Піннат-Геліну
itm_pinnath_leader|Броня лицаря Піннат-Геліну
itm_pinnath_vet_footman|Броня піхотинця-ветерана Піннат-Геліну
itm_pinnath_warrior|Броня воїна Піннат-Геліну
itm_pel_footman|Пеларгірська броня піхотинця
itm_pel_jerkin|Пеларгірська куртка
itm_pel_leader|Пеларгірська броня воєначальника
itm_pel_marine|Пеларгірський моряк
itm_pelargir_marine_leader|Пеларгірська броня капітана
itm_pelargir_regular|Пеларгірська броня воїна
itm_pelargir_hood|Білий капюшон
itm_pelargir_helmet_light|Пеларгірський шолом
itm_pelargir_helmet_heavy|Пеларгірський важкий шолом
itm_pelargir_greaves|Пеларгірські наголінники
itm_lossarnach_shirt|Лоссарнахський одяг
itm_lossarnach_axeman|Лоссарнахська броня сокироносця
itm_lossarnach_leader|Лоссарнахська броня воєначальника
itm_lossarnach_vet_axeman|Лоссарнахська броня сокироносца-ветерана
itm_lossarnach_vet_warrior|Лоссарнахська броня воїна-ветерана
itm_lossarnach_warrior|Лоссарнахська броня воїна
itm_lossarnach_cloth_cap|Лоссарнахський тканинний шолом
itm_lossarnach_leather_cap|Лоссарнахський шкіряний шолом
itm_lossarnach_scale_cap|Лоссарнахський лускатий шолом
itm_lossarnach_greaves|Лоссарнахські поножі
itm_gondor_shield_a|Ґондорський прямокутний щит
itm_gondor_shield_b|Ґондорський  краплеподібний щит
itm_gondor_shield_c|Ґондорський баштовий щит
itm_gondor_shield_d|Ґондорський  краплеподібний щит
itm_gondor_shield_e|Ґондорський щит варти Цитаделі
itm_gon_tab_shield_a|Ґондорський круглий щит з гербом
itm_gon_tab_shield_b|Ґондорський прямокутний щит з гербом
itm_gon_tab_shield_c|Ґондорський краплеподібний щит з гербом
itm_gon_tab_shield_d|Ґондорський баштовий щит з гербом
itm_amroth_sword_a|Дол-Амротський меч
itm_amroth_sword_b|Дол-Амротський лицарський меч
itm_gondor_sword|Ґондорскій піхотний меч
itm_amroth_bastard|Дол-Амротський лебединий меч 
itm_gondor_short_sword|Лінхірський екет
itm_pelargir_eket|Пеларгірський екет
itm_pelargir_sword|Пеларгірський меч
itm_gondor_ranger_sword|Ґондорський меч рейнджера
itm_gondor_2h_sword|Гондорський бойовий меч
itm_gondor_citadel_sword|Ґондорський меч Варти Цитаделі
itm_gondor_cav_sword|Ґондорський кавалерійський меч
itm_gondor_spear|Ґондорський спис
itm_gondor_tower_spear|Ґондорський спис Варти Цитаделі
itm_gondor_lance|Ґондорський кавалерійський спис
itm_loss_axe|Гондорська бойова сокира
itm_loss_war_axe|Гондорська бойова сокира
itm_lorien_sword_a|Лоріенський довгий меч
itm_lorien_sword_b|Лоріенський короткий меч
itm_lorien_sword_c|Лоріенський бойовий меч
itm_lorien_archer|Лоріенська броня лучника
itm_lorien_armor_a|Лоріенська стьобана броня
itm_lorien_armor_b|Лоріенська кольчуга
itm_lorien_armor_c|Лоріенська луската броня
itm_lorien_boots|Лоріенські черевики
itm_lorien_shield_b|Лоріенський баштовий щит
itm_lorien_shield_c|Лоріенський краплеподібний щит
itm_lorien_round_shield|Лоріенський круглий щит
itm_lorien_helm_a|Лоріенський шолом лучника
itm_lorien_helm_b|Лоріенський шолом лучника
itm_lorien_helm_c|Лоріенський шолом піхотинця
itm_orc_coif|Оркський черепник
itm_orc_greaves|Оркські кольчужні чоботи
itm_orc_ragwrap|Оркські рвані обмотки
itm_orc_furboots|Оркські хутряні чоботи
itm_orc_tribal_a|Необроблена шкіра
itm_orc_tribal_b|Необроблена шкіра
itm_orc_tribal_c|Необроблена шкіра
itm_evil_gauntlets_a|Чорні рукавички
itm_evil_gauntlets_b|Чорні панцерні рукавички
itm_isen_orc_light_a|Світловий джгут орків Ізенгарда
itm_isen_orc_light_b|Світловий джгут орків Ізенгарда
itm_isen_orc_pad_a|Легка сегментована броня орка Ізенгарда
itm_isen_orc_pad_b|Середній сегментований обладунок орка Ізенгарда
