qstr_Received_{reg0}_dama|Отримано {reg0} шкоди.
qstr_Gate_is_breached!|Ворота проламані!
qstr_Gate_opens..._You_ha|Ворота відкриваються ... Ви входите в найпотаємніше місце Середзем'я
qstr_Secret_place_discove|Знайдено секретне місце!
qstr_Next_Page|Наступна сторінка
qstr_Action|Дія
qstr_Mount|Сісти на коня
qstr_Attack_Type|Тип атаки
qstr_Hold_This_Position|Утримувати цю позицію
qstr_Follow_Me|Слідувати за мною
qstr_Charge|Поміняти
qstr_Advance|Просунутися вперед
qstr_Fall_Back|Відійти назад
qstr_Stand_Closer|Зімкнути ряди
qstr_Spread_Out|Врозтіч
qstr_Stand_Ground|Стояти на місці
qstr_Dismount|Злізти з коня
qstr_Use_Any_Weapon|Використовувати будь-яку зброю
qstr_Use_Blunt_Weapons|Використовувати тільки ударну зброю
qstr_Hold_Your_Fire|Припинити стрільбу
qstr_Fire_At_Will|Стріляти по готовності
qstr_Us|Нас
qstr_Allies|Союзників
qstr_Enemies|Ворогів
qstr_Ready|Готово до бою
qstr_Wounded|Поранено
qstr_Dead|Вбито
qstr_Routed|Втекли
qstr_Number_of_men_knocke|Число Приголомшених бійців: {reg1}
qstr_Number_of_men_left:_|Число залишившиїся бійців: {reg1}
qstr_Opponents_Beaten:_{r|Переможені противники: {reg1}
qstr_Opponents_Remaining:|Решта противників: {reg1}
qstr_Gauntlet_wave:_1|Хвиля противників: 1
qstr_Gauntlet_wave:_{reg1|Хвиля супротивників: {reg1}
qstr_Remain_in_retirement|Відійти від справ.
qstr_Go_back_to_the_adven|Повернутися до пригод.
qstr_A_peaceful_village_n|Мирне село неподалік від Вестфолду...
qstr_The_War_is_upon_Roha|На землі Рогана прийшла війна!
qstr_Minas_Tirith___The_W|Мінас-Тіріт - Біле Місто
qstr_The_White_Tree_stand|Біле Древо стоїть Зів'яле з тих пір, як припинилася династія королів
qstr_And_the_Shadow_grows|І тінь все сильніше сходить на заході
qstr_Minas_Morgul___City_|Мінас Ітіль - Твердиня Назгулів
qstr_Sauron_s_armies_marc|Армії Саурона виступили в похід!
qstr_Adventurers_at_audie|Шукачі пригод удостоїлися аудієнції у Намісника Денетора...
qstr___What_business_do_y|"Що привело вас сюди, прохачі?"
qstr___Your_Stewardship_w|"Пан, ми прибули з далеких земель, щоб ... стрибнути!"
qstr___Enough_of_this_mad|"Досить цього безумства! Варта!"
qstr___I_ve_had_enough_of|"Я ситий по горло цими жартівниками... Наступні прохачі будуть стояти на колінах!"
qstr_Chest|Груди
qstr_Cape|Накидка
qstr_Arms|Руки
qstr_Thighs|Речі
qstr_Legs|Ноги
qstr_Rotate|Повернути
qstr_Close|Закрити
qstr_Faction_Side:^^Campa|Фракція:^^ Складність компанії*:^^ Рідний регіон:^^ Командир:^^ Вороги:^^
qstr_Campaign_Difficulty_|Складність кампанії залежить від початкової сили фракції, ворогів у регіоні, військ обраної фракції і спорядження загону.
qstr_Rallies:|Бойові кличі:
qstr_View_Keybinds__Press|Показати прив'язки клавіш (Натисніть Insert)
qstr_What_do_you_fight_fo|За що ти борешся?
qstr_Go_Back...|Назад...
qstr_Learn_about_the_diff|Дізнатися про фракції Середзем'я
qstr_The_DAWN_of_a_New_Er|за Світанок Нової Ери
qstr_The_TWILIGHT_of_Man|за Сутінки Роду Людського
qstr_Select_your_Race?|Виберіть свою Расу:
qstr_Man|Людина
qstr_Elf|Ельф
qstr_Dwarf|Гном
qstr_Whom_Do_You_Serve?|Кому ти служиш?
qstr_SAURON_of_Mordor_The|Я - слуга Саурона, повелителя Мордору, Володаря Перснів
qstr_SARUMAN_of_Isengard_|Я - слуга Сарумана, повелителя Ізенгарду, Білої долоні
qstr_an_ORC^_serving_the_|ОРК,^ прислужник немиготливого Ока
qstr_an_URUK^_the_new_bre|Урук,^ з нової породи орків
qstr_a_MAN^_subjugated_by|ЛЮДИНА,^ підлеглий волі Саурона
qstr_an_ORC^_serving_the_W|ОРК,^ слуга Білої долоні
qstr_one_of_the_URUK_HAI^|один з УРУК-ХАЙ, виведений в Ізенґарді
qstr_a_MAN_of_Dunland^_th|ЛЮДИНА з Дунланда,^ з рівнин на Заході
qstr_Click_the_center_but|Натисніть кнопку, щоб переключити фракцію^Натисніть на аватар, щоб переглянути деталі
qstr_Level:_{reg3}^Health|Рівень: {reg3}^ Здоров'я: {reg4}
qstr_Attributes|Параметри
qstr_STR^AGI^INT^CHA|СИЛ ^ ЛОВ ^ ІНТ ^ ХАР
qstr_Skills|Уміння
qstr_Ironflesh^Power_Stri|Живучість^Потужний удар^Потужний кидок^Потужний постріл^Володіння щитом^Атлетика^Верхова їзда^Верхова стрілянина
qstr_Proficiencies|Збройові Спеціалізації
qstr_1H_Weapons^2H_Weapon|1 Одноручне^2 Дворучне^Древкова^Лук^ Арбалет^Метальна
qstr_Equipment|Cпорядження
qstr_The_Last_Days_Mod_Op|Налаштування моду The Last Days
qstr_War_Starts_at_Level:|Війна починається на рівні:
qstr_Restrict_Player_Equi|Обмеження на спорядження можна посадити гнома на коня, а в його обладунок засунути ельфа:
qstr_Battle_Formations_an|Формації і покращений ШІ в боях:
qstr_Native|Оригінал
qstr_TLD_FormAI__Original|ШІ формацій TLD (Оригінал)
qstr_TLD_New_FormAI|TLD New FormAI
qstr_Siege_AI:__|Облога Ал
qstr_Basic__better_perfor|Основний (краща продуктивність)
qstr_Advanced|Розширений
qstr_Campaign_difficulty:|Складність кампанії:
qstr_Hard|Складна
qstr_Default|Звичайна
qstr_Easy|Легка
qstr_Cutscenes:__|Сінематика
qstr_Injuries_for_compani|Поранення компаньйонів:
qstr_Permanent_death_for_|Остаточна смерть полководців та соратників:
qstr_Permanent_death_for_p|Остаточна смерть гравця (тобто ВАС!):
qstr_Battle_morale_system|Система бойового духу:
qstr_Animal_ambushes:__|Засідки тварин:
qstr_Fallen_rider_damage_|Повідомлення про втрату впавшим наїзникам:
qstr_No_Messages|Приховати повідомлення
qstr_Player_damage_only|Тільки шкоди нанесені гравцем
qstr_All_Messages|Всі Повідомлення
qstr_Preferred_Camera_Mod|Переважний режим камери:
qstr_Default_Camera|Камера за замовчуванням
qstr_Free_Mode_Custom_Cam|Вільно налагоджувана камера
qstr_Fixed_Over_The_Shoul|Закріплена камера - на плечі гравця
qstr_Prevent_AI_from_taki|Заборонити ШІ йти в оборону:
qstr_Brighter_Nights:__|Світлі Ночі:
qstr_Done|Зроблено
qstr_Gameplay_Tweaks|Налаштування геймплею...
qstr_Beta_Formations_Twea|Альтернативний ШІ формацій
qstr_Set_to_Native_if_you|Для Баліна...
; qstr_Disable_cutscenes_if|Disable cutscenes if you encounter any crashes at the start of the war.
; qstr_Campaign_Difficulty_a|Campaign Difficulty affects abundance of volunteers, lord party size, and strength income for allied factions.
qstr_War_Will_Start_at_Le|Війна починається на рівні: {reg0}
; qstr_Be_aware_that_many_q|Be aware that many quests and campaign mechanics scale with player level. Increasing this setting will give you more time to prepare, but will make the war unfold quicker.
qstr_Troop_Tree|Древо розвитку військ
qstr__Click_on_a_unit_for|(Натисніть на воїна для подробиць)
qstr_Weapons|Зброя
qstr_Armors|Броня
qstr_Others|Інше
qstr_F4___Complex_formati|F4 - Складні формації
qstr_F7___Memorize_div._p|F7 - запам'ятати позицію підрозділу
qstr_F8___Default_divisio|F8 - Розмістити підрозділ за замовчуванням
qstr_F4___Ranks|F4 - Ряди
qstr_F5___Shield_Wall|F5 - Стіна щитів
qstr_F6___Wedge|F6 - Клин
qstr_F7___Square|F7 - Квадрат
qstr_F8___No_Formation|F8 - Без формації
qstr_Extended_Formations_|Розширені опції формацій та ШІ:
qstr_Put_player_in_divisi|Помістити гравця в підрозділ:
qstr_None|Немає
qstr_Army_rotates_to_face|Війська повертаються обличчям до ворога:
qstr_Prevent_AI_from_takin|Заборонити ШІ йти в оборону:
qstr_AI_Controls_Troops_W|ШІ керує військами коли Гравець втрачає свідомість:
qstr_You_gained_{reg0}_Re|Ви отримали {reg0} Очок Постачання фракції {s0}.
qstr_You_lost_{reg0}_Reso|Ви витратили {reg0} Очок Постачання фракції {s0}.
qstr_{s24}:|{s24}:
qstr_Great_Hope_of_{s5}|Велика надія фракції {s5}
qstr_Hope_of_{s5}|Надія фракції {s5}
qstr_Indispensable_Ally_o|Найвірніший союзник фракції {s5}
qstr_Faithful_Ally_of_{s5|Вірний союзник фракції {s5}
qstr_Trusted_Friend_of_{s|Перевірений друг фракції {s5}
qstr_Close_Friend_of_{s5}|Близький друг фракції {s5}
qstr_Friend_of_{s5}|Друг фракції {s5}
qstr_Familiar_to_{s5}|Добре знайомий фракції {s5}
qstr_Known_to_{s5}|Знайомий фракції {s5}
qstr_Stranger_to_{s5}|Незнайомий фракції {s5}
qstr_Great_Enforcer_of_{s|Велика опора фракції {s5}
qstr_Enforcer_of_{s5}|Опора фракції {s5}
qstr_Important_Ally_of_{s|Важливий союзник фракції {s5}
qstr_Ally_of_{s5}|Союзник фракції {s5}
qstr_Accomplice_of_{s5}|Спільник фракції {s5}
qstr_Useful_Tool_of_{s5}|Корисний інструмент для фракції {s5}
qstr_Servant_of_{s5}|Слуга фракції {s5}
qstr_Unknown_to_{s5}|Незнайомий фракції {s5}
qstr_You_have_been_{reg1?|Ви {reg1? Підвищені: знижені} до рангу {s24} ({reg0})!
qstr_You_{reg1?earned:los|Ви {reg1?отримали:втратили} {reg11} очок рангу {reg12?і {reg12} очок впливу:} фракції {s11}.
qstr_You_{reg1?earned:lost|Ви {reg1?Отримали: втратили} {reg11} очок рангу {reg12?І {reg12} очок впливу:} фракції {s11}.
qstr_You_spent_{reg10}_of|Ви витратили {reg10} очок впливу фракції {s1}, у вас залишилося {reg11}.
qstr_Troop_upkeep:|Зміст війська:
qstr_{s11}_and_{s10}|{s11} та {s10}
qstr_their|їх
qstr_its|це
qstr_[no_upkeep_costs]|[Немає плати за утримання]
qstr_Short_of_Resource_Po|Бракує Очок Постачання!
qstr_{s10}_will_soon_reas|Держава {s10} незабаром відкличе своїх воїнів {s12} з вашого загону!
qstr_Superior_orders_from|З держави {s11} прийшов наказ перерозподілити війська:
qstr_{reg12}_{s10}_left_t|{reg12} {s10} - ці воїни покинули ваш загін!
qstr_Fangorn_claimed_{reg|Фангорн зажадав від вас жертву: серед ваших бійців {reg0} убитих та {reg1} поранених!
qstr_You_were_wounded_in_|Ви були поранені в Фангорні!
qstr_{s1}_of_{s3}_was_def|{s1} з держави {s3} зазнає поразки в битві.
qstr_{s2}_have_razed_{s1}|Держава {s2} розорила {s1}!
qstr_Left_for_dead_but_mi|Ви були приречені на смерть, але дивним чином врятувалися: {reg1? {reg1} раз {reg2?:}: НІКОЛИ}
