skinkey_chin_size|Розмір підборіддя
skinkey_chin_shape|Форма підборіддя
skinkey_chin_forward|Опуклість підборіддя
skinkey_jaw_width|Ширина щелепи
skinkey_jaw_definition|Чіткість підборіддя
skinkey_lower_lip|Опустити губу
skinkey_upper_lip|Підняти губу
skinkey_mouth_nose_distance|Відстань від рота до носа
skinkey_mouth_width|Ширина рота
skinkey_nostril_size|Розмір ніздрів
skinkey_nose_height|Висота носа
skinkey_nose_width|Ширина носа
skinkey_nose_size|Розмір носа
skinkey_nose_shape|Форма носа
skinkey_nose_bridge|Переносиця

skinkey_eye_width|Ширина очей
skinkey_eye_to_eye_dist|Відстань між очима
skinkey_eye_shape|Форма очей
skinkey_eye_depth|Глибина очей
skinkey_eyelids|Повіки
skinkey_cheeks|Щоки
skinkey_cheek_bones|Вилиці
skinkey_eyebrow_height|Висота брів

skinkey_eyebrow_shape|Форма брів
skinkey_temple_width|Форма голови
skinkey_face_depth|Рельєф лиця
skinkey_face_ratio|Пропорції лиця
skinkey_face_width|Ширина лиця
skinkey_post_edit|Редагування
skinkey_jaw_position|Опуклість щелепи
skinkey_eyebrow_position|Положення брів
skinkey_eyebrow_depth|Глибина брів
skinkey_snout_height|Висота морди
skinkey_snout_width|Ширина морди
skinkey_snout_size|Розмір морди
skinkey_snout_shape|Форма морди
skinkey_weight|Масивність
skinkey_mouth_shape|Форма рота
skinkey_eye_size|Розмір очей
skinkey_eye_slant|Розріз очей
skinkey_frawn|Похмурість
skinkey_mouth_vert_pos|Розташування рота
skinkey_mouth_to_nose_dist|Відстань від рота до носа
skinkey_chin_width|Ширина підборіддя
