
str_yes|예
str_no|아니오
str_noone|아무도 아니다
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} 과 {s51}
str_s5_s_party|{s5}의 부대
str_s5_s_host|{s5}의 초대
str_given_by_s1_at_s2|{s2}에서 {s1} 에 의해 주어진 
str_given_by_s1_in_wilderness|필드에서 {s1}이 줌
str_s7_raiders|{s7} 약탈자
str_bandits_eliminated_by_another|다른 부대에 의해 도적떼가 전멸했습니다.
str_msg_battle_won|승리했습니다! Tab 키를 눌러 나가세요...
str_tutorial_map1|현재 전체맵을 보고있습니다. 클릭을 하면 해당 지역으로 이동하거나, 마을에 들어갑니다. 또는 선택된 대상을 따라갑니다. 당신의 부대가 움직이지 않거나, 휴식 또는 대기상태가 아니면 시간은 멈춥니다. 쉬고 싶으면 아무장소에서 스페이스 바를 누르세요.
str_accept|수락
str_charge|돌격
str_color|색
str_flip_horizontal|수평전환
str_flip_vertical|수직전환
str_hold_fire|사격중지
str_blunt_hold_fire|둔화/ 사격중지
str_tutorial_ammo_refilled|탄약 충전
str_tutorial_failed|당신은 패배했습니다. 하지만 걱정하지 마십시오. 조심스럽게 지시에 따르면 다음 번엔 더 나아 질 것입니다. Tab키를 눌러 메뉴로 돌아가 튜토리얼을 다시 진행할 수 있습니다.
str_tutorial_1_msg_1|이 튜토리얼에서는 기본 이동과 전투를 학습합니다. Mount&Blade에서는 마우스로 시점을 조종하고 WASD키로 이동합니다. 당신의 첫 임무는 방 안의 깃발을 찾아 그 위치로 이동하는 것입니다. 언제든지 Tab키를 눌러 이 튜토리얼을 종료하거나 다른 장소로 나갈 수 있습니다. 깃발을 향해 이동하세요.
str_tutorial_1_msg_2|잘 하셨습니다. 다음으로, 무기를 다루는 법을 배워봅시다. 튜토리얼의 일환으로 당신에게 활, 화살, 검, 그리고 방패가 주어집니다. 마우스의 휠을 스크롤하여 장착할 무기를 바꿀 수 있습니다. 기본 키 설정을 기준으로 위로 스크롤하면 다음 무기를 꺼내고, 아래로 스크롤하면 방패를 꺼냅니다. 이미 방패를 들고 있는 상태라면 아래로 스크롤하여 방패를 집어넣을 수 있습니다. 위아래로 스크롤하여 무기를 바꾸는 것을 연습해보세요. 준비가 되면, 깃발로 움직여서 다음 단계의 튜토리얼을 준비하십시오. 
str_tutorial_1_msg_3|훌륭합니다. 이번 단계에서는 근접 무기로 진행되는 공격을 배웁니다. 왼쪽 마우스 버튼을 클릭하여 현재 장착된 무기로 공격할 수 있습니다. 버튼을 길게 눌러서 공격 준비 자세를 취하고, 버튼을 놓아서 공격합니다. 마우스 버튼을 더 길게 누르고 있을수록 공격은 더욱 강해집니다. 검을 선택하고 방 안에 있는 훈련용 인형들을 공격해보세요. 
str_tutorial_1_msg_4|잘 하셨습니다! 모든 훈련용 인형들이 파괴되었습니다. 이제 다음 방으로 이동해봅시다. 
str_tutorial_1_msg_5|보시다시피 반대쪽 벽에 과녁이 있습니다. 당신은 이제 저 과녁에 세 개의 화살을 명중시켜야 합니다. 왼쪽 마우스 버튼을 눌러 화살을 쏠 수 있습니다. 화면 가운데에 뜨는 마크를 통해 당신의 화살이 얼마나 정확할지를 알 수 있습니다. 가장 정확한 타격을 위해, 화면 가운데의 마크가 가장 좁혀졌을 때 화살을 날리세요. 과녁을 쏘아봅시다. 
