ip_formations_and_morale|대형과 사기
ip_formations_and_morale_text|당신의 병력은 전투 시작시 닥치는대로 돌격하지 않고, 그들의 자리를 지킬것입니다. 18개의 주요 세력과 탈영병만이 대형을 사용하며 도적들은 단순하게 돌격해 올 것입니다. 선 세력과 악 세력의 전술은 서로 약간의 차이가 있습니다.  이를테면 선 세력 보병들은 주로 방패벽을 이룹니다. ( 방어적인 경우에. 장창병이 있다면 물론 팔랑크스 진형도 가능합니다.) 반면에 악 세력 보병들은 강한 보병부터 차례로 서는 대열을 이룰겁니다.  대형은 야전에서만 가능합니다.(즉, 커스텀 배틀과 공/수성전에선 불가능합니다.)^^게임 도중 대형 명령을 내리거나 정지 명령을 내릴 때 마다 명령을 내린 대형에 가깝게 이동할겁니다. 보병은 왼쪽으로, 기병은 오른쪽으로, 궁병은 앞쪽으로. 그리고, 대형은 대형은 플레이어가 보고 있는 방향과 같은 방향을 향하게 됩니다. 병사들이 처음으로 각 대형들을 형성할때, 이를 위해서 병사들이 잠시 흩어질 수도 있습니다. 플레이어의 부대는 모든 전투에서 대형을 이룬 상태로 시작합니다. 모드 디자인을 통해 바꾸지 않는 이상,  J 로 대열을 이루고, K로 무기에 따른 대열(방패벽,팔랑크스)를 이루고 L로 쐐기 대형을 이룹니다. (L은 원래 다른 버튼이라 플레이어가 바꿔줘야 합니다.) ;버튼은 사각대형, U버튼은 대형을 없애기(대형취소) 입니다. "대열" 명령을 궁병에게 내리면 스태거 라인을 이루며 서게 됩니다. 기병은 쐐기 대형외의 대형을 만들지 않습니다. 기병에게 돌격을 시키거나 말에서 내리라는 명령을 내리면 대형이 취소됩니다. 상대방의 평균적인 위치에 더 가까이 대형을 위치시키기 위해서 여러번 전진 명령을 내리는것도 가능합니다. F1을 누르고 있는 것으로도 배치시킬 수 있습니다.(아니면 기병 쐐기대형을 위해 적들을 휩쓸거나). 당신의 병력을 질서있게 유지시키는 것은 지도자로서 당신의 의무입니다. 당신의 편에 더 많은 사상자가 날 수록 사기는 더욱 떨어지게 됩니다. 팝업되는 메시지들을 유심히 보십시오!  당신은 두가지 방법으로 군대의 사기를 관리할 수 있습니다..^^ 1.적들을 죽인다. 잘만 한다면, 당신의 병사들에게 깊은 인상을 줘서 더 열심히 싸우고 도망치지 않게 할 수도 있습니다.^^2. 부대를 불러모은다. 병사들이 도망친다면 V 버튼을 누르십시오.당신의 캐릭터가 뿔피리를 불어서 병력들을 불러모을 것입니다. 전투당 제한된 횟수만 사용할 수 있습니다.(이 횟수는 당신의 카리스마 능력치와 리더쉽 능력치에 따라 다릅니다.)^^ 상대방의 지도자를 쓰러뜨리는 것도 도움이 됩니다. 도망치는 병력을 불러모으지 못할테니까요. 이렇게 된다면, 도망친 병력들은 사라집니다.
ip_economy|경제
ip_economy_text|TLD 에서는 화폐가 존재하지 않습니다. 대신에 당신은 다양한 세력들과 자원, 영향력, 그리고 계급으로 표시되는 관계들을 맺게 됩니다.^^자원은 전쟁 중에 세력을 유지시키는데 필요합니다 - 자원은 전장에서 모은 잡동사니들을 환원시켜서 얻을 수도 있고, 세력 내 당신의 계급에 따라 일정량의 자원이 매주 지급됩니다. 자원이 충분하다면 이를 활용해 지휘할 병사, 무기, 군마등을 얻거나 동료들이 당신을 따르게 할 수 있습니다. 당신은 다른 세력 마다 자원/영향력/계급 등을 따로 받게 되니 이를 잘 기억하세요!^영향력 포인트는 퀘스트를 성공적으로 마치거나 어려운 전투를 승리로 이끌면 얻을 수 있습니다. 이 영향력은 나중에 영향력을 끼치고 있는 세력의 지도자들이 제공하는 특별한 아이템들에 쓰일 수 있습니다.^^계급 포인트는 당신의 세력내에서의 계급을 올려줍니다 -계급은 당신 부대의 최대숫자, 매주 자원소득, 그리고 여러가지 다른 기능들을 풀어주는데 필요합니다.^ 고증에 맞춰서 "세력에 맞지 않는 옷 입기", 즉 곤도르인이 빼앗은 오르크 갑옷을 입는 다던지 하는 기능은 기본적으로 꺼져 있습니다. 대부분의 전투 후에, 직접 쓸 수 있는 전리품은 많지 않을 것이지만 대신에 "쇠 잡동사니"들이 드랍되는데, 이를 모아 재료를 필요로 하는 대장장이들에게 가져가면 이를 자원 포인트로 환원할 수 있습니다.
ip_war_of_the_ring|반지 전쟁
ip_war_of_the_ring_text|게임의 시작에 앞서 선한쪽과 악한쪽 간의 전쟁은 아직 시작되지 않았습니다. 이 전쟁이 시작된다면 당신은 소식을 들을것 입니다. (이 전쟁이 시작되는건 게임은 한 시간과 상관 없습니다. 단지 당신의 캐릭터가 전쟁에 얼마나 준비가 되있는지만 상관 있지요.) \n처음에는 중간계가 꾀 황량하고 조용한 것처럼 보이겠지만, 전쟁이 시작되면 곧 바로 적들의 군대로 가득차게 될것입니다.\n준비를 단단히 하면서 남은 몇일간의 평화를 현명히 쓰십시오!\n당신은 동맹을 맺은 세력의 군주와 리더들에게 퀘스트를 받아 수행 할수 있습니다, 병력을 키우고 막사에서 자신을 훈련하십시오.\n전쟁 자체는 이길수도 혹은 질수도 있습니다, 오리지널 M&B와는 다르게 말이죠. \n모든 세력은 전투의 승패에 따라 매겨지는 레이팅 점수가 있습니다. \n이 레이팅 점수가 낮아지면, 그 세력의 적들은 그 세력의 도시,캠프를 공격할수 있습니다. 이 레이팅 점수가 가장 낮아진 세력은 
ip_starting_tips|시작 팁들
ip_starting_tips_text|당신이 시작할 세력을 선택하십시오. 단, 이후에 변경할 수 없습니다. 다양한 종족들을 고를 수 있습니다: 인간, 엘프, 드워프, 우르크, 우르크하이 혹은 오르크. 당신이 선택한 세력과 종족은 당신을 특정한 방식들로 제약할 것임을 명심하십시오. 어떤 세력들은 강력한 병사들은 제공하나, 수가 적습니다. 어떤 곳들은 약한 군대를 보유했으나, 많이 고용할 수 있습니다. 덩치가 작은 오르크들은 덩치가 큰 종족들을 위해 제작된 갑옷들을 입을 수 없으나, 대신에 짐승들을 탈 수 있습니다. 드워프들은 특출난 도구들을 지녔으나, 탈 것들을 탑승할 수 없습니다.^^이 게임은 완전히 (인위적인 방식으로) 밸런스가 잡히도록 고안되지 않았습니다. 더 약한 종족이나 세력들로 플레이하는 것은 더욱 도전적일 것입니다. (처음으로 해보신다면, 시작메뉴의 옵션들을 선호하실 수도 있습니다. 옵션들은 대안목록의 위쪽에 위치해있습니다.).^^세력을 선택하고, 대전쟁에서 승리하거나 쓸려나갈 때까지 싸워나가십시오. 세력이 패배한 경우엔 동맹들을 위해 계속해서 싸워나갈 수 있습니다.^^- 목표 없이 떠돌아 다니는 것은 좋은 생각이 아닐겁니다, 전쟁은 당신 스스로의 목적과 의도를 요구하기 때문이죠. 전쟁이 시작하기 전에, 당신은 동료들과 전사들로 이루어진 일행을 꾸리고, 도구들을 준비하고자 노력하고 있었습니다. 전쟁이 시작한 후, 당신의 전략을 다양할 것입니다. 기억하십시오, 당신의 동맹을 돕고, 적을 쓰러트리는 것 '둘 다' 중요합니다.^- 세력의 지도자를 위해 임무를 수행하는 것은 자원 및 영향력 포인트를 얻고 지위를 높일 좋은 방법입니다.^- 동시에 다양한 임무/모험들을 맡고, 모두에게 일이 없는지 몰어보십시오! 당신은 다양한 다른 일들을 수행하면서도 종종 "이곳저곳을 방문"할 수 있습니다. 예를 들면 편지를 배달하면서요. 시간을 낭비하지 마세요!
ip_rumours_and_legendary_places|루머와 전설적 장소들
ip_rumours_and_legendary_places_text|정착지의 사람들에게 말을 걸면 그들의 세력의 관점에서 보여주는 여러가지 설명들을 읽을 수 있습니다. 이 설명들 중에는 흥미로운 고증에 관한 것이나 세계 지도에 있는 특별하고 전설적인 장소들을 열 수 있는 단서가 되기도 합니다.^^이들 중에는 탐험 외에는 아무런 의미가 없는 정보도 있고, 독특한 퀘스트나 이스터에그를 포함하기도 합니다. 이런 단서들을 찾는다면 메시지를 통해 통지가 뜰 것입니다.
ip_trolls|트롤들
