skinkey_chin_size|턱 크기
skinkey_chin_shape|턱 외형
skinkey_chin_forward|턱 돌출
skinkey_jaw_width|아래턱 넓이
; skinkey_jaw_definition|Jaw Definition
skinkey_lower_lip|아랫 입술
skinkey_upper_lip|윗 입술
skinkey_mouth_nose_distance|입과 코의 거리
skinkey_mouth_width|입 넓이
skinkey_nostril_size|콧구멍 크기
skinkey_nose_height|코 높이
skinkey_nose_width|코 넓이
skinkey_nose_size|코 크기
skinkey_nose_shape|코 형태
skinkey_nose_bridge|콧날

skinkey_eye_width|눈 넓이
skinkey_eye_to_eye_dist|눈 사이 거리
skinkey_eye_shape|눈 모양
skinkey_eye_depth|눈 깊이
skinkey_eyelids|눈꺼풀
skinkey_cheeks|광대
skinkey_cheek_bones|광대뼈
skinkey_eyebrow_height|눈썹 높이

skinkey_eyebrow_shape|눈썹 모양
skinkey_temple_width|관자놀이 넓이
skinkey_face_depth|얼굴 깊이
skinkey_face_ratio|얼굴 비율
skinkey_face_width|얼굴 넓이
skinkey_post_edit|처리 완료
skinkey_jaw_position|아래턱 위치
skinkey_eyebrow_position|눈썹 위치
skinkey_eyebrow_depth|눈썹 깊이
skinkey_snout_height|주둥이 높이
skinkey_snout_width|주둥이 넓이
skinkey_snout_size|주둥이 크기
skinkey_snout_shape|주둥이 모양
skinkey_weight|몸무게
skinkey_mouth_shape|입 모양
skinkey_eye_size|눈 크기
skinkey_eye_slant|눈 기울기
skinkey_frawn|찡그림
skinkey_mouth_vert_pos|입 수직 위치
skinkey_mouth_to_nose_dist|입과 코의 거리
skinkey_chin_width|턱 넓이
