ip_formations_and_morale|Formácie a morálka
ip_formations_and_morale_text|Tvoje jednotky zaujmú pozície a budú ich držať na začiatku každého boja, namiesto slepého útoku. Len hlavné frakcie (všetkých 18) používajú formácie (+dezertéri), banditi neorganizovane zaútočia. Je malý rozdiel medzi dobrými a zlými frakciami, pechota dobrej frakcie vytvorí dobrú štítovú stenu (zvyčajne obrannú - jednotky so štítmi prvé, ale môžu tým vytvoriť falangu pokiaľ máš pikanierov), zatiaľ čo pechota zlej frakcie vytvorí línie (najlepšie jednotky v čele). Formácie fungujú len pri boji v teréne (to znamená že nefungujú pri obliehaní).^^Kedykoľvek v hre vytvoríš formáciu alebo zvolíš "Stáť", nastaví sa pozícia jednotiek neďaleko miesta hráča keď zadával rozkaz: Pechota naľavo, kavaléria napravo, lukostrelci vpredu. Okrem toho sa môžu formácie uchovať rovnaké, ktoré hráč mal pred tým (záleží na dizajne módu). Kedykoľvek jednotka vytvorí konkrétnu formáciu, bojovníci jednotky sa môžu rozprestrieť pre uľahčenie formovania (záleží na dizajne módu). Jednotky patriace hráčovi sú na začiatku každého boja vo formácií. Pokiaľ nie je dizajn módu pozmenený, klávesové skratky pre formácie sú: "J" pre línie, "K" pre línie vytvorené podľa zbraní bojovníkov (štítová stena, falanga), "L" pre klin (hráč by mal priradiť "L" pre "Plánované" mapovanie), ";" pre štvorec, "U" pre žiadnu formáciu (zrušenie formácie). Príkaz pre "línie" pre lukostrelcov ich stvaruje do nerovnej línie. Kavaléria nie je schopná vytvoriť inú formáciu než klin.^^ Útok (a Zosadnúť pre kavalériu) zruší formáciu. Hráč môže postupovať vpred tak, aby sa jeho formácie pohybovali spolu s ním primeraným smerom k nepriateľovi. Alebo môže použiť panel rozkazov a stisnúť F1 aby zastali (alebo ich prehnať nepriateľmi klinom kavalérie). Ako veliteľ máš zodpovednosť udržať svoje jednotky organizované počas boja. Čím viac máš strát, tým viac morálka tvojich bojovníkov klesá. Sleduj správy ktoré vyskakujú naľavo ! Môžeš svojím jednotkám pomôcť dvoma spôsobmi:^^1. Zabíjaním nepriateľov. Pokiaľ si povedieš dosť dobre, zapôsobíš na svojich bojovníkov a oni budú bojovať lepšie a nezutekajú.^^2. Povzbudením ich. Pokiaľ začnú tvoje jednotky utekať z boja, stlač "V". Tvoja postava zatrúbi na poľnicu a povzbudí vojakov. Máš len limitovaný počet povzbudení počas jedného boja (počet je udaný Charizmou a Vodcovstvom)^^ Je celkom výhoda keď sa ti podarí poraziť nepriateľského generála/veliteľa , pretože tým pripravíš nepriateľov o ich vodcu, oni tak nebudú môcť byť povzbudený. Takže keď sa ich rozhodneš doraziť, akoby už ani neboli. 
ip_economy|Ekonomika
ip_economy_text|V TLD nie je univerzálna peňažná mena. Namiesto toho hráč rozvíja s frakciami vzťahy - reprezentované Bodmi zásob, Vplyvom a Hodnosťou.^^Body zásob sú potrebné pre frakcie aby vydržali vojnu - môžeš na ne premeniť získanú korisť a predmety, a tiež ti bude každý týždeň daná určená dávka Bodov zásob podľa Hodnosti v frakcii. Môžeš tento prídavok využiť na získanie vojakov, výbavy, koňov a spoločníkov, ktorý ťa budú nasledovať, ale len keď si toho shromáždil a máš už dosť. Pre každú frakciu máš špeciálne body Bodov zásob/Vplyvu/Hodnosti, to si pamätaj pretože to je dôležité!^Body Vplyvu získavaš splnením úloh a zvíťazením vo veľkých bitkách. Neskôr za ne môžeš získať špeciálne predmety ako odmenu od vodcov frakcií v ktorých máš vplyv.^^Body Hodnosti ti umožňujú vstúpiť medzi elitu tvojej frakcie - to ovlivňuje maximálnu veľkosť tvojej družiny, týždenný prídavok Bodov zásob a odomknutie ešte iných vecí.^Keďže sa držíme -knižného- sveta Stredozeme, vypli sme základnú možnosť takzvaného "cross-dressing": Gondorský vojak by si zrejme nikdy neobliekol ukoristené brnenie ohyzda, a podobne. Tzn. že po väčšine bojov nájdeš pár alebo žiadne predmety v koristi, ktoré by si mohol priamo použiť. Miesto toho väčšinou získaš tzv. "kovové kusy", ktoré sú zdeformovanou a nepoužiteľnou výbavou tvojich nepriateľov. Môžeš ich teda predávať u obchodníkov, ktorý ti za ne poskytnú Body zásob. 
ip_war_of_the_ring|Vojna o Prsteň
ip_war_of_the_ring_text|Na začiatku hry Vojna medzi dobrom a zlom ešte nezačala. Budeš upozornený na to, keď vypukne. (Vojna začína po tom, čo tvoja postava bude dostatočne pripravená na vojnu, nie po určitom čase hrania.) Zatiaľ čo Stredozem môže na začiatku vyzerať ako mierumilovné, prázdné a tiché miesto, veľmi rýchlo sa vyplní nepriateľskými družinami po vypuknutí Vojny. Buď pripravený a využi svojich pár dní mieru rozumne! Môžeš plniť úlohy lordov a vodcov všetkých spojeneckých frakcií, zlepšiť jednotky a trénovať sa v kasárňach.^^Samá vojna môže dopadnúť buď úplným víťazstvom alebo prehrou, v originálnom M&B hráč úplne prehrať vojnu nemohol. Každá frakcia má svoju hodnotu sily - ktorá sa mení podľa toho či frakcia vyhráva alebo prehráva v bitkách. Keď sila klesne dosť nízko, pre nepriateľov frakcie sa stane možným obliehať jej mestá a tábory. Pokiaľ sila frakcie klesne na najnižšiu možnú hodnotu, je možné ju úplne zničiť dobytím jej hlavného mesta.^^Zapamätaj si že hráč sám nemôže začať obliehanie v TLD. Môže len pomôcť jeho frakcii a spojencom v bitkách počas obliehania, pokiaľ sa vodca rozhodne dobyť nepriateľskú pevnosť.^^(Je to rozhodnutie kvôli dizajnu, nie bug. Je to tiež niečo čo chceme zlepšiť v budúcich vydaniach, aby možnosť obliehania bola možná, ale jej zorganizovanie bolo veľmi náročné - už sa stalo :)^^V TLD je niekoľko "vojnových polí" -na mape- definovaných územím. Keď jedna strana eliminuje všetkých nepriateľov v jej oblasti, poskytne pomoc svojím spojencom na inom území - pomoc v podobe táboru, ktorý si postaví na vojnovom poli a odtiaľ organizuje útoky. Pokiaľ budú všetky dobré frakcie úplne zničené, ale Mordor a Isengard budú stále dosť silný, Dve veže začnú medzi sebou bojovať o úplnú nadvládu.
ip_starting_tips|Začiatočnícke rady
ip_starting_tips_text|Na začiatku si zvolíš frakciu a tú si už neskôr nebudeš môcť zmeniť. Môžeš si tiež vybrať z rôznych ras: človek, elf, trpaslík, uruk, uruk-hai alebo ohyzdi. Pamätaj si, že frakcia aj rasa ktorú si zvolíš ťa budú v istých smeroch limitovať. Niektoré frakcie poskytujú výborných bojovníkov ale len v malých počtoch. Iné majú zase slabé jednotky, ale môžeš si ich naverbovať veľa. Malý ohyzdi si nemôžu obliekať brnenie určené pre väčšie rasy, ale miesto toho vedia jazdiť na vrrkoch. Trpaslíci majú výbornú výbavu, ale nemôžu jazdiť na ničom -okrem poníkov-.^^Schválne to nie je naprogramované tak, aby to bolo úplne (umelo) vyrovnané - férové. Hranie za slabšie rasy v slabších frakciách môže byť výzva (v svojej prvej hre by si si možno chcel zmeniť nastavenia - v menu, najvyššia ponuka).^^Keď si vyberieš frakciu tak za ňu bojuješ dokiaľ nevyhrá Veľkú vojnu, alebo pokiaľ nie je úplne vyhladená. V tom druhom prípade môžeš ešte stále bojovať za svojich spojencov.^^- túlanie sa bezcieľne tu a tam nie je najlepší nápad, Vojna potrebuje zmysel a vyžaduje si tvoju účasť. Pred tým, než Vojna začne, tvojou úlohou je vystrojiť sa, zostaviť si družinu dobrých bojovníkov, nájsť si spoločníkov na ktorých nepotrebuješ mať veľa bodov Vplyvu. Po tom čo vojna začne sa tvoje strategie môžu líšiť. Ale maj na pamäti - je dôležité pomáhať tvojím spojencom a ničiť nepriateľov.^- počas toho zbieraj rôzne misie/úlohy, pýtaj sa na ne každého! Často môžeš robiť "kolečka" kedy splníš niekoľko iných úloh po ceste zatiaľ čo doručuješ niekomu dopis. Nemrhaj svojím časom !
ip_rumours_and_legendary_places|Povesti a Legendárne Miesta
ip_rumours_and_legendary_places_text|Hovorením -nie len s- ľuďmi v usadlostiach si môžeš prečítať komentár obyvateľstva z pohľadu danej frakcie. Tie obsahujú zaujímavé informácie a niektoré z nich ti odomknú Legendárne miesta na mape sveta.^^Niektoré z nich sú len na prieskum a neslúžia k ničomu inému, iné zase obsahujú jedinečné úlohy a easter eggy. Keď ich odomkneš, budeš upozornený správou.
ip_trolls|Zlobri
ip_trolls_text|Zlobri sú veľmi silní. Hráči temných frakcií si ich nemôžu len tak naverbovať, ale sú tu aj iné cesty ako získať jedného či dvoch zlobrov. Neposlúchajú rozkazy, takže radšej drž svoje jednotky dosť ďaleko od ich devastujúcich útokov!^^Keď hľadáš zlobrov kvôli úlohe, môžeš ich nájsť potulovať sa okolo usadlostí ktoré napadali (aj keď ich niekedy priateľské družiny odoženú dosť ďaleko, či sa s nimi dokonca vysporiadajú samé), alebo sa motajú pri Hmlistých horách neďaleko ich domácich jaskýň.
ip_custom_camera|Vlastná kamera
; ip_custom_camera_text|The Last Days of the Third Age has implemented a Custom Camera in order to bypass the current camera limitation with regards to shorter races (i.e Orcs and Dwarves). It is easy to use, but can take some time to get used to.^^There are 2 modes: Fixed Position and Free-Mode.^^Fixed position is the optimal position for all races, however it cannot be configured.^^Free-Mode Camera puts the character in the middle of the screen. This camera can be adjusted to player preference. When aiming during archery or throwing, it snaps back to default camera for better aiming (which can be quite hard in the beginning, but one can get accustomed to). Once the projectile is used, it goes back to the custom camera.^^^Controls:^^Press the Ctrl+End keys together to switch between the three different camera modes: Default Camera / Fixed Camera / Free-Mode Camera.^^When in "Free-Mode Camera", Press and hold Ctrl and Arrow Up (or Arrow Down) to adjust camera height (Tilt).^^When in "Free-Mode Camera", Press and hold Ctrl and Numpad + (or Numpad -) to adjust camera distance (Zoom).^^Additionally, you can also press Shift while moving/zooming the camera to enable smoothing.^^When in "Fixed-Mode Camera", Press Ctrl and Arrows left/down/right to switch view between left shoulder / central / right shoulder.
ip_tactical_controls|Klávesy taktiky
ip_tactical_controls_text|Použi ČÍSLA na klávesnici  pre zvolenie oddielu bojovníkov. Stlač 0 pre výber všetkých tvojich síl.^^ Použi F1-F4 pre zadanie rozkazu zvoleným oddielom. Podrž klávesu F1 pre umiestnenie vybraných oddielov. Týmto spôsobom môžeš označiť aj nepriateľské oddiely.
ip_division_placement|Umiestnenie Oddielu
