imod_plain|Obyčajný %s
imod_cracked|Popraskaný %s
imod_rusty|Hrdzavý %s
imod_bent|Ohnutý %s
imod_chipped|Štiepaný %s
imod_battered|Otlčený %s
imod_poor|Slabý %s
imod_crude|Hrubý %s
imod_old|Starý %s
imod_cheap|Lacný  %s
imod_fine|Dobrý %s
imod_well_made|Kvalitný %s
imod_sharp|Ostrý %s
imod_balanced|Vyvážený %s
imod_tempered|Zakalený %s
imod_deadly|Smrtiaci %s
imod_exquisite|Vynikajúci %s
imod_masterwork|Majstrovský %s
imod_heavy|Ťažký %s
imod_strong|Silný %s
imod_powerful|Mocný %s
imod_tattered|Potrhaný %s
imod_ragged|Rozodraný %s
imod_rough|Primitívny %s
imod_sturdy|Pevný %s
imod_thick|Hrubý %s
imod_hardened|Tvrdený %s
imod_reinforced|Vystužený %s
imod_superb|Výborný %s
imod_lordly|Šľachtický %s
imod_lame|Chromý %s
imod_swaybacked|Hrbatý %s
imod_stubborn|Tvrdohlavý %s
imod_timid|Plachý %s
imod_meek|Poddajný %s
imod_spirited|Odvážny %s
imod_champion|Šampiónsky %s
imod_fresh|Čerstvý %s
imod_day_old|Jednodenný %s
imod_two_day_old|Dvojdňový %s
imod_smelling|Zapáchajúci %s
imod_rotten|Zhnitý %s
imod_large_bag|Veľký vak %s
