menu_start_game_1|^^^^^^^^^^Za čo budeš bojovať?
mno_start_good|ÚSVIT Nového Veku
mno_start_evil|SÚMRAK Ľudskej Rasy
mno_faction_intros|Poučte sa o rôznych frakciách Stredozeme
mno_go_bback|Späť
menu_start_phase_2|^^^^^              Stredozem. Temnota na Východe narastá, ^             prichádzajú odtiaľ dlho schované temné bytosti. ^             Slobodné národy sa pripravujú na vojnu. Vojnu, ktorú nezažili už celý vek. ^                   Ľudia, Elfovia, Trpaslíci a Ohyzdi; všetci zohrajú svoju úlohu. ^^             Akú, to sa ešte ukáže...
mno_go_forth|Vydaj sa na svoju zvolenú cestu...
mno_change_tld_options|Zmeniť nastavenia TLD.
menu_start_game_3|^^^^^^^^Zvoľ si scénar
mno_custom_battle_scenario_1|Bitka, Gondorské frakcie proti Haradu
mno_custom_battle_scenario_12|Vyber si frakcie pre bitku
mno_custom_battle_scenario_3|Bitka, Elfovia proti Čiernym Númenorejcom
mno_custom_battle_scenario_4|Obrana Helmovho žľabu, Rohan proti Isengardu
mno_custom_battle_scenario_5|Bitka, Severské frakcie proti Rhûnu
mno_custom_battle_scenario_6|Dobývanie, Ohyzdi proti Trpaslíkom
mno_custom_battle_scenario_7|Prepadnutie, Ohyzdi proti Lesným elfom
mno_custom_battle_scenario_8|Posledný vzdor Durinovho ľudu
mno_custom_battle_scenario_88|Lapanie Ohyzdej skupiny prieskumníkov
mno_custom_battle_scenario_11|Testovacie bitky (pre vyvážené nastavenie štátu!)
mno_custom_battle_scenario_10|Testovacia bitka scény
mno_troll_battle_scenario|Bitka pre testovanie zlobrov
mno_warg_battle_scenario|Bitka pre testovanie vrokov
mno_build_your_own_scene|** Vybuduj svoju vlastnú scénu pre TLD **
mno_go_back|Späť
menu_tutorial|^^ Vitaj v Návode Boja pre Mount & Blade. Naučíš sa tu základy boja a dostaneš tiež stručný prehľad o rozkazoch, ktoré môžeš dávať svojím jednotkám na bojovom poli.
mno_tutorial_1|Cvičenie #1: Základný pohyb a výber zbrane. {s1}
mno_tutorial_2|Cvičenie #2: Boj so štítom. {s2}
mno_tutorial_3|Cvičenie #3: Boj bez štítu. {s3}
mno_tutorial_3b_door|Ďalšia úroveň
mno_tutorial_4|Cvičenie #4: Jazdenie na koni alebo na vrokovi. {s4}
mno_tutorial_5|Cvičenie #5: Rozkazovanie skupine vojakov. {s5}
mno_go_back_dot|Späť
mno_action_view_troop_trees|Prezrieť si strom jednotiek
mno_view_upkeep_costs|Zobraziť žold družiny.
mno_view_character_report|Zobraziť prehľad postavy.
mno_view_party_size_report|Zobraziť prehľad veľkosti družiny.
mno_view_morale_report|Zobraziť prehľad morálky družiny.
mno_view_character_report_02|Kontrola stavu NPC.
mno_view_faction_strengths_report|Zobraziť prehľad síly frakcií
mno_view_traits_report|Zobraziť vlastnosti
mno_resume_travelling|Pokračovať v ceste
mno_custom_battle_go|Začať.
