itm_horse_meat|Konské Mäso
itm_practice_sword|Tréningový Meč
itm_arena_lance|Jazdecká kopija
itm_practice_staff|Drevená Palica
itm_practice_bow|Tréningový Luk
itm_wooden_javelin|Drevený Oštep
itm_human_meat|Ľudské Mäso
itm_maggoty_bread|Červivý Chlieb
itm_cram|Porcia Dálskych Suchárov 
itm_lembas|Lembas
itm_smoked_fish|Údené Ryby
itm_dried_meat|Sušené Mäso
itm_cattle_meat|Hovädzie Mäso
itm_grain|Pšenica
itm_tools|Nástroje
itm_siege_supply|Zásoby
itm_quest_wine|Víno
itm_quest_ale|Pivo
itm_metal_scraps_bad|Nekvalitný kovový šrot
itm_metal_scraps_medium|Použiteľný kovový šrot
itm_metal_scraps_good|Kvalitný kovový šrot
itm_oliphant|Olifant
itm_sumpter_horse|Somár
itm_saddle_horse|Osedlaný Kôň
itm_steppe_horse|Stepný Kôň
itm_courser|Žrebec
itm_hunter|Lovecký Kôň
itm_pony|Poník
itm_dunedain_warhorse|Dunedainský vojnový kôň
itm_rohirrim_courser|Rohanský Žrebec
itm_rohirrim_hunter|Rohanský Lovecký Kôň
itm_rohirrim_courser2|Rohanský obrnený žrebec
itm_rohan_warhorse|Rohanský Vojnový Kôň
itm_thengel_warhorse|Eorlský vojnový kôň
itm_rhun_horse_a|Rhúnsky Kôň
itm_rhun_horse_b|Rhúnsky Kôň
itm_rhun_horse_d|Rhúnsky Kôň
itm_rhun_horse_e|Rhúnsky Ťažký Kôň
itm_rhun_horse_f|Rhúnsky Ťažký Kôň
itm_rhun_horse_g|Rhúnsky Ťažký Kôň
itm_rhun_horse_h|Rhúnsky Ťažký Kôň
itm_dale_horse|Rhovanionský kôň
itm_dale_warhorse|Rhovanionský vojnový kôň
itm_riv_warhorse|Vojnový kôň z Roklinky
itm_riv_warhorse2|Žrebec Z Imladrisu
itm_mordor_warhorse|Mordorský Vojnový Kôň
itm_mordor_warhorse2|Mordorský Zlovestný Vojnový Kôň
itm_gondor_courser|Gondorský Žrebec
itm_gondor_hunter|Gondorský Lovecký Kôň
itm_dol_amroth_warhorse|Dol Amrothský Vojnový Kôň
itm_dol_amroth_warhorse2|Dol Amrothský Ťažký Vojnový Kôň
itm_gondor_warhorse|Gondorský Vojnový Kôň
