qstr_Received_{reg0}_dama|Utrpel si {reg0} poškodenia.
qstr_Gate_is_breached!|Brána je prerazená!
qstr_Gate_opens..._You_ha|Otvára sa brána... Dostal si sa na najposvätnejšie miesto Stredozeme.
qstr_Secret_place_discove|Tajné miesto objavené!
qstr_Next_Page|Ďalšia Stránka
qstr_Action|Príkaz
qstr_Mount|Nasadnúť
qstr_Attack_Type|Typ útoku
qstr_Hold_This_Position|Držte postavenie
qstr_Follow_Me|Následujte ma
qstr_Charge|Útok!
qstr_Advance|Vpred!
qstr_Fall_Back|Ústup!
qstr_Stand_Closer|Zomknite sa!
qstr_Spread_Out|Rozptýľte sa!
qstr_Stand_Ground|Stáť!
qstr_Dismount|Zosadnúť
qstr_Use_Any_Weapon|Používajte ľubovoľnú zbraň
qstr_Use_Blunt_Weapons|Používajte tupé zbrane
qstr_Hold_Your_Fire|Nestrielať
qstr_Fire_At_Will|Voľná paľba
qstr_Us|My
qstr_Allies|Spojenci
qstr_Enemies|Nepriateľ
qstr_Ready|Pripravených
qstr_Wounded|Zranených
qstr_Dead|Mrtvých
qstr_Routed|Zbehov
qstr_Number_of_men_knocke|Zabitých jednotiek: {reg1}
qstr_Number_of_men_left:_|Zostávajúcich jednotiek: {reg1}
qstr_Opponents_Beaten:_{r|Pobitých nepriateľov: {reg1}
qstr_Opponents_Remaining:|Zostávajúcich nepriateľov: {reg1}
qstr_Gauntlet_wave:_1|Vyzývateľská skupina: 1 
qstr_Gauntlet_wave:_{reg1|Vyzývateľská skupina: {reg1}
qstr_Remain_in_retirement|Zostať na dôchodku.
qstr_Go_back_to_the_adven|Vrátiť sa k dobrodružstvu.
qstr_A_peaceful_village_n|Mierumilovná dedinka neďaleko Západného úvalu...
qstr_The_War_is_upon_Roha|V Rohane sa rozpútala vojna!
qstr_Minas_Tirith___The_W|Minas Tirith - Biele Mesto
qstr_The_White_Tree_stand|Biely Strom stojí mrtvý od pádu linie kráľov
; qstr_And_the_Shadow_grows|And the Shadow grows ever stronger in the East
qstr_Minas_Morgul___City_|Minas Morgul - Mesto Nazgûlov
qstr_Sauron_s_armies_marc|Sauronové vojská pochodujú do Vojny!
qstr_Adventurers_at_audie|Dobrodruhovia na audiencii so Správcom Denethorom...
qstr___What_business_do_y|'Aké záležitosti so mnou potrebujete prebrať, prosebníci?'
qstr___Your_Stewardship_w|'Vaša správcovská milosť, prichádzame z ďalekých krajov aby sme... si poskákali!'
qstr___Enough_of_this_mad|'Dosť šašovstiev! Stráže!!'
qstr___I_ve_had_enough_of|'Už mám dosť týchto fórov... Ďalšia takáto banda ma bude musieť prosiť o milosť!'
qstr_Chest|Truhlica
qstr_Cape|Kapucňa
qstr_Arms|Ruky
qstr_Thighs|Stehná
qstr_Legs|Nohy
qstr_Rotate|Otočiť
qstr_Close|Zavrieť
qstr_Faction_Side:^^Campa|Frakcia na strane:^^Obtiažnosť kampane*:^^Sídelná oblasť:^^Vrchný veliteľ:^^Nepriatelia:^^
qstr_Campaign_Difficulty_|Obťažnosť kampane je založená na štartovacej sile frakcií,^ na druhu jednotiek & vybavenia jednotiek.
qstr_Rallies:|Burcovanie vojakov:
qstr_View_Keybinds__Press|Zobraziť klávesové skratky (stlačte klávesu Insert)
qstr_What_do_you_fight_fo|Za čo bojujete?
qstr_Go_Back...|Vrátiť sa...
qstr_Learn_about_the_diff|Zoznám sa s rôznymi frakciami Stredozeme
qstr_The_DAWN_of_a_New_Er|ÚSVIT Nového Veku
qstr_The_TWILIGHT_of_Man|SÚMRAK Ľudskej Rasy
qstr_Select_your_Race?|Za akú rasu chceš hrať?
qstr_Man|Človek
qstr_Elf|Elf
qstr_Dwarf|Trpaslík
qstr_Whom_Do_You_Serve?|Komu slúžiš
qstr_SAURON_of_Mordor_The|SAURON z Mordoru, Pán prsteňov
qstr_SARUMAN_of_Isengard_|SARUMAN z Isengardu, Biela ruka
qstr_an_ORC^_serving_the_|Ohyzd, ktorý slúži Oku bez viečka
qstr_an_URUK^_the_new_bre|URUK,^ nové plemeno ohyzdov
qstr_a_MAN^_subjugated_by|ČLOVEK,^ podriadený Sauronovi
qstr_an_ORC^_serving_the_W|OHYZD,^ slúžiaci Bielej ruke
qstr_one_of_the_URUK_HAI^|jeden z URUK-HAI, vyšľachtený v Isengarde
qstr_a_MAN_of_Dunland^_th|ČLOVEK z Vrchoviny,^ Západné planiny
qstr_Click_the_center_but|Klikaj na prostredné tlačítko pre vybratie frakcie^Klikni na obrázok frakcie, pokiaľ o nej chceš vedieť viac.
qstr_Level:_{reg3}^Health|Úroveň: {reg3}^Život: {reg4}
qstr_Attributes|Vlastnosti
qstr_STR^AGI^INT^CHA|SIL^POH^INT^CHA
qstr_Skills|Schopnosti
