itm_horse_meat|Hästkött
itm_practice_sword|Svärd för träning
itm_arena_lance|Lans
itm_practice_staff|Trästav
itm_practice_bow|Båge för träning
itm_wooden_javelin|Träspjut
itm_human_meat|Människokött
itm_maggoty_bread|Bröd med maskar i
; itm_cram|Cram Ration
itm_lembas|Lembas
itm_smoked_fish|Rökt fisk
itm_dried_meat|Torkat kött
itm_cattle_meat|Biff
itm_grain|Vete
itm_tools|Verktyg
itm_siege_supply|Förnödenheter
itm_quest_wine|Vin
itm_quest_ale|Ale
; itm_metal_scraps_bad|Low grade metal scraps
itm_metal_scraps_medium|Användningsbara metall skräpbitar
; itm_metal_scraps_good|Good quality metal scraps
itm_oliphant|Olifant
; itm_sumpter_horse|Sumpter Horse
itm_saddle_horse|Sadelhäst
; itm_steppe_horse|Steppe Horse
itm_courser|Courserhäst
itm_hunter|Jägare
itm_pony|Ponny
itm_arnor_warhorse|Arnoriansk krigshäst
itm_dunedain_warhorse|Dunedansk krigshäst
itm_rohirrim_courser|Rohirrim Courserhäst 
itm_rohirrim_hunter|Rohirrimjägare
itm_rohirrim_courser2|Rohirrim Rustad Courserhäst 
itm_rohan_warhorse|Rohirrim Krigshäst
itm_thengel_warhorse|Eorl Krigshäst
itm_rhun_horse_a|Rhun Häst
itm_rhun_horse_b|Rhun Häst
itm_rhun_horse_d|Rhun Häst
; itm_rhun_horse_e|Rhun Heavy Horse
; itm_rhun_horse_f|Rhun Heavy Horse
; itm_rhun_horse_g|Rhun Heavy Horse
; itm_rhun_horse_h|Rhun Heavy Horse
itm_dale_horse|Rhovanion-häst
itm_dale_warhorse|Rhovanion-Krigshäst
itm_riv_warhorse|Rivendell-Krigshäst
; itm_riv_warhorse2|Imladris Steed
itm_mordor_warhorse|Krigshäst från Mordor
itm_mordor_warhorse2|Ond Mordor-Krigshäst
itm_gondor_courser|Gondor Courserhäst 
itm_gondor_hunter|Gondorjägare
itm_dol_amroth_warhorse|Dol Amroth Krigshäst
; itm_dol_amroth_warhorse2|Dol Amroth Heavy Warhorse
itm_gondor_warhorse|Gondoriansk krigshäst
itm_gondor_lam_horse|Lamedon rustad häst
itm_lorien_warhorse|Lothlorien Krigshäst
