hint_1|Den Vita Handen bör inte lita på Det Nakna Ögat för mycket, och inte heller tvärtom.
hint_2|Vem du kämpar mot, vem du hjälper, och var en kamp äger rum avgör vilka allierade kungariken uppmärksammar och kanske uppskattar dina ansträngningar.
hint_3|Scouter är en informationskälla för ett kungarike, också är fångar som släpas till sina fängelsehålor för tortyr och interogation. Släppa fångar och skicka iväg scouter kan förblinda fienden.
hint_4|Kom ihåg att du har ett annat värde av resurs poäng inom varje kungarike, dem ger dig rätt att få proviant, utrustning och trupper i det kungariket.
hint_5|Den militära kollaps av ett rike är oåterkalleligt. Mordor kan aldrig drabbas av ett sådant öde, men kriget kommer att vara över om dess militära makt övervinns och alla dess allierade är besegrade.
hint_6|Det tar ett bemästrat sinne (INT) för att undvika panik från en Nazgul. Det tar en perfekt kontroll över sin häst för att undvika att den får panik.
hint_7|Du kan vila på världskartan genom att hålla ned mellanslagstangenten. Dock kommer sårade partimedlemmar läka snabbare medan man vilar i städerna.
hint_8|Om du snabbt vill göra anspråk på och ge objekt bort i lagerfönstret, håll ner Ctrl-tangenten samtidigt som du vänster klickar. Detta fungerar även när man uppgraderar trupper samt när man tar eller ger bort trupper. 
hint_9|Du kan lämna en plats direkt genom att trycka på tabbtangenten och trycker du på backstegstangenten under ett slag för att ta kommando gränssnittet.
hint_10|Djur kan panik nära troll och olog-hais. Se upp!
hint_11|Din stridsstyrka är en avgörande resurs för ett rike: ta och hålla soldater under ditt kommando kommer att förbruka Resurs poäng av respektive fraktion.
hint_12|Du kan ge order till din styrka i strid. Du kan hålla ned shift-tangenten för att zooma in samtidigt som man siktar på avlägsna fiender. 
