p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Vest Osgiliath
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Hornburg
p_town_east_emnet|Øst Emnet
p_town_westfold|Vestfold
p_town_west_emnet|Vest Emnet
p_town_eastfold|Østfold
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
; p_town_cirith_ungol|Emyn Muil Watchtower
p_town_east_osgiliath|Øst Osgiliath
; p_town_orc_sentry_camp|Emyn Arnen Sentry
p_town_isengard|Jarnagard
p_town_urukhai_outpost|Uruk Hai utpost
p_town_urukhai_h_camp|Uruk Hai Jeger leir
p_town_urukhai_r_camp|Uruk Hai elv leir
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Thranduils haller
; p_town_woodelf_camp|Woodelf South Camp
p_town_woodelf_west_camp|Skogsalv vest-leir
p_town_woodsmen_village|Skogmenn landsby
p_town_beorning_village|Beorning landsby
p_town_beorn_house|Beorns hus
p_town_moria|Morias porter
p_town_troll_cave|Trollhule
p_town_dale|Dale
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Dunlending leir
p_town_harad_camp|Haradrim leir
p_town_khand_camp|Khand leir
p_town_umbar_camp|Pirat leir
p_town_imladris_camp|Kløvendal leir
p_town_dol_guldur|Dol Guldur
; p_town_dol_guldur_north_outpost|Dol Guldur Road Outpost
p_town_rhun_main_camp|Rhuns hovedleir
p_town_rhun_south_camp|Rhuns sørlige utpost
p_town_rhun_north_camp|Rhuns nordlige utpost
p_town_gundabad|Gundabad
; p_town_gundabad_ne_outpost|Ruined Dwarf Hold
; p_town_gundabad_nw_outpost|Goblin Hideout
; p_town_goblin_north_outpost|Goblin Town
p_town_goblin_south_outpost|Tussenes sørlige utpost
p_town_gundabad_m_outpost|Gundabads myrkskog utpost
p_town_erebor|Erebor
; p_town_ironhill_camp|Grey Mountains Gateway
p_advcamp_gondor|Gondors utrykknings leir 
p_advcamp_rohan|Rohans utrykknings leir
p_advcamp_isengard|Jarnagards utrykknings leir
p_advcamp_mordor|Mordors utrykknings leir
p_advcamp_harad|Harads utrykknings leir
p_advcamp_rhun|Rhuns utrykknings leir
p_advcamp_khand|Khands utrykknings leir
p_advcamp_umbar|Umbars utrykknings leir
p_advcamp_lorien|Loriens utrykknings leir
p_advcamp_imladris|Imladris utrykknings leir
p_advcamp_woodelf|Myrkskogs utrykknings leir
p_advcamp_moria|Morias utrykknings leir
p_advcamp_guldur|Dol Guldurs utrykknings leir
p_advcamp_gundabad|Gundabads utrykknings leir
p_advcamp_dale|Dales utrykknings leir
p_advcamp_dwarf|Erebors utrykknings leir
p_advcamp_dunland|Dunlands utrykknings leir
p_advcamp_beorn|Beorningenes utrykknings leir
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Jarnagards håndtegn
p_mount_doom|Dommedagsberget
p_town_barad_dur|Barad Dur
p_ford_cair_andros1|Anduin
p_ford_cair_andros2|Anduin
p_ford_caras_galadhon|Anduin
p_ford_brown_lands|Anduin
p_ford_rauros|Anduin
p_ford_pelargir|Anduin
p_ford_edhellond|Anduin
p_ford_cerin_dolen|Sølvmalmen
p_old_ford|Gamle Ford
p_ford_erech|Ringlo
p_ford_isen1|Jarna
p_ford_isen2|Jarna
p_ford_rohan|Entvask
p_ford_rohan2|Entvask 
p_ford_fangorn|Entvask 
p_ford_fangorn2|Limlys
p_ford_moria|Sølvmalmen 
; p_fangorn_center|Fangorn Center
; p_ring_hunter_lair|Ring Hunters Lair
; p_raft|Raft Men
; p_amon_din|Amon Din
; p_eilenach|Eilenach
; p_nardol|Nardol
; p_erelas|Erelas
; p_min_rimmon|Min Rimmon
; p_calenhad|Calenhad
; p_amon_anwar|Amon Anwar
p_ancient_ruins|Urgamle ruiner
