imod_plain|Plaenenn %s
imod_cracked|Paour %s
imod_rusty|Krai %s
imod_bent|Pleget %s
imod_chipped|Ourlet %s
imod_battered|Gwallgaset %s
imod_poor|Paour %s
; imod_crude|Simple %s
; imod_old|Ancient %s
imod_cheap|Marc'had-mat %s
imod_fine|Mat %s
imod_well_made|Graet mat %s
imod_sharp|Lemm %s
imod_balanced|Kempouezet %s
imod_tempered|Trempet %s
imod_deadly|Marvel %s
imod_exquisite|C'hwek %s
imod_masterwork|Labour-mestr %s
imod_heavy|Ponner %s
imod_strong|Kreñv %s
imod_powerful|Galloudus %s
imod_tattered|Drailhet %s
imod_ragged|Garv %s
imod_rough|Garv %s
imod_sturdy|Bagol %s
; imod_thick|Robust %s
imod_hardened|Kaletaet %s
imod_reinforced|Kreñvaet %s
; imod_cloak|%s with cloak
imod_lordly|Labour-mestr %s
imod_lame|Gwan %s
imod_swaybacked|Rodennet %s
imod_stubborn|Penn-kallet %s
imod_timid|Lent %s
; imod_meek|Blood-covered %s
imod_spirited|Tan gantañ %s
imod_champion|Kampion %s
imod_fresh|Fresk %s
imod_day_old|Devezh-oadet %s
imod_two_day_old|Daou zevezh-oadet %s
imod_smelling|C'hwezhiñ %s
imod_rotten|Breinet %s
imod_large_bag|Sac'h ledan a %s
