imod_plain|سهل%s
imod_cracked|%sرديء
imod_rusty|خام%s
imod_bent|محني%s
imod_chipped|متكسرة%s
imod_battered|مضروب%s
imod_poor|%sرديء
imod_crude|بسيط%s
imod_old|عتيق%s
imod_cheap|بخس%s
imod_fine|جيد%s
imod_well_made|جيد الصنع%s
imod_sharp|حاد%s
imod_balanced|متعادل%s
imod_tempered|مزاج%s
imod_deadly|مهلك%s
imod_exquisite|رائع, متقن%s
imod_masterwork|عمل فني مميز%s
imod_heavy|ثقيل%s
imod_strong|قوي, شديد%s
imod_powerful|قوي%s
imod_tattered|ممزقة%s
imod_ragged|قاس%s
imod_rough|قاس%s
imod_sturdy|دوار%s
imod_thick|نشيط%s
imod_hardened|تصلب%s
imod_reinforced|عززت%s
imod_cloak|مع عباءة%s
imod_lordly|عمل فني مميز%s
imod_lame|كسيح%s
imod_swaybacked|متأرجح%s
imod_stubborn|عنيد%s
imod_timid|متردد%s
imod_meek|مغطى بالدم%s
imod_spirited|مفعم بالحيوية%s
imod_champion|%sبطولي
imod_fresh|طازج%s
imod_day_old|يوم%s
imod_two_day_old|يومان%s
imod_smelling|شم%s
imod_rotten|عفن%s
imod_large_bag|كيس كبير من%s
