trp_tutorial_maceman|حامل صولجان
trp_tutorial_maceman_pl|حاملو صولجان
trp_tutorial_archer|رامٍ
trp_tutorial_archer_pl|رماة
trp_tutorial_swordsman|سياف
trp_tutorial_swordsman_pl|سيافون
trp_novice_fighter|مقاتل مبتدئ
trp_novice_fighter_pl|مقاتلون مبتدئون
trp_regular_fighter|مقاتل نظامي
trp_regular_fighter_pl|مقاتلون نظاميون
trp_veteran_fighter|مقاتل مخضرم
trp_veteran_fighter_pl|مقاتلون مخضرمون
trp_champion_fighter|مقاتل بطل
trp_champion_fighter_pl|مقاتلون أبطال
trp_arena_training_fighter_1|مقاتل مبتدئ
trp_arena_training_fighter_1_pl|مقاتلون مبتدئون
trp_arena_training_fighter_2|مقاتل مبتدئ
trp_arena_training_fighter_2_pl|مقاتلون مبتدئون
trp_arena_training_fighter_3|مقاتل نظامي
trp_arena_training_fighter_3_pl|مقاتلون نظاميون
trp_arena_training_fighter_4|مقاتل نظامي
trp_arena_training_fighter_4_pl|مقاتلون نظاميون
trp_arena_training_fighter_5|مقاتل نظامي
trp_arena_training_fighter_5_pl|مقاتلون نظاميون
trp_arena_training_fighter_6|مقاتل مخضرم
trp_arena_training_fighter_6_pl|مقاتلون مخضرمون
trp_arena_training_fighter_7|مقاتل مخضرم
trp_arena_training_fighter_7_pl|مقاتلون مخضرمون
trp_arena_training_fighter_8|مقاتل مخضرم
trp_arena_training_fighter_8_pl|مقاتلون مخضرمون
trp_arena_training_fighter_9|مقاتل بطل
trp_arena_training_fighter_9_pl|مقاتلون أبطال
trp_arena_training_fighter_10|مقاتل بطل
trp_arena_training_fighter_10_pl|مقاتلون أبطال
trp_cattle|بهايم
trp_cattle_pl|بهايم
trp_farmer|مزارع
trp_farmer_pl|مزارعين
trp_townsman|ساكن بلدة
trp_townsman_pl|سكان بلدة
trp_watchman|امرأة بلدة
trp_watchman_pl|نساء بلدة
trp_i1_woodmen_man|حطاب
trp_i1_woodmen_man_pl|حطابون
trp_i2_woodmen_forester|حطاب غابوي
trp_i2_woodmen_forester_pl|حطابون غابويون
trp_i3_woodmen_skilled_forester|حطاب غابوي ماهر
trp_i3_woodmen_skilled_forester_pl|حطابون غابويون ماهرون
trp_i4_woodmen_axemen|حطاب حامل فأس
trp_i4_woodmen_axemen_pl|حطابون حاملو فؤوس
trp_i5_woodmen_night_guard|حارس الليل في ميركوود
trp_i5_woodmen_night_guard_pl|حراس الليل في ميركوود
trp_a2_woodmen_tracker|متعقب حطاب
trp_a2_woodmen_tracker_pl|متعقبون حطابون
trp_a3_woodmen_scout|كشاف حطاب
trp_a3_woodmen_scout_pl|كشافة حطابون
trp_a4_woodmen_archer|رامي حطاب
trp_a4_woodmen_archer_pl|رماة حطابون
trp_a5_woodmen_night_stalker|مطارد الليل في ميركوود
