pt_rescued_prisoners|Befreite Gefangene
pt_enemy|Feind
pt_hero_party|Heldentruppe
pt_cattle_herd|Viehherde
pt_ruins|Ruinen
pt_legendary_place|Legendärer Ort
pt_mound|Grabhügel
pt_pyre|Scheiterhaufen
pt_wild_troll|Wilder Troll
pt_raging_trolls|Wütende Trolle
pt_looters|Stammesorks
pt_forest_bandits|Orknachzügler
pt_mountain_bandits|Wilde Orks
pt_steppe_bandits|Ausgestoßene aus Dunland
pt_sea_raiders|Abtrünnige Korsaren
pt_deserters|Fahnenflüchtige
pt_merchant_caravan|Kaufmannskarawane
pt_troublesome_bandits|Störende Orks
pt_fangorn_orcs|Rodende Orks
pt_village_farmers|Dorfbauern
pt_spy_partners|Verdächtige Reisende
pt_spy_partners_evil|Verdächtige Reisende
pt_runaway_serfs|Entflohene Sklaven
pt_spy|Einsamer Reiter
pt_spy_evil|Einsamer Reiter
pt_sacrificed_messenger|Geopferter Bote
pt_gandalf|Einsamer Reiter
pt_nazgul|Einsamer Reiter
pt_gondor_scouts|Späher von Gondor
pt_blackroot_auxila|Hilfstruppen aus dem Schwarzgrundtal
pt_lamedon_auxila|Hilftstruppen aus Lamedon
pt_lossarnach_auxila|Hilfstruppen aus Lossarnach
pt_pinnath_gelin_auxila|Hilfstruppen von den Pinnath Gelin
pt_ranger_scouts|Waldläufer-Späher
pt_rohan_scouts|Späher von Rohan
pt_lorien_scouts|Späher von Lothlorien
pt_woodelf_scouts|Späher der Düsterwald-Elben
pt_imladris_scouts|Späher der Bruchtal-Elben
pt_dale_scouts|Späher von Thal
pt_esgaroth_scouts|Späher von Esgaroth
pt_dwarf_scouts|Zwergische Kundschafter
pt_beorn_scouts|Späher der Beorninger
pt_woodmen_scouts|Späher der Waldmenschen
pt_mordor_scouts|Späher von Mordor
pt_morgul_scouts|Späher von Minas Morgul
pt_isengard_scouts|Späher von Isengart
pt_isengard_scouts_warg|Wargreiter von Isengart
pt_harad_scouts|Späher der Haradrim
pt_dunland_scouts|Späher der Dunländer
pt_umbar_scouts|Späher der Korsaren
pt_khand_scouts|Späher der Ostlinge
pt_moria_scouts|Späher von Moria
pt_guldur_scouts|Späher von Dol Guldur
pt_gundabad_scouts|Späher von Gundabad
pt_rhun_scouts|Späher von Rhun
