skinkey_chin_size|Kinngröße
skinkey_chin_shape|Kinnform
skinkey_chin_forward|Kinn nach vorn
skinkey_jaw_width|Kieferbreite
skinkey_jaw_position|Kieferposition
skinkey_mouth_nose_distance|Abstand Mund-Nase
skinkey_mouth_width|Mundbreite
skinkey_cheeks|Wangen
skinkey_nose_height|Nasenhöhe
skinkey_nose_width|Nasenbreite
skinkey_nose_size|Nasengröße
skinkey_nose_shape|Nasenform
skinkey_nose_bridge|Nasenrücken
skinkey_cheek_bones|Wangenknochen
skinkey_eye_width|Augenbreite
skinkey_eye_to_eye_dist|Augenabstand
skinkey_eye_shape|Augenform
skinkey_eye_depth|Augentiefe
skinkey_eyelids|Augenlider
skinkey_eyebrow_position|Augenbrauenposition
skinkey_eyebrow_height|Augenbrauenhöhe
skinkey_eyebrow_depth|Augenbrauentiefe
skinkey_eyebrow_shape|Augenbrauenform
skinkey_temple_width|Schläfenbreite
skinkey_face_depth|Gesichtstiefe
skinkey_face_ratio|Gesichtsteilverhältnis
skinkey_face_width|Gesichtsbreite
skinkey_post_edit|Nachbearbeiten
skinkey_snout_height|Schnauzenhöhe
skinkey_snout_width|Schnauzenbreite
skinkey_snout_size|Schnauzengröße
skinkey_snout_shape|Schnauzenform
skinkey_weight|Gewicht
skinkey_mouth_shape|Mundform
skinkey_eye_size|Augengröße
skinkey_eye_slant|Augenausrichtung
skinkey_frawn|Stirn
skinkey_mouth_vert_pos|vertikale Mundposition
skinkey_mouth_to_nose_dist|Abstand Mund-Nase
skinkey_chin_width|Kinnbreite
