trp_unarmed_troop|Unbewaffneter
trp_unarmed_troop_pl|Unbewaffnete
trp_tutorial_maceman|Knüppelschwinger
trp_tutorial_maceman_pl|Knüppelschwinger
trp_tutorial_archer|Schütze
trp_tutorial_archer_pl|Schützen
trp_tutorial_swordsman|Schwertkämpfer
trp_tutorial_swordsman_pl|Schwertkämpfer
trp_novice_fighter|Anfänger
trp_novice_fighter_pl|Anfänger
trp_regular_fighter|Fortgeschrittener
trp_regular_fighter_pl|Fortgeschrittene
trp_veteran_fighter|Veteran
trp_veteran_fighter_pl|Veteranen
trp_champion_fighter|Meisterkämpfer
trp_champion_fighter_pl|Meisterkämpfer
trp_arena_training_fighter_1|Anfänger
trp_arena_training_fighter_1_pl|Anfänger
trp_arena_training_fighter_2|Anfänger
trp_arena_training_fighter_2_pl|Anfänger
trp_arena_training_fighter_3|Fortgeschrittener
trp_arena_training_fighter_3_pl|Fortgeschrittene
trp_arena_training_fighter_4|Fortgeschrittener
trp_arena_training_fighter_4_pl|Fortgeschrittene
trp_arena_training_fighter_5|Fortgeschrittener
trp_arena_training_fighter_5_pl|Fortgeschrittene
trp_arena_training_fighter_6|Veteran
trp_arena_training_fighter_6_pl|Veteranen
trp_arena_training_fighter_7|Veteran
trp_arena_training_fighter_7_pl|Veteranen
trp_arena_training_fighter_8|Veteran
trp_arena_training_fighter_8_pl|Veteranen
trp_arena_training_fighter_9|Meisterkämpfer
trp_arena_training_fighter_9_pl|Meisterkämpfer
trp_arena_training_fighter_10|Meisterkämpfer
trp_arena_training_fighter_10_pl|Meisterkämpfer
trp_cattle|Viehstück
trp_cattle_pl|Vieh
trp_farmer|Bauer
trp_farmer_pl|Bauern
trp_townsman|Bürger
trp_townsman_pl|Bürger
trp_watchman|Bürgerin
trp_watchman_pl|Bürgerinnen
trp_i1_woodmen_man|Waldmensch
trp_i1_woodmen_man_pl|Waldmenschen
trp_i2_woodmen_forester|Jäger der Waldmenschen
trp_i2_woodmen_forester_pl|Jäger der Waldmenschen
trp_i3_woodmen_skilled_forester|Erfahrener Jäger der Waldmenschen
trp_i3_woodmen_skilled_forester_pl|Erfahrene Jäger der Waldmenschen
trp_i4_woodmen_axemen|Axtkämpfer der Waldmenschen
trp_i4_woodmen_axemen_pl|Axtkämpfer der Waldmenschen
trp_i5_woodmen_night_guard|Nachtwache aus dem Düsterwald
trp_i5_woodmen_night_guard_pl|Nachtwachen aus dem Düsterwald
trp_a2_woodmen_tracker|Fährtenleser der Waldmenschen
trp_a2_woodmen_tracker_pl|Fährtenleser der Waldmenschen
trp_a3_woodmen_scout|Späher der Waldmenschen
trp_a3_woodmen_scout_pl|Späher der Waldmenschen
trp_a4_woodmen_archer|Bogenschütze der Waldmenschen
trp_a4_woodmen_archer_pl|Bogenschützen der Waldmenschen
trp_a5_woodmen_night_stalker|Nachtjäger aus dem Düsterwald
trp_a5_woodmen_night_stalker_pl|Nachtjäger aus dem Düsterwald
trp_i1_beorning_man|Beorninger
trp_i1_beorning_man_pl|Beorninger
trp_i2_beorning_warrior|Krieger der Beorninger
trp_i2_beorning_warrior_pl|Krieger der Beorninger
trp_i3_beorning_tolltacker|Zollmann der Beorninger
trp_i3_beorning_tolltacker_pl|Zollmann der Beorninger
trp_i4_beorning_sentinel|Schildwache der Beorninger
trp_i4_beorning_sentinel_pl|Schildwachen der Beorninger
trp_i5_beorning_warden_of_the_ford|Furtwächter der Beorninger
trp_i5_beorning_warden_of_the_ford_pl|Furtwächter der Beorninger
trp_i3_beorning_carrock_lookout|Wächter vom Carrock
trp_i3_beorning_carrock_lookout_pl|Wächter vom Carrock
trp_i4_beorning_carrock_fighter|Krieger vom Carrock
trp_i4_beorning_carrock_fighter_pl|Krieger vom Carrock
trp_i5_beorning_carrock_berserker|Berserker vom Carrock
trp_i5_beorning_carrock_berserker_pl|Berserker vom Carrock
trp_i1_dale_militia|Stadtwache von Thal
trp_i1_dale_militia_pl|Stadtwachen von Thal
trp_i2_dale_man_at_arms|Waffenknecht von Thal
trp_i2_dale_man_at_arms_pl|Waffenknechte von Thal
trp_a2_dale_scout|Späher von Thal
trp_a2_dale_scout_pl|Späher von Thal
trp_a3_dale_bowman|Bogenschütze von Thal
trp_a3_dale_bowman_pl|Bogenschützen von Thal
trp_a4_dale_archer|Erfahrener Bogenschütze von Thal
trp_a4_dale_archer_pl|Erfahrene Bogenschützen von Thal
trp_a5_barding_bowman|Bardinger
trp_a5_barding_bowman_pl|Bardinger
trp_i3_dale_swordsman|Schwertmann von Thal
trp_i3_dale_swordsman_pl|Schwertmänner von Thal
trp_i4_dale_sergeant|Sergeant von Thal
trp_i4_dale_sergeant_pl|Sergeanten von Thal
trp_i5_dale_hearthman|Herdmanne von Thal
trp_i5_dale_hearthman_pl|Herdmannen von Thal
trp_i3_dale_spearman|Speerträger von Thal
trp_i3_dale_spearman_pl|Speerträger von Thal
trp_i4_dale_billman|Erfahrener Speerträger von Thal
trp_i4_dale_billman_pl|Erfahrene Speerträger von Thal
trp_i5_dale_bill_master|Hippenmeister von Thal
trp_i5_dale_bill_master_pl|Hippenmeister von Thal
trp_c2_rhovanion_retainer|Nordmann
trp_c2_rhovanion_retainer_pl|Nordmänner
trp_c3_rhovanion_auxilia|Nordmann-Hilfssoldat
trp_c3_rhovanion_auxilia_pl|Nordmann-Hilfssoldaten
trp_c4_rhovanion_rider|Rhovanion-Reiter
trp_c4_rhovanion_rider_pl|Rhovanion-Reiter
trp_ac5_rhovanion_marchwarden|Rhovanion-Grenzwächter
trp_ac5_rhovanion_marchwarden_pl|Rhovanion-Grenzwächter
trp_i1_rhun_tribesman|Stammesmann aus Rhun
trp_i1_rhun_tribesman_pl|Stammesmänner aus Rhun
trp_ac2_rhun_horse_scout|Berittener Späher aus Rhun
trp_ac2_rhun_horse_scout_pl|Berittene Späher aus Rhun
trp_ac3_rhun_horse_archer|Berittene Bogenschützen aus Rhun
trp_ac3_rhun_horse_archer_pl|Berittene Bogenschützen aus Rhun
trp_ac4_rhun_veteran_horse_archer|Erfahrener berittener Bogenschütze aus Rhun
trp_ac4_rhun_veteran_horse_archer_pl|Erfahrene berittene Bogenschützen aus Rhun
trp_ac5_rhun_balchoth_horse_archer|Reiter der Balchoth
trp_ac5_rhun_balchoth_horse_archer_pl|Reiter der Balchoth
trp_c3_rhun_swift_horseman|Schneller Reiter aus Rhun
trp_c3_rhun_swift_horseman_pl|Schnelle Reiter aus Rhun
trp_c4_rhun_veteran_swift_horseman|Erfahrener schneller Reiter aus Rhun
trp_c4_rhun_veteran_swift_horseman_pl|Erfahrene schnelle Reiter aus Rhun
trp_c5_rhun_falcon_horseman|Falkenreiter
trp_c5_rhun_falcon_horseman_pl|Falkenreiter
trp_i2_rhun_tribal_warrior|Stammes-Fußkämpfer aus Rhun
trp_i2_rhun_tribal_warrior_pl|Stammes-Fußkämpfer aus Rhun
trp_i3_rhun_tribal_infantry|Unerfahrener Stammeskrieger aus Rhun
trp_i3_rhun_tribal_infantry_pl|Unerfahrene Stammeskrieger aus Rhun
trp_i4_rhun_vet_infantry|Angesehener Stammeskrieger aus Rhun
trp_i4_rhun_vet_infantry_pl|Angesehene Stammeskrieger aus Rhun
trp_i5_rhun_ox_warrior|Ochsenkrieger
trp_i5_rhun_ox_warrior_pl|Ochsenkrieger
trp_c2_rhun_horseman|Reiter von Rhûn
trp_c2_rhun_horseman_pl|Reiter von Rhûn
trp_c3_rhun_outrider|Vorreiter von Rhûn
trp_c3_rhun_outrider_pl|Vorreiter von Rhûn
trp_c4_rhun_noble_rider|Edelreiter von Rhûn
trp_c4_rhun_noble_rider_pl|Edelreiter von Rhûn
trp_c5_rhun_warrider|Kriegsreiter von Rhûn
trp_c5_rhun_warrider_pl|Kriegsreiter von Rhûn
trp_c6_rhun_warlord|Kriegsherr von Rhûn
trp_c6_rhun_warlord_pl|Kriegsherren von Rhûn
trp_i1_dwarf_apprentice|Junger Zwerg
trp_i1_dwarf_apprentice_pl|Junge Zwerge
trp_i2_dwarf_warrior|Zwergenkrieger vom Erebor
trp_i2_dwarf_warrior_pl|Zwergenkrieger vom Erebor
trp_i3_dwarf_hardened_warrior|Hartgesottener Zwergenkrieger vom Erebor
trp_i3_dwarf_hardened_warrior_pl|Hartgesottener Zwergenkrieger vom Erebor
trp_i4_dwarf_spearman|Speerträger vom Erebor
trp_i4_dwarf_spearman_pl|Speerträger vom Erebor
trp_i5_dwarf_pikeman|Pikenträger vom Erebor
trp_i5_dwarf_pikeman_pl|Pikenträger vom Erebor
trp_i6_dwarf_longpikeman|Langpiken-Zwerg
trp_i6_dwarf_longpikeman_pl|Langpiken-Zwerg
trp_i4_dwarf_axeman|Axtkämpfer vom Erebor
trp_i4_dwarf_axeman_pl|Axtkämpfer vom Erebor
trp_i5_dwarf_expert_axeman|Axtmeister vom Erebor
trp_i5_dwarf_expert_axeman_pl|Axtmeister vom Erebor
trp_i6_dwarf_longbeard_axeman|Axtmeister der Langbärte
trp_i6_dwarf_longbeard_axeman_pl|Axtmeister der Langbärte
trp_a2_dwarf_lookout|Zwergenspäher
trp_a2_dwarf_lookout_pl|Zwergenspäher
trp_a3_dwarf_scout|Zwergen-Aufklärer
trp_a3_dwarf_scout_pl|Zwergen-Aufklärer
trp_a4_dwarf_bowman|Zwergen-Bogenschütze
trp_a4_dwarf_bowman_pl|Zwergen-Bogenschützen
trp_i6_dwarf_longaxeman|Langaxt-Zwerg
trp_i6_dwarf_longaxeman_pl|Langaxt-Zwerge
trp_i3_iron_hills_warrior|Krieger der Eisenberge
trp_i3_iron_hills_warrior_pl|Krieger der Eisenberge
trp_i2_iron_hills_miner|Bergmann von den Eisenbergen
trp_i2_iron_hills_miner_pl|Bergmänner von den Eisenbergen
trp_i4_iron_hills_infantry|Krieger von den Eisenbergen
trp_i4_iron_hills_infantry_pl|Krieger von den Eisenbergen
trp_i5_iron_hills_battle_dwarf|Wackerer Kämpe von den Eisenbergen
trp_i5_iron_hills_battle_dwarf_pl|Wackere Kämpen von den Eisenbergen
trp_i6_iron_hills_grors_guard|Grorskrieger
