fac_no_faction|Keine Zugehörigkeit
fac_commoners|Gemeine
fac_outlaws|Wilde und Räuber
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Isengart
fac_lorien|Lothlorien
fac_imladris|Imladris
fac_woodelf|Düsterwald-Elben
fac_dale|Thal
fac_harad|Harad
fac_rhun|Rhun
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Gundabad
fac_dunland|Dunländer
fac_beorn|Beorninger
fac_player_supporters_faction|Spielerfraktion
fac_player_faction|Spielerfraktion
fac_brigands|Räuber
fac_tribal_orcs|Stammesorks
fac_innocents|Unschuldige
fac_merchants|Händler
fac_manhunters|Kopfgeldjäger
fac_deserters|Fahnenflüchtige
fac_mountain_bandits|Gebirgsräuber
fac_forest_bandits|Waldräuber
