
str_yes|Ja
str_no|Nein
str_noone|Niemand
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} und {s51}
str_s5_s_party|{s5}s Trupp
str_s5_s_host|{s5}'s Heer
str_given_by_s1_at_s2|Gegeben von {s1} in {s2}
str_given_by_s1_in_wilderness|Gegeben von {s1} im Feld
str_s7_raiders|{s7} Plünderer
str_bandits_eliminated_by_another|Die lästigen Banditen wurden von einem anderen Trupp eliminiert.
str_msg_battle_won|Gefecht gewonnen! Drück die Tab-Taste zum Verlassen...
str_tutorial_map1|Du siehst nun die Weltkarte. Linksklicke auf die Karte, um deinen Trupp zur angeklickten Stelle zu bewegen, die ausgewählte Stadt betreten zu lassen, oder den ausgewählten Trupp zu verfolgen. Die Zeit pausiert auf der Weltkarte, wenn dein Trupp nicht marschiert, wartet oder Rast macht. Um an einer Stelle zu warten, drücke und halte die Leertaste.
str_accept|Akzeptieren
str_charge|Angreifen!
str_color|Farbe
str_flip_horizontal|Horizontal wenden
str_flip_vertical|Vertikal wenden
str_hold_fire|Beschuss einstellen!
str_blunt_hold_fire|Stumpfe Waffen / Nicht schießen
str_tutorial_ammo_refilled|Munition aufgefüllt.
str_tutorial_failed|Dieses Mal wurdest du geschlagen, doch keine Sorge. Befolge die Anweisungen sorgsam, und das nächste Mal wird es besser. Drücke die Tab-Taste, um zum Menü zurückzukehren, wo du dieses Tutorial erneut durchlaufen kannst.
str_tutorial_1_msg_1|In diesem Tutorial lernst du die Grundlagen von Bewegung und Kampf. In Mount&Blade steuerst du mit der Maus deine Blickrichtung und mit den WASD-Tasten auf der Tastatur deine Bewegungsrichtung. Deine erste Übungsaufgabe ist, die gelbe Flagge in diesem Raum zu finden und dich zu ihr hinzubewegen. Du kannst die Tab-Taste jederzeit drücken, um dieses Tutorial zu verlassen oder zu einem anderen Bereich im Spiel zu wechseln. Gehe jetzt zur gelben Flagge.
str_tutorial_1_msg_2|Gut gemacht. Als nächstes üben wir den Angriff mit Waffen. Für dieses Tutorial bist du nun mit Pfeil und Bogen, einem Schwert und einem Schild ausgerüstet. Mit deinem Mausrad kannst du verschiedene Waffen aus deinen Waffen-Slots ziehen. In der voreingestellten Konfiguration wird mit Mausrad nach oben die nächste Waffe gezogen, und Mausrad nach unten aktiviert deinen Schild. Wenn du schon einen Schild hältst, steckt Mausrad nach unten den Schild wieder weg. Versuche nun, deine Waffen und deinen Schild mit dem Mausrad auszuwechseln. Wenn du bereit bist, gehe zur gelben Flagge, um zur nächsten Aufgabe zu gehen.
str_tutorial_1_msg_3|Ausgezeichnet. Der nächste Teil dieses Tutorials behandelt den Angriff mit Nahkampfwaffen. Die linke Maustaste lässt dich mit deiner gerade aktivierten Waffe angreifen. Drücke und halte die Taste, um einen Angriff vorzubereiten, und lasse dann die Taste los, um zuzuschlagen. Je länger du die linke Maustaste vor dem Loslassen gedrückt hältst, desto stärker wird dein Schlag. Ziehe nun dein Schwert und vernichte die vier Strohpuppen in diesem Raum.
str_tutorial_1_msg_4|Gute Arbeit! Du hast alle vier Strohmänner zerstört. Du kannst nun zum nächsten Raum weitergehen.
str_tutorial_1_msg_5|Wie du siehst, befindet sich auf der gegenüberliegenden Seite des Raumes eine Zielscheibe. Deine nächste Aufgabe ist, mit deinem Bogen drei Pfeile in das Ziel zu schießen. Drücke und halte die linke Maustaste, um einen Pfeil einzulegen. Dann kannst du den Pfeil abschießen, indem du die linke Maustaste loslässt. Achte auf das Fadenkreuz in der Mitte deines Bildschirms, das die Genauigkeit Deines Schusses anzeigt. Um die beste Genauigkeit zu erzielen, schieße den Pfeil ab, wenn das Fadenkreuz am kleinsten sind. Versuche nun, auf das Ziel zu schießen.
str_tutorial_1_msg_6|Gut gemacht! Du hast nun die Grundlagen von Bewegung und Angriff erlernt. Mit etwas Übung wirst du sie bald meistern. Im zweiten Tutorial kannst du fortgeschrittenere Kampfkünste lernen und dich mit bewaffneten Gegnern messen. Du kannst jederzeit die Tab-Taste drücken, um zum Tutorial-Menü zurückzukehren.
str_tutorial_2_msg_1|Dieses Tutorial wird dich lehren, dich mit einem Schild zu verteidigen und bewaffnete Gegner zu bekämpfen. Im Moment bist du mit nichts als einem Schild bewaffnet. Deine Aufgabe ist es nicht, anzugreifen, sondern dich mit deinem Schild erfolgreich zu schützen. Ein bewaffneter Gegner wartet im nächsten Raum auf dich. Er wird sein Bestes tun, dich ohnmächtig zu schlagen, während du dich mit deinem Schild schützen musst, indem du die linke Maustaste drückst und hältst. Gehe jetzt in den nächsten Raum, um deinen Gegner anzugehen. Denke daran, dass du die Tab-Taste jederzeit drücken kannst, um dieses Tutorial zu verlassen oder zu einem anderen Bereich im Spiel zu wechseln.
str_tutorial_2_msg_2|Drücke und halte die linke Maustaste, um deinen Schild zu heben. Versuche, dreißig Sekunden lang standzuhalten. Du hast noch {reg3} Sekunden.
str_tutorial_2_msg_3|Gut gemacht, du hast dich erfolgreich gegen einen bewaffneten Gegner verteidigt. In der nächsten Phase dieses Tutorials wirst du dich mit deinem Schild gegen einen feindlichen Bogenschützen verteidigen. Gehe zum nächsten Raum, wenn du bereit bist, gegen den Bogenschützen anzutreten.
str_tutorial_2_msg_4|Verteidige dich gegen die Pfeile, indem du deinen Schild mit der linken Maustaste hebst. Versuche, dreißig Sekunden lang standzuhalten. Du hast noch {reg3} Sekunden.
str_tutorial_2_msg_5|Ausgezeichnet, du hast dich erfolgreich gegen den Bogenschützen verteidigt. Im nächsten Raum wartet eine Belohnung auf dich.
str_tutorial_2_msg_6|In der voreingestellten Konfiguration dient die F-Taste auf deiner Tastatur zur gewaltlosen Interaktion mit Objekten und Menschen in der Spielwelt. Um dein Schwert auf dem Tisch aufzunehmen, schau es an und drücke F, wenn das Wort 'Ausrüsten' erscheint.
str_tutorial_2_msg_7|Eine feine Waffe! Nun kannst du es damit jemandem heimzahlen. Gehe zurück durch die Tür und erledige den Bogenschützen, der dich zuvor angegriffen hat.
str_tutorial_2_msg_8|Sehr gut. Deine letzte Aufgabe vor dem Ende des Tutorials ist der Schwertkämpfer. Gehe jetzt durch die Tür und zeige ihm deine Klinge!
str_tutorial_2_msg_9|Glückwunsch! Du hast nun die Verteidigung mit einem Schild erlernt, und sogar deinen ersten Kampf mit einem bewaffneten Gegner vollzogen. Mit etwas mehr Übung wirst du bald ein renommierter Schwertkämpfer. Das nächste Tutorial behandelt direktionale Verteidigung. Hierbei handelt es sich um eins der wichtigsten Elemente des Kampfes in Mount&Blade. Du kannst nun jederzeit die Tab-Taste drücken, um zum Tutorial-Menü zurückzukehren.
