hint_1|Die Weiße Hand sollte dem Lidlosen Auge nicht zu sehr vertrauen, noch das Auge der Hand.
hint_2|Wen du bekämpfst, wem du hilfst und wo eine Schlacht stattfindet, bestimmt, welche Verbündeten deinen Einsatz bemerken und anerkennen.
hint_3|Späher sind eine wichtige Nachrichtenquelle für ein Reich, wie auch Gefangene, die in Verliesen gefoltert und verhört werden. Befreie Gefangene und beseitige Späher, um den Feind erblinden zu lassen.
hint_4|Denk daran: Für jedes Reich hast du unterschiedlich viele Ressourcenpunkte, mit denen allein du dich dort mit Ausrüstung und Truppen versorgen kannst.
hint_5|Der militärische Zusammenbruch eines Reiches ist endgültig. Mordor kann dieses Schicksal nicht ereilen. Wenn seine Macht jedoch eingedämmt ist und alle seine Verbündeten besiegt sind, ist der Krieg beendet.
hint_6|Ein kühler Verstand (INT) schützt gegen die Furcht vor einem Nazgûl. Ein perfekter Reiter lässt auch sein Pferd nicht in Panik verfallen.
hint_7|Halte die Leertaste gedrückt, um auf der Karte zu rasten. Verwundete erholen sich jedoch schneller in Städten.
hint_8|Halte die Steuerungstaste und klicke, um im Inventarfenster schnell Gegenstände zu nehmen oder wegzugeben.
hint_9|Du kannst jeden Ort sofort durch Drücken der Tab-Taste verlassen. Die Rücktaste lässt während der Schlacht das Kommandofenster erscheinen.
hint_10|Obacht! Tiere geraten in Panik, wenn Trolle oder Olog-Hai in der Nähe sind.
hint_11|Mannstärke ist eine wichtige Ressource für ein Reich: Das Rekrutieren und Unterhalten von Truppen kostet deshalb Ressourcenpunkte der jeweiligen Faktion.
hint_12|Du kannst während der Schlacht deine Truppen befehligen. Halte die Umschalttaste, um beim Zielen zu zoomen.
