p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|West-Osgiliath
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Hornburg
p_town_east_emnet|Ost-Emnet
p_town_westfold|Westfold
p_town_west_emnet|West-Emnet
p_town_eastfold|Ostfold
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
p_town_cirith_ungol|Orkischer Wachposten
p_town_east_osgiliath|Ost-Osgiliath
p_town_orc_sentry_camp|Orkischer Spähposten
p_town_isengard|Isengart
p_town_urukhai_outpost|Uruk-hai-Außenposten
p_town_urukhai_h_camp|Uruk-hai-Jagdlager
p_town_urukhai_r_camp|Uruk-hai-Flusslager
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Thranduils Hallen
p_town_woodelf_camp|Waldelbenlager
p_town_woodelf_west_camp|Westliches Waldelbenlager
p_town_woodsmen_village|Dorf der Waldmenschen
p_town_beorning_village|Dorf der Beorninger
p_town_beorn_house|Beorns Haus
p_town_moria|Tore von Moria
p_town_troll_cave|Trollhöhle
p_town_dale|Thal
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Lager der Dunländer
p_town_harad_camp|Lager der Haradrim
p_town_khand_camp|Lager von Khand
p_town_umbar_camp|Lager der Korsaren
p_town_imladris_camp|Lager von Bruchtal
p_town_dol_guldur|Dol Guldur
p_town_dol_guldur_north_outpost|Nördlicher Außenposten von Dol Guldur
p_town_rhun_main_camp|Hauptlager von Rhun
p_town_rhun_south_camp|Südlicher Außenposten von Rhûn
p_town_rhun_north_camp|Nördlicher Außenposten von Rhûn
p_town_gundabad|Gundabad
p_town_gundabad_ne_outpost|Nordöstlicher Vorposten von Gundabad
p_town_gundabad_nw_outpost|Nordwestlicher Außenposten von Gundabad
p_town_goblin_north_outpost|Nördlicher Orkposten
p_town_goblin_south_outpost|Südlicher Orkposten
p_town_gundabad_m_outpost|Düsterwald-Außenposten von Gundabad
p_town_erebor|Erebor
p_town_ironhill_camp|Steinbruch in den Eisenbergen
p_advcamp_gondor|Vorstoßlager von Gondor
p_advcamp_rohan|Vorstoßlager von Rohan
p_advcamp_isengard|Vorstoßlager von Isengart
p_advcamp_mordor|Vorstoßlager von Morder
p_advcamp_harad|Vorstoßlager der Haradrim
p_advcamp_rhun|Vorstoßlager von Rhun
p_advcamp_khand|Vorstoßlager von Khand
p_advcamp_umbar|Vorstoßlager von Umbar
p_advcamp_lorien|Vorstoßlager von Lorien
p_advcamp_imladris|Vorstoßlager von Imladris
p_advcamp_woodelf|Vorstoßlager von Düsterwald
p_advcamp_moria|Vorstoßlager der Moriaorks
p_advcamp_guldur|Vorstoßlager von Dol Guldur
p_advcamp_gundabad|Vorstoßlager von Gundabad
p_advcamp_dale|Vorstoßlager von Thal
p_advcamp_dwarf|Vorstoßlager der Zwerge
p_advcamp_dunland|Vorstoßlager der Dunländer
p_advcamp_beorn|Vorstoßlager der Beorninger
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Zeichen der Hand
p_mount_doom|Schicksalsberg
p_town_barad_dur|Barad-dur
p_ford_cair_andros1|Anduin
p_ford_cair_andros2|Anduin
p_ford_caras_galadhon|Anduin
p_ford_brown_lands|Anduin
p_ford_rauros|Anduin
p_ford_pelargir|Anduin
p_ford_edhellond|Anduin
p_ford_cerin_dolen|Silberlauf
p_old_ford|Alte Furt
p_ford_erech|Ringlo
p_ford_isen1|Isen
p_ford_isen2|Isen
p_ford_rohan|Entwasser
p_ford_rohan2|Entwasser
p_ford_fangorn|Entwasser
p_ford_fangorn2|Limklar
p_ford_moria|Silberlauf
p_legend_amonhen|Amon Hen
p_legend_deadmarshes|Totensümpfe
p_legend_mirkwood|Düsterwald
p_legend_fangorn|Fangorn Entthing
p_ring_hunter_lair|Schlupfwinkel der Ringjäger
p_ancient_ruins|Alte Ruinen
