skl_trade|Handel
skl_trade_desc|Dank dieser Fähigkeiten wird dir in Städten bessere Ausrüstung für weniger Ressourcenpunkte angeboten. (Truppen-Fähigkeit)
skl_leadership|Führerschaft
skl_leadership_desc|Jeder Punkt erhöht die maximale Anzahl der Truppen, die du befehligen kannst, um 5 (3 für Gefährten), erhöht die Truppenmoral und den Zusammenhalt in der Schlacht. Bringt mehr und stärkere Freiwillige dazu, dir zu folgen. (Persönliche Fähigkeit)
skl_prisoner_management|Gefangenenaufsicht
skl_prisoner_management_desc|Jede Stufe dieser Fähigkeit erhöht die Maximalzahl der Gefangenen um %d. Erhöht die Chancen, Gefange zu machen und an der Flucht zu hindern. (Anführer-Fähigkeit)
skl_persuasion|Wildkunde
skl_persuasion_desc|Die Fähigkeit, in der Wildnis zu überleben und die Mächte der Natur deinem Willen zu unterwerfen. Verbessert die Fähigkeit, sich vor Feinden zu verstecken, sowie die Reisegeschwindigkeit in bewaldetem Gebiet. (Truppen-Fähigkeit)
skl_engineer|-----
skl_engineer_desc|-----
skl_first_aid|Erste Hilfe
skl_first_aid_desc|Helden erhalten pro Fertigkeitsstufe 5%% von bei Missionen verlorenen Trefferpunkten wieder. (Truppen-Fähigkeit)
skl_surgery|Chirurgie
skl_surgery_desc|Jeder Punkt dieser Fähigkeit ermöglicht eine 4%% Chance, dass ein tödlich verwundetes Truppenmitglied nur verwundet statt getötet wird. (Truppen-Fähigkeit)
skl_wound_treatment|Wundheilung
skl_wound_treatment_desc|Die Heilungsgeschwindigkeit der Truppe wird um 20%% pro Fertigkeitsstufe erhöht. (Truppen-Fähigkeit)
skl_inventory_management|Inventarverwaltung
skl_inventory_management_desc|Erhöht das Aufnahmevermögen des Inventars um +6 pro Fertigkeitsstufe. Verringert den Nahrungsverbrauch. (Anführer-Fähigkeit)
skl_spotting|Aufklärung
skl_spotting_desc|Die Sichtweite der Truppe wird um 10%% pro Fertigkeitsstufe erhöht (Truppen-Fähigkeit)
skl_pathfinding|Wegfindung
skl_pathfinding_desc|Die Kartengeschwindigkeit der Truppe wird um 3%% pro Fertigkeitsstufe erhöht. (Truppen-Fähigkeit)
skl_tactics|Taktik
skl_tactics_desc|Verbessert den Kampfvorteil. Erhöht die Entfernung für feindliche Trupps und verringert die Entfernung für verbündete Trupps zur Schlacht um 3% pro Stufe. (Anführer-Fertigkeit)
skl_tracking|Spurensuche
skl_tracking_desc|Spuren werden informativer. (Truppen-Fähigkeit)
skl_trainer|Ausbilder
skl_trainer_desc|Jeden Tag verleiht jeder Held mit dieser Fähigkeit jedem anderen Truppenmitglied mit geringerer Stufe ein bisschen Erfahrung. Die Erfahrung wächst wie folgt: {0,4,10,16,23,30,38,46,55,65,80}. (Persönliche Fähigkeit)
skl_looting|Plündern
skl_looting_desc|Erhöht Menge und Qualität der Beute aus gewonnenen Schlachten (Truppen-Fähigkeit)
skl_horse_archery|Berittenes Bogenschießen
skl_horse_archery_desc|Reduziert Schadens- und Genauigkeitsabzüge für Bogenschießen und Werfen vom Pferd. (Persönliche Fähigkeit)
skl_riding|Reiten
skl_riding_desc|Erlaubt, Pferde (oder andere Kreaturen) höherer Schwierigkeitsstufen zu reiten und erhöht die Reitgeschwindigkeit und Manövrierfähigkeit. (Persönliche Fähigkeit)
skl_athletics|Athletik
skl_athletics_desc|Erhöht die Laufgeschwindigkeit. (Persönliche Fähigkeit)
skl_shield|Schild
skl_shield_desc|Reduziert den Schaden an Schilden (um 8%% pro Fertigkeitsstufe), verbessert die Schildgeschwindigkeit und -deckfläche, reduziert den Genauigkeitsabzug bei Nutzung mit Bogen (Persönliche Fähigkeit)
skl_weapon_master|Waffenmeister
skl_weapon_master_desc|Erleichtert es, Waffenfertigkeiten zu erlernen und erhöht die Grenzen der Waffenfertigkeiten. Die Beschränkungen sehen wie folgt aus: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Persönliche Fähigkeit)
skl_power_draw|Bogenzugkraft
skl_power_draw_desc|Lässt den Helden stärkere Bögen benutzen. Jeder zusätzliche Punkt dieser Fähigkeit (bis zu vier plus Spannwert-Anforderung für den Bogen) erhöht den vom Bogen angerichteten Schaden um 14%%. (Persönliche Fähigkeit)
skl_power_throw|Wurfkraft
skl_power_throw_desc|Jeder zusätzliche Punkt dieser Fähigkeit erhöht den Wurfschaden um 10%%. (Persönliche Fähigkeit)
skl_power_strike|Schlagkraft
skl_power_strike_desc|Jeder zusätzliche Punkt dieser Fähigkeit erhöht den Nahkampfschaden um 8%%. (Persönliche Fähigkeit)
skl_ironflesh|Eisenhaut
skl_ironflesh_desc|Jeder zusätzliche Punkt dieser Fähigkeit erhöht die Trefferpunkte um +2 und erlaubt es, ein wenig Schaden auszuhalten ohne verwundet zu werden. (Persönliche Fähigkeit)
