qstr_Received_{reg0}_dama|Recibes {reg0} de daño.
qstr_Gate_is_breached!|¡El portón ha caído!
qstr_Gate_opens..._You_ha|La puerta se abre... Te has internado en el lugar más sagrado en la Tierra Media.
qstr_Secret_place_discove|¡Lugar secreto descubierto!
qstr_Next_Page|Página siguiente
qstr_Action|Acción
qstr_Mount|Montad
qstr_Attack_Type|Tipo de ataque
qstr_Hold_This_Position|Mantened la posición
qstr_Follow_Me|Seguidme
qstr_Charge|Cargad
qstr_Advance|Avanzad
qstr_Fall_Back|Retroceded
qstr_Stand_Closer|Manteneos juntos
qstr_Spread_Out|Separaos
qstr_Stand_Ground|Defended la posición
qstr_Dismount|Desmontad
qstr_Use_Any_Weapon|Usad cualquier arma
qstr_Use_Blunt_Weapons|Usad armas contundentes
qstr_Hold_Your_Fire|Alto el fuego
qstr_Fire_At_Will|Fuego a discreción
qstr_Us|Nosotros
qstr_Allies|Aliados
qstr_Enemies|Enemigos
qstr_Ready|Listos
qstr_Wounded|Heridos
qstr_Dead|Muertos
qstr_Routed|Huidos
qstr_Number_of_men_knocke|Número de tropas derribadas: {reg1}
qstr_Number_of_men_left:_|Número de tropas restantes: {reg1}
qstr_Opponents_Beaten:_{r|Oponentes vencidos: {reg1}
qstr_Opponents_Remaining:|Oponentes en pie: {reg1}
qstr_Gauntlet_wave:_1|Oleada de refuerzos: 1
qstr_Gauntlet_wave:_{reg1|Oleada de refuerzos: {reg1}
qstr_Remain_in_retirement|Terminar la aventura y continuar en retiro.
qstr_Go_back_to_the_adven|Volver a la aventura.
qstr_A_peaceful_village_n|En una pacífica aldea no lejos del Folde Oeste...
qstr_The_War_is_upon_Roha|¡La Guerra ha llegado a Rohan!
qstr_Minas_Tirith___The_W|Minas Tirith; La Ciudad Blanca
qstr_The_White_Tree_stand|El Árbol Blanco permanece muerto desde que el linaje de los Reyes se marchitó...
qstr_And_the_Shadow_grows|Y la Sombra se hace cada vez más fuerte en el Este.
qstr_Minas_Morgul___City_|Minas Morgul; Ciudad de los Nazgûl
qstr_Sauron_s_armies_marc|¡Los ejércitos de Sauron marchan hacia la Guerra!
qstr_Adventurers_at_audie|Aventureros en una audiencia con el Senescal Denethor...
qstr___What_business_do_y| «¿Qué os trae a mis dominios, peticionarios?»
qstr___Your_Stewardship_w|«Senescal, hemos venido de tierras lejanas para.... ¡saltar!»
qstr___Enough_of_this_mad|«¡Cejad ésta locura! ¡Guardias!»
qstr___I_ve_had_enough_of|«Ya he tenido suficientes de estas bromas... ¡Los siguientes tendrán que arrodillarse!»
qstr_Chest|Cofre
qstr_Cape|Capa
qstr_Arms|Brazos
qstr_Thighs|Muslos
qstr_Legs|Piernas
qstr_Rotate|Girar
qstr_Close|Cerrar
qstr_Faction_Side:^^Campa|Bando de la facción:^^Dificultad de campaña*:^^Frente inicial:^^Mariscal:^^Enemigos:^^
qstr_Campaign_Difficulty_|La dificultad de la campaña está basada en la fuerza inicial de la facción, los enemigos en su frente,^ y el árbol de tropas de la facción y su equipamiento.
qstr_Rallies:|Arengas:
qstr_View_Keybinds__Press|Ver configuración de teclas (pulsa Insert)
qstr_What_do_you_fight_fo|¿Por qué luchas?
qstr_Go_Back...|Atrás...
qstr_Learn_about_the_diff|Aprende más sobre las diferentes facciones de la Tierra Media
qstr_The_DAWN_of_a_New_Er|El AMANECER de una Nueva Era
qstr_The_TWILIGHT_of_Man|El CREPÚSCULO de los Hombres
qstr_Select_your_Race?|Selecciona tu raza
qstr_Man|Hombre
qstr_Elf|Elfo
qstr_Dwarf|Enano
qstr_Whom_Do_You_Serve?|¿A quién sirves?
qstr_SAURON_of_Mordor_The|SAURON de Mordor, el Señor de los Anillos
qstr_SARUMAN_of_Isengard_|SARUMAN de Isengard, la Mano Blanca
qstr_an_ORC^_serving_the_|un ORCO,^ que sirve al Ojo Sin Párpado
qstr_an_URUK^_the_new_bre|un URUK,^ la nueva raza de Orcos
qstr_a_MAN^_subjugated_by|un HOMBRE,^ subyugado por Sauron
qstr_an_ORC^_serving_the_W|un ORCO,^ que sirve a la Mano Blanca
qstr_one_of_the_URUK_HAI^|un URUK-HAI,^ criado en Isengard
qstr_a_MAN_of_Dunland^_th|un HOMBRE de las Tierras Brunas,^ las Llanuras Occidentales
qstr_Click_the_center_but|Haz clic en el botón central para cambiar de facción^Haz clic en cada avatar para ver sus respectivos detalles
qstr_Level:_{reg3}^Health|Nivel: {reg3}^Salud: {reg4}
qstr_Attributes|Atributos
qstr_STR^AGI^INT^CHA|FUE^AGI^INT^CAR
qstr_Skills|Habilidades
qstr_Ironflesh^Power_Stri|Piel curtida^Pot. de golpe^Lanzamiento^Arquería^Escudo^Atletismo^Cabalgar^Arqu. montada
qstr_Proficiencies|Competencias
qstr_1H_Weapons^2H_Weapon|Armas 1m^Armas 2m^Enastadas^Arquería^Ballesta^Arrojadizas
qstr_Equipment|Equipamiento
qstr_The_Last_Days_Mod_Op|Opciones del mod The Last Days
qstr_War_Starts_at_Level:|La Guerra empieza al nivel: 
qstr_Restrict_Player_Equi|Restringir equipamiento del jugador:  
qstr_Battle_Formations_an|Formaciones e IA de batalla:  
qstr_Native|Native
qstr_TLD_FormAI__Original|IA de formaciones TLD (Original)
qstr_TLD_New_FormAI|Nueva IA de formaciones TLD
qstr_Siege_AI:__|IA de asedio:  
qstr_Basic__better_perfor|Básica (mejor rendimiento)
qstr_Advanced|Avanzado
qstr_Campaign_difficulty:|Dificultad de la campaña:
qstr_Hard|Difícil
qstr_Default|Por defecto
qstr_Easy|Fácil
qstr_Cutscenes:__|Cinemáticas:  
