hint_1|La Mano Blanca no debería confiar demasiado en el Gran Ojo, ni viceversa.
hint_2|Los enemigos con los que luches, los aliados a los que ayudes y el lugar donde tenga lugar la batalla determinarán qué reinos aliados recibirán noticias de ella y si tal vez recompensarán tus actos.
hint_3|Los exploradores son una gran fuente de información para un reino, así como los prisioneros a los que interrogan y torturan en sus mazmorras. Liberar prisioneros y eliminar a los exploradores puede cegar al enemigo.
hint_4|Recuerda que tienes distintos Puntos de Recursos en cada reino, los cuales te dan derecho a proveerte de equipamiento y tropas exclusivas de ese reino.
hint_5|El colapso militar de un reino es irreversible. Mordor no puede sufrir tal destino, pero la guerra se acabará si su poder militar es contenido y todos sus aliados son derrotados.
hint_6|Se necesita una mente fría (INT) para evitar caer presa del pánico ante un Názgul. Mantener un control perfecto de tu montura es fundamental para evitar que entre en pánico.
hint_7|Puedes descansar en el mapa general manteniendo pulsada la barra espaciadora. No obstante, los miembros heridos del grupo se curarán más rápido si descansan en las ciudades.
hint_8|Para añadir o quitar objetos rápidamente en el inventario, mantén apretada la tecla Control mientras haces clic izquierdo sobre el objeto.
hint_9|Puedes abandonar un lugar rápidamente pulsando la tecla Tab,  también puedes presionar la tecla Retroceso/Borrar durante el combate para abrir la interfaz de órdenes a unidades.
hint_10|Los animales entran en pánico cerca de trolls y olog-hais. ¡Ten cuidado!
hint_11|La fuerza numérica es el recurso fundamental de un reino: reclutar y mantener tropas bajo tu mando consume Puntos de Recursos de la facción correspondiente.
hint_12|Puedes dar órdenes durante el combate. Mantén pulsado Mayús para agudizar la vista mientras apuntas a enemigos distantes.
