pt_rescued_prisoners|Prisioneros rescatados
pt_enemy|Enemigo
pt_hero_party|Grupo del héroe
pt_cattle_herd|Rebaño de ganado
pt_ruins|Ruinas
pt_legendary_place|Lugar legendario
pt_mound|Túmulo de héroe
pt_pyre|Pira de héroe
pt_wild_troll|Troll salvaje
pt_raging_trolls|Trolls enfurecidos
pt_looters|Orcos tribales
pt_forest_bandits|Chusma orca
pt_mountain_bandits|Trasgos salvajes
pt_steppe_bandits|Dunlendinos desterrados
pt_sea_raiders|Renegados corsarios
pt_deserters|Desertores
pt_merchant_caravan|Caravana mercante
pt_troublesome_bandits|Trasgos problemáticos
pt_fangorn_orcs|Orcos leñadores
pt_village_farmers|Aldeanos granjeros
pt_spy_partners|Viajeros sospechosos
pt_spy_partners_evil|Viajeros sospechosos
pt_runaway_serfs|Esclavos fugitivos
pt_spy|Jinete solitario
pt_spy_evil|Jinete solitario
pt_ents|Ents
pt_gandalf|Jinete solitario
pt_nazgul|Jinete solitario
pt_gondor_scouts|Exploradores de Gondor
pt_blackroot_auxila|Auxiliares del Valle de la Raíz Negra
pt_lamedon_auxila|Auxiliares de Lamedon
pt_lossarnach_auxila|Auxiliares de Lossarnach
pt_pinnath_gelin_auxila|Auxiliares de Pinnath Gelin
pt_ranger_scouts|Exploradores Montaraces
pt_rohan_scouts|Exploradores Rohirrim
pt_lorien_scouts|Exploradores de Lothlórien
pt_woodelf_scouts|Exploradores elfos del Bosque Negro
pt_imladris_scouts|Exploradores Dúnedain
pt_dale_scouts|Exploradores de Valle
pt_esgaroth_scouts|Exploradores de Esgaroth
pt_dwarf_scouts|Vigías enanos
pt_beorn_scouts|Exploradores Beórnidas
pt_woodmen_scouts|Exploradores de los Hombres del Bosque
pt_mordor_scouts|Exploradores de Mordor
pt_morgul_scouts|Exploradores de Morgul
pt_isengard_scouts|Exploradores de Isengard
pt_isengard_scouts_warg|Jinetes de huargo de Isengard
pt_harad_scouts|Exploradores Haradrim
pt_dunland_scouts|Exploradores dunlendinos
pt_umbar_scouts|Exploradores corsarios
pt_khand_scouts|Exploradores Orientales
pt_moria_scouts|Exploradores de Moria
pt_guldur_scouts|Exploradores de Dol Guldur
pt_gundabad_scouts|Exploradores de Gundabad
pt_rhun_scouts|Exploradores de Rhûn
pt_gondor_raiders|Cazadores de Gondor
