imod_plain|%s simple
imod_cracked|%s con grietas
imod_rusty|%s con herrumbre
imod_bent|%s con dobleces
imod_chipped|%s astillado
imod_battered|%s con golpes
imod_poor|%s de mala calidad
imod_crude|%s de acabado tosco
imod_old|%s de hace tiempo
imod_cheap|%s de poco valor
imod_fine|%s de buen material
imod_well_made|%s de buena calidad
imod_sharp|%s con buen filo
imod_balanced|%s con buen balance
imod_tempered|%s con buen temple
imod_deadly|%s letal
imod_exquisite|%s de calidad exquisita
imod_masterwork|%s de calidad magistral
imod_heavy|%s enorme
imod_strong|%s fuerte
imod_powerful|%s potente
imod_tattered|%s en mal estado
imod_ragged|%s en jirones
imod_rough|%s dispar
imod_sturdy|%s resistente
imod_thick|%s contundente
imod_hardened|%s durable
imod_reinforced|%s con refuerzos
imod_superb|%s de calidad soberbia
imod_lordly|%s de calidad señorial
imod_lame|%s cojo
imod_swaybacked|%s corcovado
imod_stubborn|%s terco
imod_timid|%s tímido
imod_meek|%s manso
imod_spirited|%s enérgico
imod_champion|%s campeón
imod_fresh|%s en buen estado
imod_day_old|%s de ayer
imod_two_day_old|%s de anteayer
imod_smelling|%s maloliente
imod_rotten|%s en descomposición
imod_large_bag|Bolsa grande de %s
